Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-03-01,,,,,,3,
2017-03-01,01:00,,,,81,,
2017-03-01,02:00,,,,79,,
2017-03-01,03:00,,,,81,,
2017-03-01,04:00,,,,84,,
2017-03-01,05:00,,,,83,,
2017-03-01,06:00,,,,82,,
2017-03-01,07:00,,,,80,,
2017-03-01,08:00,,,,81,,
2017-03-01,09:00,,,,80,,
2017-03-01,10:00,,,,78,,
2017-03-01,11:00,,,,79,,
2017-03-01,12:00,,,,77,,
2017-03-01,13:00,,,,77,,
2017-03-01,14:00,,,,78,,
2017-03-01,15:00,,,,79,,
2017-03-01,16:00,,,,79,,
2017-03-01,17:00,,,,81,,
