Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-07-01,01:00,0.1,1,6,67,8,2.7
2018-07-01,02:00,0.1,1,4,67,7,1.8
2018-07-01,03:00,0.1,1,4,66,7,1.9
2018-07-01,04:00,0.1,1,5,64,9,2.3
2018-07-01,05:00,0.1,1,5,60,8,2.9
2018-07-01,06:00,0.1,1,4,58,7,1.7
2018-07-01,07:00,0.1,1,4,52,5,1.3
2018-07-01,08:00,0.1,1,2,59,6,0.5
2018-07-01,09:00,0.1,1,2,67,5,0.5
2018-07-01,10:00,0.1,1,2,67,3,0.5
2018-07-01,11:00,0.1,1,2,68,4,0.5
2018-07-01,12:00,0.1,1,2,70,3,0.5
2018-07-01,13:00,0.1,1,2,74,2,1.2
2018-07-01,14:00,0.1,1,3,74,6,1.4
2018-07-01,15:00,0.1,1,3,75,8,1.1
2018-07-01,16:00,0.1,1,2,75,4,0.5
2018-07-01,17:00,0.1,1,2,75,3,0.5
2018-07-01,18:00,0.1,1,2,73,5,0.5
2018-07-01,19:00,0.1,1,2,75,6,0.5
2018-07-01,20:00,0.1,1,3,76,5,1.1
2018-07-01,21:00,0.1,1,3,79,5,1.4
2018-07-01,22:00,0.1,1,4,79,6,2.1
2018-07-01,23:00,0.1,1,3,80,7,2.0
2018-07-02,00:00,0.1,1,4,76,6,2.5
2018-07-02,01:00,0.1,1,3,77,6,1.8
2018-07-02,02:00,0.1,1,3,76,7,1.9
2018-07-02,03:00,0.1,1,4,73,7,2.1
2018-07-02,04:00,0.1,1,3,74,7,2.2
2018-07-02,05:00,0.1,1,3,76,4,2.0
2018-07-02,06:00,0.1,1,4,72,6,3.2
2018-07-02,07:00,0.1,1,5,67,5,4.1
2018-07-02,08:00,0.1,1,4,73,7,3.6
2018-07-02,09:00,0.1,1,2,81,3,1.1
2018-07-02,10:00,0.1,1,2,82,7,1.2
2018-07-02,11:00,0.1,1,2,85,5,1.3
2018-07-02,12:00,0.1,1,2,88,7,1.4
2018-07-02,13:00,0.1,1,3,91,7,1.7
2018-07-02,14:00,0.1,1,3,95,8,1.6
2018-07-02,15:00,0.1,1,4,99,10,1.5
2018-07-02,16:00,0.1,1,3,105,8,1.7
2018-07-02,17:00,0.1,1,3,106,7,1.7
2018-07-02,18:00,0.1,1,3,106,9,1.6
2018-07-02,19:00,0.1,1,3,105,5,1.4
2018-07-02,20:00,0.1,1,3,101,7,1.3
2018-07-02,21:00,0.1,1,3,94,9,1.0
2018-07-02,22:00,0.1,1,3,94,7,0.5
2018-07-02,23:00,0.1,1,3,96,7,0.5
2018-07-03,00:00,0.1,1,3,96,6,0.5
2018-07-03,01:00,0.1,1,3,96,6,1.1
2018-07-03,02:00,0.1,1,2,97,7,1.0
2018-07-03,03:00,0.1,1,2,97,7,1.0
2018-07-03,04:00,0.1,1,2,95,6,1.1
