Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-07-01,01:00,0.1,1,14,52,10,
2018-07-01,02:00,0.2,2,14,51,8,
2018-07-01,03:00,0.2,1,17,47,8,
2018-07-01,04:00,0.2,2,20,39,8,
2018-07-01,05:00,0.3,5,28,27,9,
2018-07-01,06:00,0.3,5,22,31,10,
2018-07-01,07:00,0.3,3,9,50,8,
2018-07-01,08:00,0.2,3,6,56,8,
2018-07-01,09:00,0.1,2,4,63,5,
2018-07-01,10:00,0.1,3,6,63,4,
2018-07-01,11:00,0.1,2,5,67,4,
2018-07-01,12:00,0.2,4,8,67,4,
2018-07-01,13:00,0.2,3,7,68,5,
2018-07-01,14:00,0.1,5,9,68,4,
2018-07-01,15:00,0.2,2,5,71,4,
2018-07-01,16:00,0.2,2,6,71,2,
2018-07-01,17:00,0.2,4,9,71,4,
2018-07-01,18:00,0.3,3,8,72,5,
2018-07-01,19:00,0.2,3,10,71,5,
2018-07-01,20:00,0.2,2,8,72,5,
2018-07-01,21:00,0.2,2,13,63,5,
2018-07-01,22:00,0.2,2,16,55,7,
2018-07-01,23:00,0.3,18,27,43,10,
2018-07-02,00:00,0.3,4,22,36,10,
2018-07-02,01:00,0.4,3,21,31,10,
2018-07-02,02:00,0.3,1,13,33,10,
2018-07-02,03:00,0.3,4,17,27,8,
2018-07-02,04:00,0.2,3,17,25,10,
2018-07-02,05:00,0.3,10,22,16,11,
2018-07-02,06:00,0.4,24,26,17,12,
2018-07-02,07:00,0.6,34,34,15,14,
2018-07-02,08:00,0.7,35,37,20,17,
2018-07-02,09:00,0.7,31,36,34,17,
2018-07-02,10:00,0.5,15,22,58,16,
2018-07-02,11:00,0.2,10,15,68,12,
2018-07-02,12:00,0.2,8,13,77,10,
2018-07-02,13:00,0.2,12,16,80,11,
2018-07-02,14:00,0.2,10,17,87,10,
2018-07-02,15:00,0.3,13,22,87,8,
2018-07-02,16:00,0.4,8,19,92,9,
2018-07-02,17:00,0.1,4,10,92,10,
2018-07-02,18:00,0.1,4,12,92,7,
2018-07-02,19:00,0.3,2,10,91,6,
2018-07-02,20:00,0.1,2,13,87,6,
2018-07-02,21:00,0.2,1,15,81,9,
2018-07-02,22:00,0.2,2,19,66,10,
2018-07-02,23:00,0.4,7,28,46,12,
2018-07-03,00:00,0.5,2,24,43,14,
2018-07-03,01:00,0.4,1,17,44,13,
2018-07-03,02:00,0.3,2,14,46,12,
2018-07-03,03:00,0.3,1,13,46,10,
2018-07-03,04:00,0.2,2,17,38,10,
2018-07-03,05:00,0.2,4,19,35,11,
2018-07-03,06:00,0.3,11,28,27,11,
2018-07-03,07:00,0.6,26,38,26,10,
2018-07-03,08:00,0.9,43,51,27,,
2018-07-03,09:00,1.0,23,37,,,
2018-07-03,10:00,0.5,16,26,77,16,
2018-07-03,11:00,0.2,13,20,86,10,
2018-07-03,12:00,0.3,12,22,92,13,
2018-07-03,13:00,0.2,17,28,91,14,
2018-07-03,14:00,0.3,14,29,92,20,
2018-07-03,15:00,0.5,25,41,89,21,
2018-07-03,16:00,0.5,15,31,100,20,
2018-07-03,17:00,0.5,15,34,98,19,
2018-07-03,18:00,0.6,12,31,101,15,
2018-07-03,19:00,0.4,11,32,99,15,
2018-07-03,20:00,0.5,10,46,86,18,
2018-07-03,21:00,0.7,10,51,74,21,
2018-07-03,22:00,0.9,3,60,50,23,
2018-07-03,23:00,1.1,4,48,43,25,
2018-07-04,00:00,0.9,1,26,63,22,
2018-07-04,01:00,0.6,2,16,70,19,
2018-07-04,02:00,0.4,1,15,64,15,
2018-07-04,03:00,0.3,2,14,61,14,
2018-07-04,04:00,0.2,4,17,56,15,
2018-07-04,05:00,0.3,5,22,47,16,
2018-07-04,06:00,0.4,13,34,38,16,
2018-07-04,07:00,0.7,18,36,46,19,
2018-07-04,08:00,0.6,11,33,70,20,
2018-07-04,09:00,0.5,10,33,95,20,
2018-07-04,10:00,0.5,18,43,110,21,
2018-07-04,11:00,,17,34,123,20,
2018-07-04,12:00,,4,15,142,17,
2018-07-04,13:00,,10,29,132,,
2018-07-04,14:00,,12,32,132,,
2018-07-04,15:00,,16,42,128,16,
2018-07-04,16:00,0.4,11,35,137,18,
2018-07-04,17:00,0.3,8,31,144,18,
2018-07-04,18:00,0.3,10,47,134,17,
2018-07-04,19:00,0.5,5,37,138,18,
2018-07-04,20:00,0.4,3,41,130,17,
2018-07-04,21:00,0.8,8,70,85,24,
2018-07-04,22:00,1.0,3,49,75,29,
