Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-07-01,01:00,,,,71,,1.9
2018-07-01,02:00,,,,70,,2.8
2018-07-01,03:00,,,,67,,3.8
2018-07-01,04:00,,,,58,,11.4
2018-07-01,05:00,,,,59,,5.7
2018-07-01,06:00,,,,67,,0.5
2018-07-01,07:00,,,,64,,0.5
2018-07-01,08:00,,,,66,,0.5
2018-07-01,09:00,,,,68,,0.5
2018-07-01,10:00,,,,66,,2.3
2018-07-01,11:00,,,,68,,1.4
2018-07-01,12:00,,,,70,,0.5
2018-07-01,13:00,,,,71,,0.5
2018-07-01,14:00,,,,71,,0.5
2018-07-01,15:00,,,,75,,0.5
2018-07-01,16:00,,,,76,,0.5
2018-07-01,17:00,,,,75,,0.5
2018-07-01,18:00,,,,73,,0.5
2018-07-01,19:00,,,,72,,0.5
2018-07-01,20:00,,,,66,,0.5
2018-07-01,21:00,,,,73,,0.5
2018-07-01,22:00,,,,78,,0.5
2018-07-01,23:00,,,,77,,3.4
2018-07-02,00:00,,,,76,,5.8
2018-07-02,01:00,,,,79,,1.4
2018-07-02,02:00,,,,79,,0.5
2018-07-02,03:00,,,,78,,0.5
2018-07-02,04:00,,,,77,,0.5
2018-07-02,05:00,,,,77,,0.5
2018-07-02,06:00,,,,77,,1.1
2018-07-02,07:00,,,,78,,0.5
2018-07-02,13:00,,,,93,,0.5
2018-07-02,14:00,,,,96,,0.5
2018-07-02,15:00,,,,98,,0.5
2018-07-02,16:00,,,,99,,0.5
2018-07-02,17:00,,,,101,,0.5
2018-07-02,18:00,,,,105,,0.5
2018-07-02,19:00,,,,108,,0.5
2018-07-02,20:00,,,,106,,0.5
2018-07-02,21:00,,,,103,,0.5
2018-07-02,22:00,,,,102,,0.5
2018-07-02,23:00,,,,79,,0.5
2018-07-03,00:00,,,,85,,0.5
2018-07-03,01:00,,,,85,,0.5
2018-07-03,02:00,,,,95,,0.5
2018-07-03,03:00,,,,98,,0.5
2018-07-03,04:00,,,,80,,0.5
2018-07-03,05:00,,,,99,,0.5
2018-07-03,06:00,,,,93,,0.5
2018-07-03,08:00,,,,98,,0.5
2018-07-03,09:00,,,,99,,0.5
2018-07-03,10:00,,,,102,,0.5
