Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-12-01,01:00,,33,45,2,25,
2017-12-01,02:00,,32,39,2,22,
2017-12-01,03:00,,27,33,1,21,
2017-12-01,04:00,,37,37,2,22,
2017-12-01,05:00,,45,33,1,22,
2017-12-01,06:00,,108,47,2,21,
2017-12-01,07:00,,181,67,2,25,
2017-12-01,08:00,,193,74,2,32,
2017-12-01,09:00,,263,77,2,40,
2017-12-01,10:00,,290,73,3,54,
2017-12-01,11:00,,215,70,4,53,
2017-12-01,12:00,,180,64,8,45,
2017-12-01,13:00,,97,48,10,34,
2017-12-01,14:00,,114,55,9,33,
2017-12-01,15:00,,88,53,7,29,
2017-12-01,16:00,,108,57,10,33,
2017-12-01,17:00,,123,63,11,31,
2017-12-01,18:00,,81,50,20,27,
2017-12-01,19:00,,87,54,20,23,
2017-12-01,20:00,,52,46,22,26,
2017-12-01,21:00,,45,45,22,22,
2017-12-01,22:00,,48,42,22,24,
2017-12-01,23:00,,51,49,24,20,
2017-12-02,00:00,,51,46,20,18,
2017-12-02,01:00,,35,37,26,20,
2017-12-02,02:00,,18,26,34,13,
2017-12-02,03:00,,11,21,38,11,
2017-12-02,04:00,,10,17,41,11,
2017-12-02,05:00,,17,20,38,11,
2017-12-02,06:00,,19,30,26,15,
2017-12-02,07:00,,16,30,24,18,
2017-12-02,08:00,,24,33,22,18,
2017-12-02,09:00,,73,46,15,21,
2017-12-02,10:00,,77,49,17,26,
2017-12-02,11:00,,79,54,19,29,
2017-12-02,12:00,,78,48,22,28,
2017-12-02,13:00,,82,55,20,27,
2017-12-02,14:00,,75,49,22,26,
2017-12-02,15:00,,93,55,19,21,
2017-12-02,16:00,,91,60,17,24,
2017-12-02,17:00,,166,77,12,26,
2017-12-02,18:00,,260,84,7,31,
2017-12-02,19:00,,175,72,7,34,
2017-12-02,20:00,,168,80,4,38,
2017-12-02,21:00,,142,85,3,42,
2017-12-02,22:00,,137,77,4,47,
2017-12-02,23:00,,64,56,7,38,
2017-12-03,00:00,,74,56,3,39,
2017-12-03,01:00,,55,46,3,37,
2017-12-03,02:00,,66,46,4,33,
2017-12-03,03:00,,24,33,12,30,
2017-12-03,04:00,,35,28,21,24,
2017-12-03,05:00,,8,19,30,22,
2017-12-03,06:00,,30,25,26,21,
2017-12-03,07:00,,25,33,22,23,
2017-12-03,08:00,,25,34,19,24,
2017-12-03,09:00,,39,35,25,22,
2017-12-03,10:00,,51,32,30,19,
2017-12-03,11:00,,53,34,34,15,
2017-12-03,12:00,,77,43,34,16,
2017-12-03,13:00,,49,34,38,18,
2017-12-03,14:00,,67,46,32,18,
2017-12-03,15:00,,101,53,28,19,
2017-12-03,16:00,,101,59,25,17,
2017-12-03,17:00,,130,68,22,21,
2017-12-03,18:00,,107,62,22,21,
2017-12-03,19:00,,107,56,21,19,
2017-12-03,20:00,,55,41,26,17,
2017-12-03,21:00,,27,25,28,13,
2017-12-03,22:00,,18,24,28,10,
2017-12-03,23:00,,16,22,26,9,
2017-12-04,00:00,,7,18,26,10,
2017-12-04,01:00,,4,17,25,11,
2017-12-04,02:00,,2,17,24,11,
2017-12-04,03:00,,4,17,23,10,
2017-12-04,04:00,,4,17,24,9,
2017-12-04,05:00,,5,19,24,9,
2017-12-04,06:00,,23,25,21,8,
2017-12-04,07:00,,52,38,18,9,
2017-12-04,08:00,,68,42,17,15,
2017-12-04,09:00,,61,42,16,14,
2017-12-04,10:00,,84,45,14,11,
2017-12-04,11:00,,51,39,18,8,
2017-12-04,12:00,,37,34,28,9,
2017-12-04,13:00,,46,37,32,11,
2017-12-04,14:00,,46,41,32,13,
2017-12-04,15:00,,57,50,37,7,
2017-12-04,16:00,,64,49,38,9,
2017-12-04,17:00,,66,59,29,7,
2017-12-04,18:00,,79,59,33,12,
2017-12-04,19:00,,27,41,41,9,
2017-12-04,20:00,,24,33,41,9,
2017-12-04,21:00,,17,33,40,12,
2017-12-04,22:00,,14,29,41,14,
2017-12-04,23:00,,13,24,46,12,
2017-12-05,00:00,,4,14,52,11,
2017-12-05,01:00,,3,11,57,11,
2017-12-05,02:00,,1,9,58,6,
2017-12-05,03:00,,3,9,54,7,
2017-12-05,04:00,,4,11,52,7,
2017-12-05,05:00,,18,18,51,4,
2017-12-05,06:00,,14,19,50,3,
2017-12-05,07:00,,23,26,47,3,
2017-12-05,08:00,,24,30,41,5,
2017-12-05,09:00,,35,33,39,6,
2017-12-05,10:00,,38,31,39,8,
2017-12-05,11:00,,39,31,35,9,
2017-12-05,12:00,,49,32,35,10,
2017-12-05,13:00,,49,33,37,13,
2017-12-05,14:00,,62,39,34,10,
2017-12-05,15:00,,75,43,29,12,
2017-12-05,16:00,,92,45,26,15,
2017-12-05,17:00,,114,55,22,15,
2017-12-05,18:00,,87,47,26,13,
2017-12-05,19:00,,57,38,29,11,
2017-12-05,20:00,,35,35,29,11,
2017-12-05,21:00,,31,30,30,10,
2017-12-05,22:00,,25,27,32,13,
2017-12-05,23:00,,17,23,34,12,
2017-12-06,00:00,,13,19,40,11,
2017-12-06,01:00,,6,14,43,11,
2017-12-06,02:00,,2,11,46,11,
2017-12-06,03:00,,3,11,48,9,
2017-12-06,04:00,,4,12,47,10,
