Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-06-01,01:00,,1,10,91,19,
2018-06-01,02:00,,1,14,74,23,
2018-06-01,03:00,,1,12,58,25,
2018-06-01,04:00,,1,10,63,26,
2018-06-01,05:00,,1,9,65,23,
2018-06-01,06:00,,1,9,65,25,
2018-06-01,07:00,,1,9,74,25,
2018-06-01,08:00,,1,7,108,25,
2018-06-01,09:00,,1,4,122,23,
2018-06-01,10:00,,1,3,131,22,
2018-06-01,11:00,,1,2,135,24,
2018-06-01,12:00,,1,3,137,25,
2018-06-01,13:00,,1,3,141,26,
2018-06-01,14:00,,1,3,145,25,
2018-06-01,15:00,,1,3,133,26,
2018-06-01,16:00,,1,4,114,24,
2018-06-01,17:00,,1,6,106,20,
2018-06-01,18:00,,1,7,87,17,
2018-06-01,19:00,,1,8,87,15,
2018-06-01,20:00,,1,8,83,12,
2018-06-01,21:00,,1,9,67,14,
2018-06-01,22:00,,1,9,60,14,
2018-06-01,23:00,,1,10,56,14,
2018-06-02,00:00,,1,9,53,14,
2018-06-02,01:00,,1,7,61,13,
2018-06-02,02:00,,1,7,77,11,
2018-06-02,03:00,,1,7,69,9,
2018-06-02,04:00,,1,7,68,10,
2018-06-02,05:00,,1,8,64,11,
2018-06-02,06:00,,1,8,65,12,
2018-06-02,07:00,,1,7,75,9,
2018-06-02,08:00,,1,6,81,7,
2018-06-02,09:00,,1,5,83,8,
2018-06-02,10:00,,1,4,91,9,
