Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-06-01,01:00,,1,5,121,21,
2018-06-01,02:00,,1,7,98,20,
2018-06-01,03:00,,1,6,99,22,
2018-06-01,04:00,,1,8,74,23,
2018-06-01,05:00,,1,9,73,20,
2018-06-01,06:00,,1,10,68,19,
2018-06-01,07:00,,1,10,54,19,
2018-06-01,08:00,,1,10,54,18,
2018-06-01,09:00,,1,7,70,16,
2018-06-01,10:00,,1,4,92,15,
2018-06-01,11:00,,1,4,94,10,
2018-06-01,12:00,,1,4,104,9,
2018-06-01,13:00,,1,3,110,11,
2018-06-01,14:00,,1,3,112,11,
2018-06-01,15:00,,1,3,116,13,
2018-06-01,16:00,,1,3,108,13,
2018-06-01,17:00,,1,4,96,13,
2018-06-01,18:00,,1,4,94,9,
2018-06-01,19:00,,1,3,96,8,
2018-06-01,20:00,,1,5,80,7,
2018-06-01,21:00,,1,7,89,7,
2018-06-01,22:00,,1,5,89,6,
2018-06-01,23:00,,1,5,88,7,
2018-06-02,00:00,,1,7,72,8,
2018-06-02,01:00,,1,8,70,8,
2018-06-02,02:00,,1,7,64,8,
2018-06-02,03:00,,1,7,66,7,
2018-06-02,04:00,,1,7,66,7,
2018-06-02,05:00,,1,7,66,6,
2018-06-02,06:00,,1,9,53,5,
2018-06-02,07:00,,1,9,53,6,
2018-06-02,08:00,,1,7,55,7,
2018-06-02,09:00,,1,7,53,8,
2018-06-02,10:00,,1,7,50,9,
2018-06-02,11:00,,1,7,51,10,
2018-06-02,12:00,,1,6,50,11,
2018-06-02,13:00,,1,6,51,11,
2018-06-02,14:00,,1,5,57,9,
2018-06-02,15:00,,1,4,66,9,
2018-06-02,16:00,,1,4,71,9,
