Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-10-01,01:00,,1,10,66,,,6.7
2017-10-01,02:00,,1,9,62,,,7.0
2017-10-01,03:00,,1,11,59,,,9.2
2017-10-01,04:00,,1,8,58,,,6.5
2017-10-01,05:00,,1,10,56,,,8.1
2017-10-01,06:00,,1,12,53,,,10.6
2017-10-01,07:00,,1,15,50,,,12.7
2017-10-01,08:00,,1,14,53,,,10.3
2017-10-01,09:00,,2,13,55,,,8.7
2017-10-01,10:00,,2,11,56,,,7.6
2017-10-01,11:00,,1,7,59,,,4.6
2017-10-01,12:00,,2,10,58,,,6.4
2017-10-01,13:00,,1,11,57,,,5.7
2017-10-01,14:00,,2,15,50,,,7.1
2017-10-01,15:00,,3,16,47,,,6.4
2017-10-01,16:00,,2,21,48,,,9.2
2017-10-01,17:00,,1,19,53,,,7.9
2017-10-01,18:00,,1,25,42,,,10.1
2017-10-01,19:00,,1,19,54,,,8.6
2017-10-01,20:00,,1,13,58,,,5.6
2017-10-01,21:00,,1,12,60,,,6.8
2017-10-01,22:00,,1,31,42,,,15.4
2017-10-01,23:00,,1,52,20,,,24.8
2017-10-02,00:00,,1,28,47,,,18.1
2017-10-02,01:00,,1,20,46,,,25.4
2017-10-02,02:00,,1,21,43,,,33.6
2017-10-02,03:00,,1,8,55,,,9.3
2017-10-02,04:00,,1,16,36,,,8.0
2017-10-02,05:00,,1,13,36,,,17.3
2017-10-02,06:00,,1,12,32,,,10.4
2017-10-02,07:00,,1,15,25,,,5.2
2017-10-02,08:00,,1,11,26,,,7.3
2017-10-02,09:00,,2,8,36,,,4.7
2017-10-02,10:00,,2,8,39,,,3.2
2017-10-02,11:00,,1,6,43,,,1.2
2017-10-02,12:00,,1,7,45,,,2.0
2017-10-02,13:00,,1,5,55,,,1.7
2017-10-02,14:00,,1,3,60,,,1.1
2017-10-02,15:00,,1,4,57,,,0.5
2017-10-02,16:00,,1,6,51,,,0.5
2017-10-02,17:00,,1,5,57,,,0.5
2017-10-02,18:00,,1,9,54,,,24.5
2017-10-02,19:00,,1,7,53,,,7.4
2017-10-02,20:00,,1,8,44,,,6.5
2017-10-02,21:00,,1,8,37,,,2.8
2017-10-02,22:00,,1,7,34,,,1.5
2017-10-02,23:00,,1,5,35,,,0.5
2017-10-03,00:00,,1,4,44,,,0.5
2017-10-03,01:00,,1,3,49,,,0.5
2017-10-03,02:00,,1,2,52,,,0.5
2017-10-03,03:00,,1,2,52,,,0.5
2017-10-03,04:00,,1,2,53,,,0.5
2017-10-03,05:00,,1,2,64,,,0.5
2017-10-03,06:00,,1,2,68,,,0.5
2017-10-03,07:00,,1,5,68,,,0.5
2017-10-03,08:00,,1,8,65,,,0.5
2017-10-03,09:00,,1,4,68,,,0.5
2017-10-03,10:00,,1,3,67,,,0.5
2017-10-03,11:00,,1,3,68,,,0.5
2017-10-03,12:00,,1,3,69,,,0.5
2017-10-03,13:00,,1,3,69,,,0.5
2017-10-03,14:00,,1,2,71,,,0.5
2017-10-03,15:00,,1,2,69,,,0.5
2017-10-03,16:00,,1,2,66,,,0.5
2017-10-03,17:00,,1,2,67,,,0.5
2017-10-03,18:00,,1,2,65,,,0.5
2017-10-03,19:00,,1,3,62,,,0.5
2017-10-03,20:00,,1,3,59,,,0.5
2017-10-03,21:00,,1,3,59,,,0.5
2017-10-03,22:00,,1,3,60,,,0.5
2017-10-03,23:00,,1,4,59,,,0.5
2017-10-04,00:00,,1,4,56,,,0.5
2017-10-04,01:00,,1,3,55,,,0.5
2017-10-04,02:00,,1,3,56,,,0.5
2017-10-04,03:00,,1,3,55,,,0.5
2017-10-04,04:00,,1,3,52,,,0.5
2017-10-04,05:00,,1,3,53,,,0.5
2017-10-04,06:00,,1,3,54,,,0.5
2017-10-04,07:00,,1,3,57,,,0.5
2017-10-04,08:00,,1,3,55,,,0.5
2017-10-04,09:00,,1,3,51,,,0.5
2017-10-04,10:00,,1,3,56,,,0.5
2017-10-04,11:00,,1,3,63,,,0.5
2017-10-04,12:00,,1,3,69,,,0.5
2017-10-04,13:00,,1,3,71,,,0.5
2017-10-04,14:00,,1,3,71,,,0.5
2017-10-04,15:00,,1,4,67,,,0.5
2017-10-04,16:00,,1,4,67,,,0.5
2017-10-04,17:00,,1,5,65,,,0.5
2017-10-04,18:00,,1,5,64,,,0.5
2017-10-04,19:00,,1,5,62,,,0.5
2017-10-04,20:00,,1,6,61,,,0.5
2017-10-04,21:00,,1,6,63,,,0.5
2017-10-04,22:00,,1,5,62,,,0.5
2017-10-04,23:00,,1,4,64,,,0.5
2017-10-05,00:00,,1,4,63,,,0.5
2017-10-05,01:00,,1,5,62,,,0.5
2017-10-05,02:00,,1,4,61,,,0.5
2017-10-05,03:00,,1,4,61,,,0.5
2017-10-05,04:00,,1,3,60,,,0.5
2017-10-05,05:00,,1,3,63,,,0.5
2017-10-05,06:00,,1,3,64,,,0.5
2017-10-05,07:00,,1,3,62,,,0.5
2017-10-05,08:00,,1,3,59,,,0.5
2017-10-05,09:00,,1,3,57,,,0.5
2017-10-05,10:00,,1,4,60,,,0.5
2017-10-05,11:00,,1,4,60,,,0.5
2017-10-05,12:00,,1,4,60,,,0.5
2017-10-05,13:00,,1,4,60,,,0.5
2017-10-05,14:00,,1,4,61,,,0.5
2017-10-05,15:00,,1,4,58,,,0.5
2017-10-05,16:00,,1,4,62,,,0.5
2017-10-05,17:00,,1,3,65,,,0.5
2017-10-05,18:00,,1,2,68,,,0.5
2017-10-05,19:00,,1,3,72,,,0.5
2017-10-05,20:00,,1,3,70,,,0.5
2017-10-05,21:00,,1,3,66,,,0.5
2017-10-05,22:00,,1,2,66,,,0.5
2017-10-05,23:00,,1,2,67,,,0.5
2017-10-06,00:00,,1,2,68,,,0.5
2017-10-06,01:00,,1,2,67,,,0.5
2017-10-06,02:00,,1,2,65,,,0.5
2017-10-06,03:00,,1,2,65,,,0.5
2017-10-06,04:00,,1,2,64,,,0.5
2017-10-06,05:00,,1,2,63,,,0.5
2017-10-06,06:00,,1,2,63,,,0.5
2017-10-06,07:00,,1,2,61,,,0.5
2017-10-06,08:00,,1,3,62,,,0.5
2017-10-06,09:00,,1,3,63,,,0.5
2017-10-06,10:00,,1,3,63,,,0.5
2017-10-06,11:00,,1,3,62,,,0.5
2017-10-06,12:00,,1,4,61,,,0.5
2017-10-06,13:00,,1,4,62,,,0.5
