Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_HVS,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-10-01,,,,,,16,15.52,9.73,
2017-10-01,01:00,,2,12,65,,,,
2017-10-01,02:00,,2,10,63,,,,
2017-10-01,03:00,,1,9,61,,,,
2017-10-01,04:00,,1,9,60,,,,
2017-10-01,05:00,,3,10,58,,,,
2017-10-01,06:00,,3,11,56,,,,
2017-10-01,07:00,,4,15,52,,,,
2017-10-01,08:00,,25,27,41,,,,
2017-10-01,09:00,,50,48,29,,,,
2017-10-01,10:00,,76,66,19,,,,
2017-10-01,11:00,,64,49,27,,,,
2017-10-01,12:00,,38,34,39,,,,
2017-10-01,13:00,,26,31,46,,,,
2017-10-01,14:00,,77,59,30,,,,
2017-10-01,15:00,,56,53,30,,,,
2017-10-01,16:00,,73,63,24,,,,
2017-10-01,17:00,,90,66,19,,,,
2017-10-01,18:00,,95,71,13,,,,
2017-10-01,19:00,,49,57,13,,,,
2017-10-01,20:00,,44,52,9,,,,
2017-10-01,21:00,,26,48,12,,,,
2017-10-01,22:00,,42,50,8,,,,
2017-10-01,23:00,,31,38,4,,,,
2017-10-02,,,,,,20,20.29,13.24,
2017-10-02,00:00,,33,32,6,,,,
2017-10-02,01:00,,5,30,25,,,,
2017-10-02,02:00,,6,23,20,,,,
2017-10-02,03:00,,5,22,22,,,,
2017-10-02,04:00,,6,27,18,,,,
2017-10-02,05:00,,25,36,13,,,,
2017-10-02,06:00,,57,43,8,,,,
2017-10-02,07:00,,65,44,6,,,,
2017-10-02,08:00,,59,34,12,,,,
2017-10-02,09:00,,126,54,13,,,,
2017-10-02,10:00,,70,46,35,,,,
2017-10-02,11:00,,70,47,43,,,,
2017-10-02,12:00,,99,66,34,,,,
2017-10-02,13:00,,62,47,41,,,,
2017-10-02,14:00,,68,54,39,,,,
2017-10-02,15:00,,149,86,21,,,,
2017-10-02,16:00,,123,72,20,,,,
2017-10-02,17:00,,120,74,10,,,,
2017-10-02,18:00,,145,85,10,,,,
2017-10-02,19:00,,114,75,11,,,,
2017-10-02,20:00,,57,51,17,,,,
2017-10-02,21:00,,38,27,24,,,,
2017-10-02,22:00,,20,24,28,,,,
2017-10-02,23:00,,21,22,20,,,,
2017-10-03,,,,,,9,8.82,4.22,
