Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-01,,,,,,21,,
2017-02-01,01:00,,11,38,,,,
2017-02-01,02:00,,10,38,,,,
2017-02-01,03:00,,7,36,,,,
2017-02-01,04:00,,15,37,,,,
2017-02-01,05:00,,24,38,,,,
2017-02-01,06:00,,25,39,,,,
2017-02-01,07:00,,49,40,,,,
2017-02-01,08:00,,89,45,,,,
2017-02-01,09:00,,87,44,,,,
2017-02-01,10:00,,59,36,,,,
2017-02-01,11:00,,43,31,,,,
2017-02-01,12:00,,43,31,,,,
2017-02-01,13:00,,57,35,,,,
2017-02-01,14:00,,45,32,,,,
2017-02-01,15:00,,55,34,,,,
2017-02-01,16:00,,53,39,,,,
2017-02-01,17:00,,68,46,,,,
2017-02-01,18:00,,90,49,,,,
2017-02-01,19:00,,50,46,,,,
2017-02-01,20:00,,53,50,,,,
2017-02-01,21:00,,33,44,,,,
2017-02-01,22:00,,28,43,,,,
2017-02-01,23:00,,38,44,,,,
2017-02-02,,,,,,26,,
2017-02-02,00:00,,30,41,,,,
2017-02-02,01:00,,25,38,,,,
2017-02-02,02:00,,17,38,,,,
2017-02-02,03:00,,11,37,,,,
2017-02-02,04:00,,12,39,,,,
2017-02-02,05:00,,17,41,,,,
2017-02-02,06:00,,23,45,,,,
2017-02-02,07:00,,54,53,,,,
2017-02-02,08:00,,115,64,,,,
2017-02-02,09:00,,122,64,,,,
2017-02-02,10:00,,98,57,,,,
2017-02-02,11:00,,37,38,,,,
2017-02-02,12:00,,41,45,,,,
2017-02-02,13:00,,51,48,,,,
2017-02-02,14:00,,43,49,,,,
2017-02-02,15:00,,57,49,,,,
2017-02-02,16:00,,50,54,,,,
2017-02-02,17:00,,90,68,,,,
2017-02-02,18:00,,128,74,,,,
2017-02-02,19:00,,128,70,,,,
