Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-01,01:00,,,,2,,,2.7
2017-02-01,02:00,,,,16,,,3.4
2017-02-01,03:00,,,,10,,,3.0
2017-02-01,04:00,,,,6,,,3.0
2017-02-01,05:00,,,,3,,,4.1
2017-02-01,06:00,,,,6,,,2.3
2017-02-01,07:00,,,,4,,,2.7
2017-02-01,08:00,,,,11,,,3.7
2017-02-01,09:00,,,,37,,,3.2
2017-02-01,10:00,,,,45,,,2.8
2017-02-01,11:00,,,,29,,,2.7
2017-02-01,12:00,,,,30,,,1.3
2017-02-01,13:00,,,,36,,,1.8
2017-02-01,14:00,,,,38,,,3.7
2017-02-01,15:00,,,,41,,,3.6
2017-02-01,16:00,,,,39,,,2.8
2017-02-01,17:00,,,,50,,,1.8
2017-02-01,18:00,,,,56,,,1.1
2017-02-01,19:00,,,,56,,,0.5
2017-02-01,20:00,,,,56,,,1.1
2017-02-01,21:00,,,,47,,,6.7
2017-02-01,22:00,,,,49,,,4.2
2017-02-01,23:00,,,,68,,,1.2
2017-02-02,00:00,,,,73,,,0.5
2017-02-02,01:00,,,,91,,,0.5
2017-02-02,02:00,,,,90,,,0.5
2017-02-02,03:00,,,,93,,,0.5
2017-02-02,04:00,,,,95,,,0.5
2017-02-02,05:00,,,,82,,,0.5
2017-02-02,06:00,,,,69,,,0.5
2017-02-02,07:00,,,,58,,,0.5
2017-02-02,08:00,,,,55,,,0.5
2017-02-02,09:00,,,,66,,,0.5
2017-02-02,10:00,,,,71,,,0.5
2017-02-02,11:00,,,,65,,,0.5
2017-02-02,12:00,,,,71,,,0.5
2017-02-02,13:00,,,,77,,,0.5
2017-02-02,14:00,,,,80,,,0.5
2017-02-02,15:00,,,,82,,,1.3
2017-02-02,16:00,,,,77,,,2.4
2017-02-02,17:00,,,,77,,,1.8
2017-02-02,18:00,,,,78,,,1.6
2017-02-02,19:00,,,,80,,,1.4
2017-02-02,20:00,,,,79,,,1.9
2017-02-02,21:00,,,,82,,,1.4
2017-02-02,22:00,,,,82,,,1.4
2017-02-02,23:00,,,,83,,,1.5
2017-02-03,00:00,,,,84,,,0.5
2017-02-03,01:00,,,,83,,,0.5
2017-02-03,02:00,,,,84,,,0.5
2017-02-03,03:00,,,,81,,,0.5
2017-02-03,04:00,,,,79,,,0.5
2017-02-03,05:00,,,,78,,,0.5
2017-02-03,06:00,,,,82,,,0.5
2017-02-03,07:00,,,,83,,,0.5
2017-02-03,08:00,,,,85,,,0.5
2017-02-03,09:00,,,,81,,,0.5
2017-02-03,10:00,,,,78,,,0.5
2017-02-03,11:00,,,,79,,,0.5
2017-02-03,12:00,,,,81,,,0.5
2017-02-03,13:00,,,,77,,,0.5
2017-02-03,14:00,,,,75,,,0.5
2017-02-03,15:00,,,,76,,,0.5
2017-02-03,16:00,,,,73,,,0.5
2017-02-03,17:00,,,,80,,,0.5
2017-02-03,18:00,,,,86,,,0.5
2017-02-03,19:00,,,,89,,,0.5
2017-02-03,20:00,,,,93,,,0.5
2017-02-03,21:00,,,,92,,,0.5
2017-02-03,22:00,,,,91,,,0.5
2017-02-03,23:00,,,,84,,,0.5
2017-02-04,00:00,,,,76,,,1.4
2017-02-04,01:00,,,,77,,,2.3
2017-02-04,02:00,,,,81,,,0.5
2017-02-04,03:00,,,,84,,,0.5
2017-02-04,04:00,,,,83,,,0.5
2017-02-04,05:00,,,,70,,,0.5
2017-02-04,06:00,,,,67,,,0.5
2017-02-04,07:00,,,,71,,,0.5
2017-02-04,08:00,,,,71,,,0.5
2017-02-04,09:00,,,,73,,,0.5
2017-02-04,10:00,,,,80,,,0.5
2017-02-04,11:00,,,,81,,,0.5
2017-02-04,12:00,,,,84,,,1.3
2017-02-04,13:00,,,,83,,,0.5
2017-02-04,14:00,,,,86,,,0.5
2017-02-04,15:00,,,,89,,,0.5
2017-02-04,16:00,,,,90,,,0.5
2017-02-04,17:00,,,,89,,,0.5
2017-02-04,18:00,,,,92,,,0.5
2017-02-04,19:00,,,,90,,,0.5
2017-02-04,20:00,,,,86,,,0.5
2017-02-04,21:00,,,,75,,,0.5
2017-02-04,22:00,,,,72,,,1.6
2017-02-04,23:00,,,,61,,,2.3
2017-02-05,00:00,,,,57,,,2.3
2017-02-05,01:00,,,,47,,,6.8
2017-02-05,02:00,,,,46,,,6.1
2017-02-05,03:00,,,,52,,,1.6
