Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-03-01,01:00,,1013,93.5,,,61,,,0.5,0,2.0,11.8,276
2019-03-01,02:00,,1013,95.1,,,73,,,0.5,0,1.5,12.8,275
2019-03-01,03:00,,1012,96.0,,,74,,,0.5,0,1.2,12.2,268
2019-03-01,04:00,,1012,97.3,,,69,,,0.5,0,1.0,12.3,261
2019-03-01,05:00,,1011,97.3,,,66,,,0.5,0,0.8,12.7,283
2019-03-01,06:00,,1011,97.5,,,65,,,0.5,0,0.6,11.7,264
2019-03-01,07:00,,1011,97.7,,,60,,,0.5,1,0.6,12.2,258
2019-03-01,08:00,,1011,98.0,,,59,,,0.5,13,0.9,10.9,261
2019-03-01,09:00,,1011,97.9,,,58,,,0.5,34,0.9,10.1,265
2019-03-01,10:00,,1011,98.0,,,55,,,0.5,57,0.9,10.0,268
2019-03-01,11:00,,1010,97.7,,,65,,,0.5,143,0.9,12.0,277
2019-03-01,12:00,,1010,97.7,,,67,,,0.5,153,1.0,11.0,274
2019-03-01,13:00,,1010,97.9,,,66,,,0.5,103,1.3,9.1,277
2019-03-01,14:00,,1010,97.6,,,66,,,0.5,156,1.4,11.2,279
2019-03-01,15:00,,1011,97.4,,,72,,,0.5,117,0.9,10.2,285
2019-03-01,16:00,,1011,97.7,,,71,,,0.5,80,1.1,10.2,284
2019-03-01,17:00,,1011,97.6,,,73,,,0.5,27,0.8,10.6,287
2019-03-01,18:00,,1011,97.8,,,66,,,0.5,6,0.8,10.5,296
2019-03-01,19:00,,1012,97.7,,,65,,,0.5,0,0.4,9.2,296
2019-03-01,20:00,,1013,97.8,,,59,,,0.5,0,0.5,8.1,300
2019-03-01,21:00,,1014,97.8,,,49,,,0.5,0,,7.6,306
2019-03-01,22:00,,1014,97.2,,,40,,,0.5,0,,8.4,304
2019-03-01,23:00,,1015,96.9,,,42,,,0.5,0,,7.7,306
2019-03-02,00:00,,1016,96.4,,,48,,,0.5,0,,7.8,299
2019-03-02,01:00,,1016,96.0,,,53,,,0.5,0,,7.3,296
2019-03-02,02:00,,1017,95.7,,,50,,,0.5,0,,6.2,295
2019-03-02,03:00,,1017,95.4,,,52,,,0.5,0,,6.5,291
2019-03-02,04:00,,1016,95.2,,,56,,,0.5,0,,8.2,286
