Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_As,PM10_BaP,PM10_Cd,PM10_HVS,PM10_Ni,PM10_Pb,PM10_TEOM,PM10_eCT,PM10_oCT,PM2.5,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,ng/m3,ng/m3,ng/m3,µg/m³,ng/m3,ng/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-03-01,,,,,,,,,NaN,,23.24,,,,NaN,,14.77,,,,,,
2019-03-01,01:00,,1012,76.5,1,19,,,,,,,,64,,,,,,,9.0,1.1,
2019-03-01,02:00,,1012,78.5,2,10,,,,,,,,54,,,,,,,8.9,1.3,
2019-03-01,03:00,,1011,75.5,1,6,,,,,,,,32,,,,,,,8.7,1.3,
2019-03-01,04:00,,1011,76.3,2,6,,,,,,,,21,,,,,,,8.4,1.1,
2019-03-01,05:00,,1010,77.9,7,11,,,,,,,,17,,,,,,,8.1,1.2,
2019-03-01,06:00,,1010,78.1,17,24,,,,,,,,18,,,,,,,7.9,1.1,
2019-03-01,07:00,,1010,82.8,31,41,,,,,,,,18,,,,,,,7.5,0.8,
2019-03-01,08:00,,1010,92.4,62,61,,,,,,,,12,,,,,,,6.8,0.8,
2019-03-01,09:00,,1010,96.3,51,48,,,,,,,,17,,,,,,,6.7,0.9,
2019-03-01,10:00,,1010,98.0,55,52,,,,,,,,18,,,,,,,6.9,0.9,
2019-03-01,11:00,,1010,96.5,39,38,,,,,,,,14,,,,,,,7.3,1.3,
2019-03-01,12:00,,1010,93.8,38,39,,,,,,,,12,,,,,,,7.8,1.2,
2019-03-01,13:00,,1010,89.9,36,41,,,,,,,,13,,,,,,,8.5,1.3,
2019-03-01,14:00,,1009,84.0,31,38,,,,,,,,13,,,,,,,9.2,1.5,
