Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-12-01,,,,,,12,
2016-12-01,01:00,,1,22,28,,
2016-12-01,02:00,,1,24,26,,
2016-12-01,03:00,,1,27,23,,
2016-12-01,04:00,,2,29,22,,
2016-12-01,05:00,,2,28,25,,
2016-12-01,06:00,,6,29,26,,
2016-12-01,07:00,,10,32,22,,
2016-12-01,08:00,,13,34,22,,
2016-12-01,09:00,,12,33,23,,
2016-12-01,10:00,,11,31,24,,
2016-12-01,11:00,,11,29,27,,
2016-12-01,12:00,,11,28,28,,
2016-12-01,13:00,,10,27,32,,
2016-12-01,14:00,,10,28,33,,
2016-12-01,15:00,,10,27,35,,
2016-12-01,16:00,,10,27,34,,
2016-12-01,17:00,,7,27,33,,
2016-12-01,18:00,,6,25,34,,
2016-12-01,19:00,,5,23,36,,
2016-12-01,20:00,,3,19,39,,
2016-12-01,21:00,,2,15,46,,
2016-12-01,22:00,,1,13,46,,
2016-12-01,23:00,,1,14,41,,
2016-12-02,,,,,,7,
2016-12-02,00:00,,1,12,45,,
2016-12-02,01:00,,1,10,50,,
2016-12-02,02:00,,1,9,52,,
2016-12-02,03:00,,1,5,68,,
2016-12-02,04:00,,1,4,72,,
2016-12-02,05:00,,1,4,79,,
2016-12-02,06:00,,4,10,71,,
2016-12-02,07:00,,5,13,70,,
2016-12-02,08:00,,11,22,56,,
2016-12-02,09:00,,8,17,60,,
2016-12-02,10:00,,7,15,59,,
2016-12-02,11:00,,6,15,58,,
2016-12-02,12:00,,9,18,59,,
2016-12-02,13:00,,7,16,62,,
2016-12-02,14:00,,8,17,60,,
2016-12-02,15:00,,12,24,53,,
2016-12-02,16:00,,21,40,37,,
2016-12-02,17:00,,21,55,21,,
2016-12-02,18:00,,13,40,31,,
2016-12-02,19:00,,9,33,39,,
2016-12-02,20:00,,7,25,43,,
2016-12-02,21:00,,6,23,39,,
2016-12-02,22:00,,6,29,29,,
2016-12-02,23:00,,6,27,29,,
2016-12-03,,,,,,24,
2016-12-03,00:00,,2,22,34,,
2016-12-03,01:00,,1,21,31,,
2016-12-03,02:00,,1,22,30,,
2016-12-03,03:00,,1,23,27,,
2016-12-03,04:00,,4,27,22,,
2016-12-03,05:00,,3,22,27,,
2016-12-03,06:00,,8,24,25,,
2016-12-03,07:00,,6,27,20,,
2016-12-03,08:00,,9,29,17,,
2016-12-03,09:00,,15,32,16,,
2016-12-03,10:00,,19,32,17,,
2016-12-03,11:00,,13,24,27,,
2016-12-03,12:00,,8,18,37,,
2016-12-03,13:00,,7,18,42,,
2016-12-03,14:00,,7,17,45,,
2016-12-03,15:00,,9,24,37,,
2016-12-03,16:00,,11,32,28,,
2016-12-03,17:00,,79,64,2,,
2016-12-03,18:00,,66,59,2,,
2016-12-03,19:00,,42,54,4,,
2016-12-03,20:00,,52,53,2,,
2016-12-03,21:00,,35,50,3,,
2016-12-03,22:00,,21,44,3,,
2016-12-03,23:00,,21,41,3,,
2016-12-04,,,,,,25,
2016-12-04,00:00,,14,37,3,,
2016-12-04,01:00,,11,34,6,,
2016-12-04,02:00,,8,32,7,,
2016-12-04,03:00,,6,29,11,,
2016-12-04,04:00,,3,26,13,,
2016-12-04,05:00,,2,25,16,,
2016-12-04,06:00,,9,28,14,,
2016-12-04,07:00,,4,27,13,,
2016-12-04,08:00,,9,31,8,,
2016-12-04,09:00,,14,31,9,,
2016-12-04,10:00,,12,25,19,,
2016-12-04,11:00,,6,16,41,,
2016-12-04,12:00,,7,16,45,,
2016-12-04,13:00,,4,14,54,,
2016-12-04,14:00,,5,20,55,,
2016-12-04,15:00,,6,25,44,,
2016-12-04,16:00,,25,50,16,,
2016-12-04,17:00,,44,64,4,,
2016-12-04,18:00,,76,60,2,,
2016-12-04,19:00,,68,56,2,,
2016-12-04,20:00,,53,58,3,,
2016-12-04,21:00,,29,46,7,,
2016-12-04,22:00,,2,26,28,,
2016-12-04,23:00,,1,24,28,,
2016-12-05,00:00,,1,23,29,,
2016-12-05,01:00,,1,18,35,,
2016-12-05,02:00,,1,16,37,,
2016-12-05,03:00,,1,18,34,,
2016-12-05,04:00,,1,19,34,,
2016-12-05,05:00,,1,20,30,,
2016-12-05,06:00,,2,22,28,,
2016-12-05,07:00,,1,21,30,,
2016-12-05,08:00,,9,26,27,,
2016-12-05,09:00,,18,29,27,,
2016-12-05,10:00,,15,22,35,,
2016-12-05,11:00,,8,18,43,,
