Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-12-01,01:00,,1,20,30,,1.9
2016-12-01,02:00,,1,21,28,,1.7
2016-12-01,03:00,,1,23,26,,1.5
2016-12-01,04:00,,1,25,24,,1.8
2016-12-01,05:00,,1,26,25,,2.1
2016-12-01,06:00,,1,25,27,,1.8
2016-12-01,07:00,,1,24,28,,1.4
2016-12-01,08:00,,3,26,25,,1.0
2016-12-01,09:00,,2,25,27,,0.5
2016-12-01,10:00,,2,23,31,,1.1
2016-12-01,11:00,,2,24,31,,2.0
2016-12-01,12:00,,3,25,31,,2.0
2016-12-01,13:00,,3,23,33,,1.7
2016-12-01,14:00,,2,24,35,,1.7
2016-12-01,15:00,,2,23,38,,1.0
2016-12-01,16:00,,1,23,39,,0.5
2016-12-01,17:00,,1,21,40,,0.5
2016-12-01,18:00,,1,19,39,,0.5
2016-12-01,19:00,,1,17,43,,0.5
2016-12-01,20:00,,1,14,48,,0.5
2016-12-01,21:00,,1,13,48,,0.5
2016-12-01,22:00,,1,11,54,,0.5
2016-12-01,23:00,,1,12,45,,0.5
2016-12-02,00:00,,1,12,45,,0.5
2016-12-02,01:00,,1,9,52,,0.5
2016-12-02,02:00,,1,9,50,,0.5
2016-12-02,03:00,,1,5,65,,0.5
2016-12-02,04:00,,1,3,74,,0.5
2016-12-02,05:00,,1,3,77,,0.5
2016-12-02,06:00,,1,4,75,,0.5
2016-12-02,07:00,,1,5,74,,0.5
2016-12-02,08:00,,1,7,72,,0.5
2016-12-02,09:00,,1,8,68,,0.5
2016-12-02,10:00,,1,9,66,,0.5
2016-12-02,11:00,,1,9,65,,1.3
