Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,,,,,,,,13.30,,5.63,,,,,
2018-09-01,01:00,,1023,55.8,1,5,68,,13,,,0,14.2,0.7,347
2018-09-01,02:00,,1023,56.5,1,5,70,,12,,,0,14.2,0.6,340
2018-09-01,03:00,,1023,59.6,1,4,67,,13,,,0,13.4,0.9,340
2018-09-01,04:00,,1023,65.7,1,9,54,,11,,,0,12.2,1.3,342
2018-09-01,05:00,,1023,69.4,1,8,54,,11,,,0,11.6,1.2,343
2018-09-01,06:00,,1023,70.6,1,8,55,,11,,,5,11.5,1.2,349
2018-09-01,07:00,,1024,76.8,1,7,56,,12,,,44,12.2,1.3,352
2018-09-01,08:00,,1024,75.0,1,8,51,,12,,,117,12.6,1.1,347
2018-09-01,09:00,,1025,70.6,1,10,45,,14,,,229,14.1,1.1,347
2018-09-01,10:00,,1025,55.7,1,7,57,,18,,,525,19.0,1.1,342
2018-09-01,11:00,,1025,47.5,1,4,76,,15,,,296,19.5,1.1,347
2018-09-01,12:00,,1025,50.8,1,4,75,,15,,,171,18.3,1.0,345
2018-09-01,13:00,,1025,51.5,1,4,77,,13,,,116,18.2,0.7,343
2018-09-01,14:00,,1025,49.5,1,4,79,,13,,,112,18.7,0.9,0
2018-09-01,15:00,,1025,50.3,1,4,79,,15,,,83,18.5,0.7,47
2018-09-01,16:00,,1025,51.0,1,5,78,,14,,,54,18.1,0.7,104
2018-09-01,17:00,,1025,52.5,1,6,72,,12,,,44,17.8,0.6,130
2018-09-01,18:00,,1025,55.4,1,6,70,,12,,,14,17.3,0.6,127
2018-09-01,19:00,,1026,62.7,1,11,60,,11,,,4,16.5,0.8,131
2018-09-01,20:00,,1026,73.7,1,8,62,,12,,,0,15.4,1.2,144
2018-09-01,21:00,,1026,76.8,1,7,63,,11,,,0,14.8,1.0,150
2018-09-01,22:00,,1026,77.2,1,8,63,,11,,,0,14.8,0.6,124
2018-09-01,23:00,,1026,77.7,1,8,71,,12,,,0,14.7,0.8,28
2018-09-02,,,,,,,,13.23,,9.30,,,,,
