Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,,,,,,,,17.22,,8.64,,,,,
2018-09-01,01:00,,1023,58.8,16,29,34,,16,,,1,16.9,0.3,93
2018-09-01,02:00,,1023,62.5,7,21,37,,10,,,1,16.1,0.3,58
2018-09-01,03:00,,1023,64.2,7,23,32,,15,,,1,15.8,0.3,60
2018-09-01,04:00,,1023,67.3,5,23,28,,19,,,1,15.1,0.3,65
2018-09-01,05:00,,1023,69.1,9,28,23,,17,,,1,14.6,0.3,17
2018-09-01,06:00,,1023,70.0,17,31,22,,15,,,6,14.1,0.4,352
2018-09-01,07:00,,1024,66.2,19,30,31,,12,,,24,14.3,0.6,348
2018-09-01,08:00,,1024,64.4,19,31,32,,16,,,92,14.6,0.7,350
2018-09-01,09:00,,1024,62.1,40,37,30,,20,,,126,15.6,0.7,349
2018-09-01,10:00,,1025,62.8,49,46,24,,18,,,69,16.1,0.6,350
2018-09-01,11:00,,1025,63.0,50,45,24,,24,,,60,16.6,0.6,348
2018-09-01,12:00,,1025,61.0,55,54,31,,22,,,70,17.1,0.9,338
2018-09-01,13:00,,1025,62.0,71,58,34,,17,,,54,17.3,0.9,341
2018-09-01,14:00,,1025,67.5,63,60,38,,17,,,50,16.9,1.0,334
2018-09-01,15:00,,1025,72.7,49,53,42,,20,,,30,16.9,0.9,337
2018-09-01,16:00,,1025,87.6,85,66,30,,19,,,31,15.9,0.5,22
2018-09-01,17:00,,1025,89.2,107,80,23,,19,,,18,15.9,0.5,312
2018-09-01,18:00,,1026,88.6,56,56,40,,18,,,15,15.6,0.7,329
2018-09-01,19:00,,1026,90.8,43,47,43,,16,,,1,15.2,0.5,340
2018-09-01,20:00,,1026,94.3,25,45,38,,15,,,1,15.0,0.4,350
2018-09-01,21:00,,1026,95.3,14,29,49,,12,,,1,14.8,0.4,351
2018-09-01,22:00,,1026,94.8,18,34,43,,12,,,1,15.1,0.4,350
2018-09-01,23:00,,1026,94.8,12,32,39,,13,,,1,15.2,0.4,352
2018-09-02,,,,,,,,19.27,,14.46,,,,,
2018-09-02,00:00,,1025,95.5,7,21,43,,13,,,1,15.2,0.4,343
2018-09-02,01:00,,1025,95.7,5,18,50,,11,,,1,15.1,0.5,348
2018-09-02,02:00,,1025,96.3,6,18,49,,12,,,1,14.9,0.7,343
2018-09-02,03:00,,1025,96.0,7,15,51,,13,,,1,14.6,0.7,344
2018-09-02,04:00,,1025,95.1,3,13,44,,15,,,1,14.7,0.6,346
2018-09-02,05:00,,1024,94.1,4,13,47,,13,,,1,14.7,0.6,344
2018-09-02,06:00,,1024,94.2,9,17,51,,11,,,1,14.7,0.7,342
2018-09-02,07:00,,1024,94.0,6,17,48,,12,,,3,15.0,0.4,356
2018-09-02,08:00,,1024,95.0,27,25,39,,11,,,6,15.1,0.4,8
2018-09-02,09:00,,1024,94.7,39,41,28,,11,,,13,15.3,0.5,351
2018-09-02,10:00,,1024,93.7,64,59,20,,13,,,23,15.7,0.6,337
2018-09-02,11:00,,1024,92.3,59,57,26,,16,,,46,16.1,0.8,328
2018-09-02,12:00,,1024,89.8,95,67,23,,16,,,64,16.7,0.7,329
2018-09-02,13:00,,1023,86.5,52,51,31,,19,,,80,17.2,0.7,323
2018-09-02,14:00,,1023,85.2,63,49,35,,18,,,74,17.7,0.7,336
2018-09-02,15:00,,1023,84.6,55,49,33,,17,,,69,17.9,0.8,330
2018-09-02,16:00,,1023,82.5,48,49,35,,23,,,56,18.4,0.7,335
2018-09-02,17:00,,1022,82.1,55,54,32,,25,,,35,18.6,0.5,336
2018-09-02,18:00,,1022,81.9,39,40,37,,27,,,27,18.9,0.4,334
2018-09-02,19:00,,1022,84.4,17,33,34,,25,,,5,18.5,0.4,333
2018-09-02,20:00,,1022,86.8,25,35,30,,24,,,1,18.1,0.4,354
2018-09-02,21:00,,1022,87.0,23,34,26,,24,,,1,18.2,0.3,8
2018-09-02,22:00,,1021,88.5,42,44,16,,24,,,1,18.2,0.3,328
2018-09-02,23:00,,1021,89.9,20,34,15,,28,,,1,18.0,0.3,110
2018-09-03,,,,,,,,32.27,,22.13,,,,,
2018-09-03,00:00,,1020,91.4,21,34,6,,25,,,1,17.5,0.3,167
2018-09-03,01:00,,1020,90.6,13,27,11,,26,,,1,17.8,0.3,40
2018-09-03,02:00,,1019,91.9,6,23,9,,27,,,1,17.6,0.4,33
2018-09-03,03:00,,1019,92.0,7,25,5,,27,,,1,17.7,0.3,326
2018-09-03,04:00,,1019,90.9,17,33,1,,26,,,1,17.8,0.3,0
2018-09-03,05:00,,1018,91.1,61,44,1,,31,,,1,17.6,0.4,346
2018-09-03,06:00,,1018,91.7,99,57,1,,36,,,2,17.5,0.4,344
2018-09-03,07:00,,1018,92.6,176,69,1,,48,,,10,17.5,0.6,343
2018-09-03,08:00,,1018,91.8,156,63,2,,56,,,31,17.8,0.7,333
2018-09-03,09:00,,1018,88.3,123,57,10,,51,,,108,18.6,0.6,323
2018-09-03,10:00,,1018,76.8,105,58,17,,40,,,270,21.2,0.7,41
2018-09-03,11:00,,1018,69.1,60,42,35,,32,,,349,22.7,0.7,332
2018-09-03,12:00,,1017,64.5,61,51,50,,22,,,216,23.6,0.6,336
2018-09-03,13:00,,1017,67.2,96,74,23,,21,,,120,23.7,0.6,169
