Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-10-01,,,,,,,,18.74,,,,,,,,
2018-10-01,01:00,,1011,75.0,66,51,,,35,,,,,8.5,0.5,121
2018-10-01,02:00,,1011,75.6,52,44,,,27,,,,,8.2,0.3,154
2018-10-01,03:00,,1011,71.7,7,47,,,6,,,,,7.7,0.7,284
2018-10-01,04:00,,1010,69.3,16,37,,,13,,,,,7.8,0.7,280
2018-10-01,05:00,,1010,72.8,33,46,,,19,,,,,7.1,0.6,276
2018-10-01,06:00,,1011,73.2,105,65,,,25,,,,,6.8,0.6,269
2018-10-01,07:00,,1011,71.5,100,65,,,29,,,,,7.1,0.6,284
2018-10-01,08:00,,1011,67.0,133,65,,,29,,,,,8.3,0.6,284
2018-10-01,09:00,,1012,64.0,76,58,,,35,,,,,9.5,0.7,287
2018-10-01,10:00,,1012,64.5,52,50,,,47,,,,,11.0,0.9,289
2018-10-01,11:00,,1013,64.5,42,46,,,40,,,,,12.4,1.1,286
2018-10-01,12:00,,1013,67.0,36,42,,,38,,,,,13.0,1.5,285
2018-10-01,13:00,,1013,82.7,46,51,,,23,,,,,11.4,1.1,284
2018-10-01,14:00,,1013,76.5,46,52,,,7,,,,,12.2,1.0,281
2018-10-01,15:00,,1013,70.2,41,46,,,4,,,,,12.3,1.2,288
2018-10-01,16:00,,1013,69.7,74,60,,,31,,,,,12.9,0.7,278
2018-10-01,17:00,,1013,64.5,20,36,,,,,,,,12.6,1.3,294
2018-10-01,18:00,,1014,66.1,31,40,,,6,,,,,11.9,1.3,285
2018-10-01,19:00,,1015,68.2,15,30,,,10,,,,,10.8,1.2,287
2018-10-01,20:00,,1016,71.9,14,28,,,10,,,,,10.3,1.1,286
2018-10-01,21:00,,1016,74.3,7,21,,,3,,,,,9.6,1.1,287
2018-10-01,22:00,,1017,69.0,4,15,,,,,,,,9.2,1.1,287
2018-10-01,23:00,,1017,74.3,2,13,,,14,,,,,8.2,1.4,295
2018-10-02,,,,,,,,12.17,,,,,,,,
2018-10-02,00:00,,1018,81.1,1,12,,,6,,,,,7.3,1.5,296
2018-10-02,01:00,,1018,82.6,2,14,,,4,,,,,7.0,1.3,295
2018-10-02,02:00,,1018,81.8,1,13,,,5,,,,,7.2,1.3,294
2018-10-02,03:00,,1018,83.4,1,9,,,9,,,,,7.3,1.4,295
2018-10-02,04:00,,1018,85.1,4,13,,,6,,,,,7.3,1.4,295
2018-10-02,05:00,,1018,83.0,6,17,,,2,,,,,7.1,1.6,296
2018-10-02,06:00,,1018,80.9,13,27,,,5,,,,,7.0,1.6,295
2018-10-02,07:00,,1018,79.9,27,39,,,8,,,,,6.7,1.4,292
2018-10-02,08:00,,1019,74.8,77,57,,,20,,,,,8.0,0.8,276
2018-10-02,09:00,,1019,71.2,67,49,,,18,,,,,8.7,0.8,276
2018-10-02,10:00,,1018,65.4,46,42,,,21,,,,,9.9,1.2,284
2018-10-02,11:00,,1018,62.2,23,30,,,18,,,,,10.3,2.0,291
2018-10-02,12:00,,1017,65.8,24,30,,,27,,,,,9.9,1.9,288
2018-10-02,13:00,,1017,73.5,44,40,,,27,,,,,9.5,1.6,286
2018-10-02,14:00,,1016,72.5,70,58,,,10,,,,,10.0,0.9,256
2018-10-02,15:00,,1015,73.1,79,54,,,12,,,,,10.1,0.8,240
2018-10-02,16:00,,1014,75.6,65,51,,,8,,,,,9.8,0.8,239
2018-10-02,17:00,,1013,71.4,51,49,,,4,,,,,10.2,0.9,258
2018-10-02,18:00,,1013,77.5,50,50,,,25,,,,,10.0,0.9,268
2018-10-02,19:00,,1014,81.8,40,41,,,6,,,,,9.8,1.1,286
2018-10-02,20:00,,1014,82.2,14,25,,,9,,,,,9.8,1.6,290
2018-10-02,21:00,,1014,79.9,3,16,,,6,,,,,10.4,2.3,293
2018-10-02,22:00,,1014,80.1,3,15,,,10,,,,,10.7,2.2,295
2018-10-02,23:00,,1014,80.4,2,13,,,8,,,,,10.9,2.2,296
2018-10-03,,,,,,,,14.47,,,,,,,,
2018-10-03,00:00,,1014,80.5,2,12,,,7,,,,,11.0,2.4,296
2018-10-03,01:00,,1014,80.5,1,12,,,8,,,,,10.9,2.6,297
2018-10-03,02:00,,1014,77.9,1,12,,,5,,,,,11.0,2.8,299
2018-10-03,03:00,,1015,66.1,1,5,,,,,,,,10.9,2.7,298
2018-10-03,04:00,,1015,66.2,1,5,,,11,,,,,10.4,2.2,297
2018-10-03,05:00,,1016,63.8,1,6,,,10,,,,,10.6,2.4,298
2018-10-03,06:00,,1016,66.1,1,9,,,17,,,,,10.5,2.3,297
2018-10-03,07:00,,1016,62.2,1,9,,,7,,,,,10.8,2.5,298
2018-10-03,08:00,,1017,64.0,2,10,,,23,,,,,11.1,2.3,297
2018-10-03,09:00,,1018,63.4,3,9,,,20,,,,,12.2,2.4,295
2018-10-03,10:00,,1018,56.9,4,9,,,12,,,,,13.5,2.9,293
2018-10-03,11:00,,1019,56.2,3,9,,,16,,,,,13.6,2.6,294
2018-10-03,12:00,,1020,55.2,4,11,,,15,,,,,13.6,2.4,294
2018-10-03,13:00,,1020,65.0,7,14,,,30,,,,,12.9,2.1,288
2018-10-03,14:00,,1021,69.6,11,18,,,25,,,,,12.7,1.7,282
2018-10-03,15:00,,1021,61.8,12,22,,,,,,,,13.7,1.4,283
2018-10-03,16:00,,1021,54.3,11,21,,,3,,,,,14.1,1.7,287
2018-10-03,17:00,,1022,53.6,19,30,,,15,,,,,14.0,1.2,276
2018-10-03,18:00,,1023,57.6,22,34,,,20,,,,,13.5,0.9,279
2018-10-03,19:00,,1023,59.5,19,40,,,25,,,,,13.0,0.6,287
2018-10-03,20:00,,1024,62.2,17,44,,,23,,,,,12.5,0.5,294
2018-10-03,21:00,,1025,63.5,9,25,,,13,,,,,11.6,0.8,295
2018-10-03,22:00,,1025,65.0,4,18,,,14,,,,,11.3,0.8,293
2018-10-03,23:00,,1025,67.3,4,17,,,11,,,,,10.5,0.8,295
2018-10-04,00:00,,1025,67.5,2,15,,,12,,,,,10.6,1.0,296
2018-10-04,01:00,,1025,69.3,5,24,,,14,,,,,10.2,0.7,289
2018-10-04,02:00,,1026,71.3,5,25,,,12,,,,,9.7,0.3,224
2018-10-04,03:00,,1026,71.6,3,23,,,8,,,,,9.1,0.5,285
2018-10-04,04:00,,1026,72.6,18,38,,,15,,,,,8.7,0.6,290
2018-10-04,05:00,,1026,73.4,45,52,,,19,,,,,8.6,0.6,279
2018-10-04,06:00,,1026,74.4,79,61,,,22,,,,,8.2,0.6,114
2018-10-04,07:00,,1026,73.6,75,54,,,38,,,,,8.3,0.6,111
2018-10-04,08:00,,1026,70.6,75,61,,,37,,,,,9.6,0.8,107
2018-10-04,09:00,,1027,64.3,56,54,,,35,,,,,11.8,0.7,109
2018-10-04,10:00,,1027,62.1,89,63,,,37,,,,,12.8,0.8,279
2018-10-04,11:00,,1027,59.0,84,57,,,44,,,,,14.2,0.9,286
2018-10-04,12:00,,1027,60.0,69,59,,,48,,,,,14.2,0.9,289
2018-10-04,13:00,,1027,56.5,64,54,,,42,,,,,16.0,0.8,280
2018-10-04,14:00,,1026,56.9,33,43,,,32,,,,,16.5,1.2,291
2018-10-04,15:00,,1026,54.2,38,47,,,23,,,,,17.3,1.0,287
2018-10-04,16:00,,1026,54.0,52,56,,,25,,,,,17.4,0.6,276
2018-10-04,17:00,,1025,55.2,62,63,,,21,,,,,17.1,0.6,274
2018-10-04,18:00,,1025,56.7,45,60,,,28,,,,,16.9,0.6,110
2018-10-04,19:00,,1025,59.3,56,63,,,27,,,,,16.3,0.5,116
2018-10-04,20:00,,1025,61.6,71,62,,,31,,,,,15.8,0.5,128
2018-10-04,21:00,,1025,64.6,78,62,,,37,,,,,15.3,0.4,123
2018-10-04,22:00,,1025,66.1,44,60,,,27,,,,,15.1,0.6,112
2018-10-04,23:00,,1025,68.1,27,47,,,22,,,,,14.7,0.6,116
2018-10-05,00:00,,1025,72.3,14,26,,,28,,,,,14.2,0.9,98
2018-10-05,01:00,,1025,74.6,8,26,,,34,,,,,13.6,0.6,110
2018-10-05,02:00,,1025,77.7,6,26,,,21,,,,,12.7,0.7,108
2018-10-05,03:00,,1024,81.1,11,31,,,17,,,,,11.6,0.6,110
2018-10-05,04:00,,1024,83.4,20,31,,,9,,,,,10.6,0.7,109
2018-10-05,05:00,,1023,83.7,24,34,,,9,,,,,9.7,0.8,107
2018-10-05,06:00,,1023,84.4,35,38,,,12,,,,,9.1,1.0,104
2018-10-05,07:00,,1023,83.0,84,48,,,18,,,,,9.1,0.8,110
2018-10-05,08:00,,1023,77.6,64,44,,,19,,,,,10.1,1.0,105
2018-10-05,09:00,,1023,66.1,66,42,,,20,,,,,12.8,1.1,108
2018-10-05,10:00,,1023,55.4,47,40,,,25,,,,,16.2,1.2,106
2018-10-05,11:00,,1023,53.4,28,34,,,28,,,,,16.7,1.6,104
2018-10-05,12:00,,1022,48.6,36,39,,,22,,,,,18.5,1.4,107
2018-10-05,13:00,,1021,44.2,22,33,,,20,,,,,19.8,1.5,107
2018-10-05,14:00,,1020,41.5,37,47,,,30,,,,,20.6,1.3,106
2018-10-05,15:00,,1019,38.0,36,53,,,30,,,,,21.4,1.1,106
2018-10-05,16:00,,1019,36.0,28,48,,,31,,,,,21.9,1.2,104
2018-10-05,17:00,,1018,39.0,77,91,,,37,,,,,21.4,0.8,113
2018-10-05,18:00,,1017,46.4,224,137,,,54,,,,,19.7,0.6,117
2018-10-05,19:00,,1017,53.0,234,128,,,56,,,,,17.8,0.7,117
2018-10-05,20:00,,1017,58.2,195,113,,,56,,,,,16.4,0.6,120
2018-10-05,21:00,,1016,60.7,56,76,,,40,,,,,15.7,0.8,114
2018-10-05,22:00,,1016,63.0,22,50,,,26,,,,,15.3,1.0,106
2018-10-05,23:00,,1016,68.2,36,55,,,23,,,,,13.9,0.8,114
2018-10-06,00:00,,1015,70.8,44,52,,,23,,,,,13.0,0.6,113
2018-10-06,01:00,,1015,70.9,25,38,,,26,,,,,12.5,0.9,105
2018-10-06,02:00,,1015,71.9,10,37,,,19,,,,,12.1,0.8,114
