Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-10-01,01:00,,1013,83.6,7,34,,30,,,0,5.6,0.3,115
2018-10-01,02:00,,1012,82.8,7,30,,16,,,0,5.5,0.3,99
2018-10-01,03:00,,1012,83.6,9,28,,16,,,0,5.3,0.2,318
2018-10-01,04:00,,1012,82.0,19,28,,14,,,0,5.9,0.3,334
2018-10-01,05:00,,1012,82.8,24,28,,22,,,0,5.9,0.3,272
2018-10-01,06:00,,1012,81.9,35,31,,21,,,0,6.3,0.2,253
2018-10-01,07:00,,1012,81.0,120,50,,26,,,26,6.3,0.3,221
2018-10-01,08:00,,1012,67.2,42,39,,29,,,153,9.1,0.8,198
2018-10-01,09:00,,1013,58.5,20,31,,21,,,243,11.4,1.1,197
2018-10-01,10:00,,1013,53.9,19,29,,21,,,354,13.0,1.0,222
2018-10-01,11:00,,1013,56.8,16,26,,25,,,302,13.2,1.5,299
2018-10-01,12:00,,1013,60.4,10,22,,25,,,269,13.1,1.6,302
2018-10-01,13:00,,1014,61.4,10,19,,21,,,256,13.2,2.1,296
2018-10-01,14:00,,1014,67.0,11,18,,18,,,151,12.8,2.4,302
2018-10-01,15:00,,1014,76.0,14,22,,16,,,84,11.3,2.2,281
2018-10-01,16:00,,1014,79.3,13,23,,16,,,40,10.7,1.2,277
2018-10-01,17:00,,1014,77.8,26,35,,15,,,35,11.2,0.7,200
2018-10-01,18:00,,1015,78.8,24,33,,21,,,17,10.9,0.8,191
2018-10-01,19:00,,1015,79.4,10,26,,17,,,0,10.3,0.9,240
2018-10-01,20:00,,1016,75.2,2,12,,15,,,0,9.6,1.2,289
2018-10-01,21:00,,1016,81.2,1,11,,11,,,0,8.9,1.4,269
2018-10-01,22:00,,1017,81.4,4,11,,2,,,0,8.7,1.4,269
2018-10-01,23:00,,1017,78.1,1,6,,0,,,0,8.5,1.9,278
2018-10-02,00:00,,1018,77.6,1,6,,5,,,0,7.9,1.8,275
2018-10-02,01:00,,1018,79.9,1,6,,1,,,0,6.8,1.1,250
2018-10-02,02:00,,1018,82.1,1,6,,6,,,0,6.3,0.8,258
