Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-10-01,,,,,,,,20.24,,9.99,,,,,,
2018-10-01,01:00,1.1,1012,75.8,1,30,13,,18,,0.74,,0,7.6,0.6,27
2018-10-01,02:00,0.8,1012,78.1,2,26,18,,16,,0.79,,0,7.0,0.4,24
2018-10-01,03:00,0.8,1011,79.3,3,25,15,,17,,0.66,,0,6.5,0.5,36
2018-10-01,04:00,0.8,1011,81.1,18,33,5,,16,,0.75,,0,6.0,0.5,34
2018-10-01,05:00,0.9,1011,80.2,39,37,2,,16,,0.97,,0,6.0,0.5,35
2018-10-01,06:00,0.9,1011,80.0,71,47,1,,20,,1.74,,0,6.4,0.3,22
2018-10-01,07:00,1.5,1011,75.9,90,50,1,,30,,2.14,,12,7.6,0.5,25
2018-10-01,08:00,1.4,1012,71.9,100,57,2,,35,,2.51,,57,8.9,0.3,15
2018-10-01,09:00,2.2,1012,67.5,97,62,4,,48,,2.69,,140,10.2,0.7,267
2018-10-01,10:00,1.6,1012,57.9,55,47,21,,40,,1.45,,299,12.3,1.3,270
2018-10-01,11:00,0.9,1012,53.7,32,40,34,,28,,1.06,,291,13.1,1.8,269
2018-10-01,12:00,0.8,1013,57.3,34,42,33,,30,,1.17,,231,13.5,2.0,269
2018-10-01,13:00,0.8,1013,58.9,31,41,39,,32,,1.17,,219,14.2,2.5,271
2018-10-01,14:00,0.7,1013,59.7,30,40,39,,36,,1.00,,222,14.3,2.9,271
2018-10-01,15:00,0.8,1013,61.7,31,39,45,,35,,1.06,,194,14.2,3.7,265
2018-10-01,16:00,0.9,1013,69.6,35,38,39,,26,,0.94,,96,13.0,3.2,270
2018-10-01,17:00,0.8,1014,77.0,37,44,34,,14,,0.96,,27,11.8,2.8,265
2018-10-01,18:00,1.0,1014,81.6,27,46,24,,13,,1.03,,4,11.2,1.3,270
2018-10-01,19:00,1.4,1015,80.9,19,33,29,,15,,0.73,,0,11.1,1.6,264
2018-10-01,20:00,0.7,1015,76.2,14,26,35,,13,,0.52,,0,11.0,2.3,263
2018-10-01,21:00,0.6,1016,77.9,8,23,37,,12,,0.44,,0,10.3,2.6,270
2018-10-01,22:00,0.5,1016,79.0,6,15,43,,8,,0.23,,0,9.9,2.9,275
2018-10-01,23:00,0.3,1017,79.9,4,13,42,,7,,0.26,,0,9.8,2.8,276
2018-10-02,,,,,,,,11.78,,3.95,,,,,,
2018-10-02,00:00,0.3,1017,78.6,2,10,47,,6,,0.14,,0,9.1,3.2,274
2018-10-02,01:00,0.3,1018,79.1,2,11,48,,5,,0.13,,0,8.6,2.7,273
2018-10-02,02:00,0.3,1018,79.6,1,10,49,,5,,0.13,,0,8.3,2.7,273
2018-10-02,03:00,0.2,1018,78.8,2,9,52,,6,,0.05,,0,8.3,2.4,272
2018-10-02,04:00,0.2,1018,78.3,4,14,47,,7,,0.19,,0,8.3,2.4,271
2018-10-02,05:00,0.4,1019,86.9,11,21,40,,5,,0.39,,0,7.5,2.2,267
2018-10-02,06:00,0.5,1019,87.8,37,44,22,,7,,0.84,,0,7.5,1.7,261
2018-10-02,07:00,0.7,1019,86.0,51,49,17,,9,,1.02,,19,7.6,1.8,269
2018-10-02,08:00,0.7,1019,82.7,35,38,25,,14,,0.96,,62,8.1,2.3,267
2018-10-02,09:00,0.4,1020,76.3,33,34,35,,16,,0.72,,192,8.8,2.7,262
2018-10-02,10:00,0.5,1019,65.3,35,34,40,,15,,0.76,,405,10.5,3.0,249
2018-10-02,11:00,0.6,1019,57.0,28,29,51,,14,,0.62,,394,11.2,3.7,255
2018-10-02,12:00,0.6,1018,51.8,23,27,55,,15,,0.53,,380,11.9,3.9,259
2018-10-02,13:00,0.4,1018,50.3,34,34,50,,13,,0.86,,278,12.2,3.8,251
2018-10-02,14:00,0.6,1017,55.8,29,32,46,,15,,0.73,,194,11.7,4.0,250
2018-10-02,15:00,0.8,1017,58.6,48,45,37,,14,,1.12,,123,11.2,3.4,243
2018-10-02,16:00,1.0,1016,60.6,38,40,41,,14,,0.95,,107,11.2,3.7,242
2018-10-02,17:00,1.0,1015,64.3,30,41,41,,14,,0.91,,16,10.7,2.9,240
2018-10-02,18:00,0.6,1014,66.9,23,33,43,,11,,0.81,,1,10.5,3.6,244
2018-10-02,19:00,0.8,1015,68.6,15,25,45,,10,,0.59,,0,10.6,3.4,255
2018-10-02,20:00,0.6,1015,75.5,11,21,43,,8,,0.42,,0,10.2,3.1,260
2018-10-02,21:00,0.5,1014,74.8,6,16,43,,6,,0.32,,0,10.7,3.9,261
2018-10-02,22:00,,1014,73.0,7,16,42,,5,,0.36,,0,11.2,4.3,255
2018-10-02,23:00,,1014,75.6,6,13,41,,3,,0.34,,0,11.3,4.1,260
2018-10-03,,,,,,,,12.21,,4.65,,,,,,
2018-10-03,00:00,,1014,75.1,4,11,43,,7,,0.21,,0,11.7,3.9,255
2018-10-03,01:00,,1014,74.6,3,10,44,,7,,0.16,,0,11.8,4.1,257
2018-10-03,02:00,,1014,74.8,3,9,45,,9,,0.17,,0,11.6,4.4,257
2018-10-03,03:00,0.4,1015,73.4,1,8,48,,11,,0.16,,0,11.6,5.2,258
2018-10-03,04:00,0.3,1015,65.5,2,6,62,,10,,0.10,,0,11.4,5.4,262
2018-10-03,05:00,0.2,1016,65.0,2,7,65,,12,,0.05,,0,10.9,4.3,262
2018-10-03,06:00,0.3,1016,65.2,3,9,63,,14,,0.44,,0,10.8,4.7,262
2018-10-03,07:00,0.3,1016,62.2,3,9,65,,15,,0.11,,11,11.4,5.1,261
2018-10-03,08:00,0.3,1017,57.6,4,9,66,,13,,0.15,,47,11.9,5.3,261
2018-10-03,09:00,0.3,1018,66.1,6,12,63,,14,,0.22,,123,11.5,4.4,265
2018-10-03,10:00,0.4,1018,61.2,8,12,63,,11,,0.25,,220,12.8,5.2,265
2018-10-03,11:00,0.4,1018,54.9,9,11,65,,14,,0.39,,356,14.0,5.8,266
2018-10-03,12:00,0.3,1019,57.0,8,12,65,,14,,0.24,,162,13.6,5.5,267
2018-10-03,13:00,1.0,1020,63.1,8,13,64,,14,,0.29,,256,13.2,5.0,275
2018-10-03,14:00,0.9,1020,71.2,8,14,61,,11,,0.28,,247,12.5,4.4,274
2018-10-03,15:00,0.4,1021,57.9,9,12,64,,7,,0.26,,424,14.8,5.3,272
2018-10-03,16:00,0.4,1021,57.5,7,11,66,,9,,0.27,,171,14.1,5.4,273
2018-10-03,17:00,0.5,1022,62.7,8,16,60,,10,,0.47,,83,13.3,4.0,278
2018-10-03,18:00,0.6,1023,74.6,12,27,47,,11,,0.59,,3,11.9,2.4,283
2018-10-03,19:00,0.8,1024,71.4,16,30,42,,11,,0.76,,0,11.8,2.0,277
2018-10-03,20:00,0.6,1024,71.5,11,30,40,,11,,0.66,,0,11.9,1.6,277
2018-10-03,21:00,0.7,1025,72.7,11,31,34,,13,,0.95,,0,11.6,1.3,276
2018-10-03,22:00,0.7,1025,71.8,10,27,35,,13,,0.83,,0,11.7,1.2,274
