Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-05-01,01:00,,1,27,35,104,
2018-05-01,02:00,,2,26,38,113,
2018-05-01,03:00,,2,26,25,136,
2018-05-01,04:00,,2,22,21,139,
2018-05-01,05:00,,1,14,41,124,
2018-05-01,06:00,,1,9,68,58,
2018-05-01,07:00,,1,9,64,46,
2018-05-01,08:00,,1,8,62,42,
2018-05-01,09:00,,1,6,74,35,
2018-05-01,10:00,,1,5,85,16,
2018-05-01,11:00,,1,5,81,10,
2018-05-01,12:00,,1,5,82,12,
2018-05-01,13:00,,1,4,88,11,
2018-05-01,14:00,,1,4,90,13,
2018-05-01,15:00,,1,4,94,10,
2018-05-01,16:00,,1,4,95,8,
2018-05-01,17:00,,1,4,93,9,
2018-05-01,18:00,,1,3,91,6,
2018-05-01,19:00,,1,3,91,4,
2018-05-01,20:00,,1,4,91,5,
2018-05-01,21:00,,1,4,81,3,
2018-05-01,22:00,,1,4,71,5,
2018-05-01,23:00,,1,4,64,7,
2018-05-02,00:00,,1,5,56,6,
2018-05-02,01:00,,1,6,44,6,
2018-05-02,02:00,,1,8,52,9,
2018-05-02,03:00,,1,14,39,9,
2018-05-02,04:00,,1,14,26,11,
2018-05-02,05:00,,1,16,26,9,
2018-05-02,06:00,,3,23,14,12,
2018-05-02,07:00,,2,20,35,15,
2018-05-02,08:00,,1,17,44,12,
2018-05-02,09:00,,1,11,52,12,
2018-05-02,10:00,,1,11,67,11,
