Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-05-01,01:00,,1,27,35,104,
2018-05-01,02:00,,2,26,38,113,
2018-05-01,03:00,,2,26,25,136,
2018-05-01,04:00,,2,22,21,139,
2018-05-01,05:00,,1,14,41,124,
2018-05-01,06:00,,1,9,68,58,
2018-05-01,07:00,,1,9,64,46,
2018-05-01,08:00,,1,8,62,42,
2018-05-01,09:00,,1,6,74,35,
2018-05-01,10:00,,1,5,85,16,
2018-05-01,11:00,,1,5,81,10,
2018-05-01,12:00,,1,5,82,12,
2018-05-01,13:00,,1,4,88,11,
2018-05-01,14:00,,1,4,90,13,
2018-05-01,15:00,,1,4,94,10,
2018-05-01,16:00,,1,4,95,8,
2018-05-01,17:00,,1,4,93,9,
2018-05-01,18:00,,1,3,91,6,
2018-05-01,19:00,,1,3,91,4,
2018-05-01,20:00,,1,4,91,5,
2018-05-01,21:00,,1,4,81,3,
2018-05-01,22:00,,1,4,71,5,
2018-05-01,23:00,,1,4,64,7,
2018-05-02,00:00,,1,5,56,6,
2018-05-02,01:00,,1,6,44,6,
2018-05-02,02:00,,1,8,52,9,
2018-05-02,03:00,,1,14,39,9,
2018-05-02,04:00,,1,14,26,11,
2018-05-02,05:00,,1,16,26,9,
2018-05-02,06:00,,3,23,14,12,
2018-05-02,07:00,,2,20,35,15,
2018-05-02,08:00,,1,17,44,12,
2018-05-02,09:00,,1,11,52,12,
2018-05-02,10:00,,1,11,67,11,
2018-05-02,11:00,,1,6,75,8,
2018-05-02,12:00,,1,6,85,12,
2018-05-02,13:00,,1,6,81,10,
2018-05-02,14:00,,1,6,86,13,
2018-05-02,15:00,,1,6,94,10,
2018-05-02,16:00,,1,6,99,16,
2018-05-02,17:00,,1,6,102,16,
2018-05-02,18:00,,1,7,99,16,
2018-05-02,19:00,,1,9,93,16,
2018-05-02,20:00,,1,11,70,19,
2018-05-02,21:00,,1,13,65,21,
2018-05-02,22:00,,1,9,68,18,
2018-05-02,23:00,,1,9,58,16,
2018-05-03,00:00,,1,9,45,18,
2018-05-03,01:00,,1,8,40,17,
2018-05-03,02:00,,1,12,41,18,
2018-05-03,03:00,,1,9,39,16,
2018-05-03,04:00,,1,10,29,19,
2018-05-03,05:00,,1,12,20,21,
2018-05-03,06:00,,1,10,23,18,
2018-05-03,07:00,,2,10,25,20,
2018-05-03,08:00,,2,11,29,23,
2018-05-03,09:00,,1,9,30,25,
2018-05-03,10:00,,1,9,32,28,
2018-05-03,11:00,,2,11,38,26,
2018-05-03,12:00,,2,12,47,25,
2018-05-03,13:00,,2,11,57,24,
2018-05-03,14:00,,1,9,64,24,
2018-05-03,15:00,,2,13,69,22,
2018-05-03,16:00,,1,11,86,20,
2018-05-03,17:00,,1,10,82,15,
2018-05-03,18:00,,1,10,76,18,
2018-05-03,19:00,,1,10,70,16,
2018-05-03,20:00,,1,11,48,18,
2018-05-03,21:00,,1,11,35,18,
2018-05-03,22:00,,1,6,60,20,
2018-05-03,23:00,,1,5,73,20,
2018-05-04,00:00,,1,4,77,16,
2018-05-04,01:00,,1,4,83,11,
2018-05-04,02:00,,1,4,89,8,
2018-05-04,03:00,,1,5,87,6,
2018-05-04,04:00,,1,5,88,7,
2018-05-04,05:00,,1,6,84,9,
2018-05-04,06:00,,1,7,80,9,
2018-05-04,07:00,,1,8,79,9,
2018-05-04,08:00,,1,7,81,10,
2018-05-04,09:00,,1,6,83,9,
2018-05-04,10:00,,1,4,92,8,
2018-05-04,11:00,,1,4,92,9,
2018-05-04,12:00,,1,4,99,12,
2018-05-04,13:00,,1,4,106,5,
2018-05-04,14:00,,4,4,104,,
2018-05-04,15:00,,1,3,99,,
2018-05-04,16:00,,1,3,101,,
