Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-05-01,,,,,,16.23,,9.69,
2018-05-01,01:00,1.6,2,26,43,,31,,
2018-05-01,02:00,1.8,2,19,45,,34,,
2018-05-01,03:00,1.5,2,16,46,,28,,
2018-05-01,04:00,1.5,2,14,53,,29,,
2018-05-01,05:00,1.3,2,12,67,,25,,
2018-05-01,06:00,0.7,2,12,66,,16,,
2018-05-01,07:00,0.7,4,22,53,,10,,
2018-05-01,08:00,0.5,9,28,46,,8,,
2018-05-01,09:00,0.7,11,30,52,,9,,
2018-05-01,10:00,0.9,11,23,58,,10,,
2018-05-01,11:00,0.7,10,20,64,,9,,
2018-05-01,12:00,0.6,13,18,69,,8,,
2018-05-01,13:00,0.9,13,20,74,,10,,
2018-05-01,14:00,0.6,10,18,77,,8,,
2018-05-01,15:00,0.5,11,17,81,,6,,
2018-05-01,16:00,0.7,12,18,81,,7,,
2018-05-01,17:00,0.6,12,20,82,,7,,
2018-05-01,18:00,0.6,12,20,79,,6,,
2018-05-01,19:00,0.6,9,20,77,,7,,
2018-05-01,20:00,0.6,2,15,78,,7,,
2018-05-01,21:00,0.4,2,24,64,,6,,
2018-05-01,22:00,0.6,5,35,45,,11,,
2018-05-01,23:00,0.8,6,43,24,,14,,
2018-05-02,,,,,,19.70,,9.73,
2018-05-02,00:00,0.8,1,20,30,,12,,
2018-05-02,01:00,0.5,2,18,33,,9,,
2018-05-02,02:00,0.5,1,21,26,,11,,
2018-05-02,03:00,0.5,2,19,25,,10,,
2018-05-02,04:00,0.5,4,22,18,,11,,
2018-05-02,05:00,0.5,6,25,16,,9,,
2018-05-02,06:00,0.6,24,37,13,,11,,
2018-05-02,07:00,0.8,22,41,10,,13,,
2018-05-02,08:00,1.0,31,44,6,,14,,
2018-05-02,09:00,1.3,47,48,5,,18,,
2018-05-02,10:00,1.4,61,54,16,,36,,
2018-05-02,11:00,1.4,60,52,21,,28,,
2018-05-02,12:00,1.1,40,40,34,,21,,
2018-05-02,13:00,,8,15,71,,14,,
2018-05-02,14:00,,5,12,78,,12,,
2018-05-02,15:00,,4,12,82,,14,,
2018-05-02,16:00,,4,12,86,,15,,
2018-05-02,17:00,,3,14,87,,15,,
2018-05-02,18:00,0.5,3,13,87,,15,,
2018-05-02,19:00,0.4,3,14,82,,15,,
2018-05-02,20:00,0.4,4,19,71,,16,,
2018-05-02,21:00,0.6,2,16,69,,17,,
2018-05-02,22:00,0.5,1,17,63,,20,,
2018-05-02,23:00,0.6,4,28,45,,19,,
2018-05-03,00:00,0.7,2,18,50,,20,,
2018-05-03,01:00,0.4,2,18,43,,17,,
2018-05-03,02:00,0.6,1,15,41,,20,,
2018-05-03,03:00,1.5,2,14,39,,23,,
2018-05-03,04:00,0.5,4,17,34,,21,,
2018-05-03,05:00,0.5,17,32,18,,18,,
2018-05-03,06:00,0.8,30,40,13,,19,,
2018-05-03,07:00,1.3,30,41,15,,21,,
2018-05-03,08:00,1.1,43,47,10,,20,,
2018-05-03,09:00,1.3,48,44,18,,25,,
2018-05-03,10:00,1.0,36,40,26,,27,,
2018-05-03,11:00,0.9,39,39,30,,26,,
2018-05-03,12:00,0.9,30,40,32,,27,,
2018-05-03,13:00,1.0,27,37,39,,26,,
2018-05-03,14:00,0.8,15,23,55,,22,,
2018-05-03,15:00,0.7,13,25,59,,24,,
2018-05-03,16:00,0.6,13,29,64,,27,,
2018-05-03,17:00,1.4,17,38,68,,27,,
2018-05-03,18:00,0.5,4,27,76,,21,,
2018-05-03,19:00,0.5,6,28,62,,21,,
2018-05-03,20:00,1.0,10,31,42,,26,,
2018-05-03,21:00,0.9,2,21,60,,25,,
2018-05-03,22:00,0.4,1,12,82,,17,,
2018-05-03,23:00,0.3,2,9,87,,16,,
2018-05-04,00:00,0.2,1,7,89,,14,,
2018-05-04,01:00,0.2,1,8,90,,9,,
2018-05-04,02:00,0.1,1,7,94,,7,,
2018-05-04,03:00,0.2,5,7,94,,6,,
2018-05-04,04:00,0.2,2,10,89,,6,,
2018-05-04,05:00,0.2,3,21,76,,6,,
2018-05-04,06:00,0.4,12,47,53,,9,,
