Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-01-01,01:00,,1029,90.2,5,17,,,,,0,8.0,1.9,246
2019-01-01,02:00,,1028,88.8,1,10,,,,,0,8.1,2.3,251
2019-01-01,03:00,,1027,85.9,1,9,,,,,0,8.1,1.9,230
2019-01-01,04:00,,1026,80.5,1,8,,,,,0,8.2,2.2,236
2019-01-01,05:00,,1025,78.8,1,5,,,,,0,8.2,2.4,234
2019-01-01,06:00,,1024,78.1,1,7,,,,,0,8.2,2.5,246
2019-01-01,07:00,,1024,79.8,1,6,,,,,0,8.1,3.4,253
2019-01-01,08:00,,1023,81.4,1,6,,,,,0,8.2,3.7,261
2019-01-01,09:00,,1022,81.8,1,7,,,,,3,8.1,3.9,262
2019-01-01,10:00,,1022,88.0,1,7,,,,,11,7.4,3.4,260
2019-01-01,11:00,,1022,87.0,1,6,,,,,35,7.4,3.7,261
2019-01-01,12:00,,1021,82.9,1,5,,,,,109,7.9,4.7,260
2019-01-01,13:00,,1020,85.9,1,5,,,,,95,7.7,4.8,259
2019-01-01,14:00,,1019,87.5,1,5,,,,,46,7.5,5.4,260
2019-01-01,15:00,,1018,86.3,1,6,,,,,70,7.8,4.8,259
2019-01-01,16:00,,1018,87.2,1,6,,,,,33,7.5,3.9,266
2019-01-01,17:00,,1018,84.0,1,8,,,,,2,6.8,2.2,281
2019-01-01,18:00,,1018,73.2,1,5,,,,,0,6.4,3.1,271
2019-01-01,19:00,,1018,79.4,1,3,,,,,0,5.6,4.0,277
2019-01-01,20:00,,1018,85.8,1,3,,,,,0,4.6,2.5,289
2019-01-01,21:00,,1019,74.4,1,3,,,,,0,4.5,2.8,286
2019-01-01,22:00,,1019,72.1,1,3,,,,,0,4.0,3.2,274
2019-01-01,23:00,,1019,77.8,1,4,,,,,0,3.4,2.6,285
2019-01-02,00:00,,1019,84.5,1,3,,,,,0,2.5,2.9,286
2019-01-02,01:00,,1019,84.7,1,3,,,,,0,2.3,2.7,285
2019-01-02,02:00,,1019,76.5,1,3,,,,,0,3.0,2.9,283
2019-01-02,03:00,,1020,77.5,1,3,,,,,0,3.4,2.5,286
2019-01-02,04:00,,1020,78.6,1,8,,,,,0,3.7,2.4,294
2019-01-02,05:00,,1020,79.7,1,8,,,,,0,3.7,2.2,293
2019-01-02,06:00,,1021,80.1,1,6,,,,,0,3.1,2.3,291
2019-01-02,07:00,,1021,79.8,1,8,,,,,0,2.8,2.1,289
2019-01-02,08:00,,1022,75.0,1,10,,,,,0,2.8,2.3,295
2019-01-02,09:00,,1023,72.4,2,16,,,,,4,3.0,2.3,300
2019-01-02,10:00,,1023,75.6,1,6,,,,,15,2.7,2.9,338
2019-01-02,11:00,,1024,93.9,2,6,,,,,95,0.7,2.4,348
2019-01-02,12:00,,1025,76.8,2,6,,,,,189,2.8,2.5,338
2019-01-02,13:00,,1025,67.5,1,5,,,,,197,3.4,2.8,336
2019-01-02,14:00,,1026,65.8,1,5,,,,,87,3.0,2.7,349
2019-01-02,15:00,,1027,58.3,1,4,,,,,73,2.7,3.2,348
2019-01-02,16:00,,1027,54.8,1,4,,,,,47,2.9,2.9,347
2019-01-02,17:00,,1028,58.9,1,5,,,,,1,2.1,2.6,347
2019-01-02,18:00,,1029,68.4,1,5,,,,,0,1.5,1.8,330
2019-01-02,19:00,,1030,74.6,1,5,,,,,0,1.0,1.7,331
2019-01-02,20:00,,1030,60.3,1,6,,,,,0,1.2,1.9,344
2019-01-02,21:00,,1031,56.9,1,6,,,,,0,1.0,2.0,347
2019-01-02,22:00,,1032,59.4,1,5,,,,,0,0.6,1.5,349
2019-01-02,23:00,,1032,64.2,1,5,,,,,0,,0.9,324
2019-01-03,00:00,,1032,69.5,1,5,,,,,0,,0.8,316
2019-01-03,01:00,,1032,74.3,1,5,,,,,0,,0.9,315
2019-01-03,02:00,,1032,76.6,1,7,,,,,0,,1.0,311
2019-01-03,03:00,,1033,78.9,1,8,,,,,0,,0.7,294
2019-01-03,04:00,,1033,79.9,1,10,,,,,0,,0.7,297
2019-01-03,05:00,,1033,81.3,5,17,,,,,0,,0.6,253
2019-01-03,06:00,,1033,82.5,7,19,,,,,0,,0.7,274
2019-01-03,07:00,,1033,80.8,1,13,,,,,0,,1.1,278
2019-01-03,08:00,,1033,79.7,2,14,,,,,0,,1.4,268
2019-01-03,09:00,,1033,78.5,1,13,,,,,8,,1.5,275
2019-01-03,10:00,,1034,75.2,4,16,,,,,52,,1.0,280
2019-01-03,11:00,,1034,69.7,4,16,,,,,85,0.3,1.5,279
