Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-01-01,01:00,,1027,94.8,3,12,47,29,0.43,1.6,0,5.5,0.6,131
2019-01-01,02:00,,1027,95.5,1,6,52,50,0.27,0.5,0,5.4,0.7,64
2019-01-01,03:00,,1026,91.7,1,5,54,17,0.36,0.5,0,5.4,0.8,176
2019-01-01,04:00,,1025,89.4,1,6,54,11,0.29,0.5,0,5.1,0.4,136
2019-01-01,05:00,,1024,88.6,1,3,59,8,0.19,0.5,0,4.8,0.9,165
2019-01-01,06:00,,1023,87.7,1,3,59,5,0.16,0.5,0,4.7,1.2,170
2019-01-01,07:00,,1022,88.3,1,4,56,7,0.21,0.5,0,4.7,1.2,160
2019-01-01,08:00,,1022,92.4,1,5,50,9,0.22,0.5,0,4.6,1.2,121
2019-01-01,09:00,,1021,91.6,1,5,48,10,0.23,0.5,1,4.8,1.1,98
2019-01-01,10:00,,1020,88.9,1,5,49,12,0.32,0.5,5,5.0,1.6,157
2019-01-01,11:00,,1020,93.7,1,6,48,12,0.34,0.5,12,4.6,1.4,170
2019-01-01,12:00,,1019,93.9,2,6,49,11,0.28,0.5,18,4.5,1.4,149
2019-01-01,13:00,,1018,92.6,2,6,49,8,0.23,0.5,29,4.7,1.6,79
2019-01-01,14:00,,1017,92.0,1,5,49,3,0.13,0.5,34,4.8,2.1,26
2019-01-01,15:00,,1016,94.5,1,5,50,2,0.12,0.5,19,4.5,2.2,0
2019-01-01,16:00,,1016,93.0,1,5,49,2,0.12,0.5,5,4.6,2.5,351
2019-01-01,17:00,,1016,94.1,1,5,58,1,0.13,0.5,0,3.5,2.7,34
2019-01-01,18:00,,1016,91.0,1,5,61,3,0.16,0.5,0,3.8,2.2,26
2019-01-01,19:00,,1016,88.1,1,3,68,3,0.12,0.5,0,3.1,2.9,30
2019-01-01,20:00,,1016,81.2,1,2,71,1,0.05,0.5,0,2.9,2.2,12
2019-01-01,21:00,,1016,87.6,1,2,72,6,0.05,0.5,0,1.8,2.5,26
2019-01-01,22:00,,1016,89.7,1,2,74,4,0.05,0.5,0,0.7,2.2,32
2019-01-01,23:00,,1016,85.9,1,2,75,3,0.05,0.5,0,0.5,2.2,25
2019-01-02,00:00,,1015,83.8,1,2,74,3,0.05,0.5,0,0.6,2.6,16
2019-01-02,01:00,,1016,95.3,1,2,73,6,0.05,0.5,0,,2.4,26
2019-01-02,02:00,,1016,83.7,1,1,77,5,0.05,0.5,0,,3.3,25
2019-01-02,03:00,,1016,90.5,1,1,77,7,0.05,0.5,0,,2.2,28
2019-01-02,04:00,,1017,96.5,1,1,73,3,0.05,0.5,0,,2.1,28
2019-01-02,05:00,,1017,96.2,1,2,71,2,0.05,0.5,0,,2.4,28
2019-01-02,06:00,,1017,96.0,1,3,70,4,0.05,0.5,0,,3.1,23
2019-01-02,07:00,,1018,86.0,1,4,70,8,0.05,0.5,0,,3.5,22
2019-01-02,08:00,,1018,84.6,1,4,69,10,0.05,0.5,0,,3.6,23
2019-01-02,09:00,,1019,82.7,1,4,67,9,0.05,0.5,4,,3.7,25
2019-01-02,10:00,,1019,87.0,1,5,67,9,0.14,0.5,16,,3.9,25
2019-01-02,11:00,,1020,87.1,2,5,67,6,0.12,0.5,52,,4.4,23
2019-01-02,12:00,,1020,89.8,3,5,70,3,0.16,0.5,91,,3.6,19
2019-01-02,13:00,,1021,81.3,2,5,67,4,0.11,0.5,74,,3.7,23
2019-01-02,14:00,,1021,79.0,1,5,67,7,0.16,0.5,48,,3.9,24
2019-01-02,15:00,,1022,83.0,2,7,66,5,0.23,0.5,33,,3.1,24
2019-01-02,16:00,,1023,71.9,3,7,66,6,0.23,0.5,19,,3.1,15
2019-01-02,17:00,,1024,69.8,3,8,64,5,0.23,0.5,1,,2.2,19
2019-01-02,18:00,,1025,67.8,2,8,65,5,0.22,0.5,0,,2.3,18
2019-01-02,19:00,,1025,70.3,1,6,70,5,0.18,0.5,0,,2.8,19
2019-01-02,20:00,,1026,74.8,1,6,69,7,0.22,0.5,0,,2.6,20
2019-01-02,21:00,,1026,77.0,1,6,67,8,0.18,0.5,0,,2.5,19
2019-01-02,22:00,,1027,59.3,1,4,71,7,0.12,1.1,0,,2.9,24
2019-01-02,23:00,,1027,60.1,1,3,70,5,0.13,0.5,0,,2.4,19
2019-01-03,00:00,,1027,65.4,1,3,68,4,0.11,0.5,0,,2.2,17
2019-01-03,01:00,,1027,70.6,1,3,67,6,0.10,0.5,0,,1.8,16
2019-01-03,02:00,,1028,75.2,1,4,66,6,0.10,0.5,0,,2.0,18
2019-01-03,03:00,,1028,81.8,1,4,63,6,0.12,0.5,0,,2.2,21
2019-01-03,04:00,,1029,84.7,1,6,59,6,0.17,0.5,0,,2.1,25
2019-01-03,05:00,,1029,85.9,1,6,58,7,0.20,0.5,0,,2.1,22
2019-01-03,06:00,,1029,87.0,1,7,59,7,0.21,0.5,0,,2.1,24
2019-01-03,07:00,,1029,87.8,3,9,56,7,0.27,0.5,0,,2.0,22
2019-01-03,08:00,,1029,87.0,2,12,54,9,0.30,2.1,0,,1.5,29
2019-01-03,09:00,,1029,84.9,5,15,51,9,0.37,1.4,15,,0.9,307
2019-01-03,10:00,,1029,82.6,3,13,54,9,0.30,0.5,37,,1.5,26
2019-01-03,11:00,,1029,78.5,4,13,58,6,0.26,3.6,83,,2.3,30
2019-01-03,12:00,,1029,75.1,5,13,60,5,0.27,2.5,79,,1.9,32
2019-01-03,13:00,,1029,71.9,5,13,61,6,0.30,3.0,104,,2.0,27
2019-01-03,14:00,,1028,68.7,3,12,63,6,0.25,5.1,75,,3.0,26
2019-01-03,15:00,,1028,83.0,3,14,61,5,0.36,4.6,46,,3.0,24
2019-01-03,16:00,,1029,94.1,6,19,54,5,0.44,3.2,15,,2.3,24
2019-01-03,17:00,,1029,94.0,4,18,53,5,0.53,0.5,1,,2.0,15
2019-01-03,18:00,,1029,92.8,2,13,58,8,0.44,0.5,0,,1.8,18
2019-01-03,19:00,,1029,91.8,2,15,53,8,0.58,0.5,0,,2.1,25
2019-01-03,20:00,,1029,93.2,2,13,54,9,0.53,0.5,0,,2.3,25
2019-01-03,21:00,,1029,91.6,1,12,52,11,0.53,0.5,0,,2.2,23
2019-01-03,22:00,,1030,91.5,1,14,49,14,0.46,0.5,0,,2.1,20
2019-01-03,23:00,,1030,91.6,1,14,49,15,0.42,2.0,0,,1.9,20
2019-01-04,00:00,,1030,89.8,1,12,53,14,0.33,2.1,0,,2.2,21
2019-01-04,01:00,,1030,89.1,1,10,55,12,0.29,2.6,0,,1.8,22
2019-01-04,02:00,,1030,89.1,1,8,58,9,0.24,1.8,0,,1.3,23
2019-01-04,03:00,,1030,91.0,1,9,55,9,0.25,1.9,0,,1.4,19
2019-01-04,04:00,,1030,89.5,1,10,54,12,0.20,0.5,0,,0.6,17
2019-01-04,05:00,,1030,86.9,3,16,47,9,0.24,0.5,0,,0.2,31
2019-01-04,06:00,,1030,87.3,5,15,47,10,0.44,0.5,0,,0.3,43
2019-01-04,07:00,,1029,89.4,9,23,36,9,0.72,0.5,0,,0.3,79
2019-01-04,08:00,,1029,91.1,5,20,31,10,0.47,0.5,0,,0.6,7
2019-01-04,09:00,,1029,91.6,4,18,40,8,0.36,0.5,12,,0.6,48
2019-01-04,10:00,,1029,87.3,3,11,58,4,0.22,0.5,38,,0.9,3
2019-01-04,11:00,,1029,84.8,6,14,56,5,0.63,0.5,56,,1.1,180
2019-01-04,12:00,,1028,84.9,8,17,52,11,0.58,0.5,72,,0.8,155
2019-01-04,13:00,,1027,85.9,5,14,57,12,0.40,0.5,41,,1.0,32
2019-01-04,14:00,,1026,92.5,5,11,61,8,0.31,0.5,45,,1.2,357
2019-01-04,15:00,,1025,95.5,4,11,60,6,0.32,0.5,28,,1.2,51
2019-01-04,16:00,,1025,95.6,2,9,62,5,0.22,0.5,5,,1.5,5
2019-01-04,17:00,,1024,98.5,4,10,60,4,0.60,0.5,0,,1.7,13
2019-01-04,18:00,,1023,99.0,1,8,60,2,0.15,0.5,0,,2.0,2
2019-01-04,19:00,,1023,99.4,2,9,58,4,0.18,0.5,0,,1.5,24
2019-01-04,20:00,,1023,99.6,1,8,56,3,0.13,0.5,0,,1.4,350
2019-01-04,21:00,,1023,99.2,1,9,53,3,0.15,0.5,0,,1.3,16
2019-01-04,22:00,,1023,98.7,1,7,54,1,0.15,0.5,0,0.1,1.3,24
2019-01-04,23:00,,1022,98.5,1,7,54,2,0.18,0.5,0,0.4,1.1,23
2019-01-05,00:00,,1022,98.6,1,6,50,2,0.05,0.5,0,0.4,1.1,20
2019-01-05,01:00,,1021,98.3,1,5,50,1,0.05,0.5,0,0.7,1.2,30
2019-01-05,02:00,,1021,98.1,1,4,50,1,0.05,0.5,0,0.8,1.3,14
2019-01-05,03:00,,1020,97.8,1,4,49,1,0.05,0.5,0,1.0,1.0,118
2019-01-05,04:00,,1019,96.9,1,4,51,0,0.05,0.5,0,1.1,1.0,150
2019-01-05,05:00,,1018,97.2,1,5,51,0,0.05,0.5,0,1.0,1.2,158
2019-01-05,06:00,,1017,97.3,2,6,50,0,0.17,0.5,0,0.9,1.3,161
2019-01-05,07:00,,1016,97.0,1,5,47,0,0.05,0.5,0,0.8,1.1,138
2019-01-05,08:00,,1016,97.4,1,5,47,0,0.11,0.5,0,1.0,1.3,48
2019-01-05,09:00,,1016,97.6,3,7,48,0,0.96,0.5,6,1.3,1.5,24
2019-01-05,10:00,,1016,97.7,2,8,46,1,0.17,0.5,27,1.9,1.1,29
2019-01-05,11:00,,1016,96.8,4,10,47,0,0.24,0.5,44,2.6,1.2,37
2019-01-05,12:00,,1016,98.3,2,8,51,1,0.17,0.5,44,3.0,2.1,28
2019-01-05,13:00,,1016,99.5,2,9,52,1,0.27,0.5,48,3.3,2.1,24
2019-01-05,14:00,,1017,99.9,1,6,60,1,0.17,0.5,46,3.6,2.4,24
2019-01-05,15:00,,1017,99.6,3,9,58,0,0.19,0.5,32,3.7,2.4,19
2019-01-05,16:00,,1018,98.6,1,8,61,2,0.33,0.5,9,3.6,1.9,19
2019-01-05,17:00,,1018,98.4,2,8,61,3,0.26,0.5,0,3.6,1.7,25
2019-01-05,18:00,,1018,99.4,1,6,63,2,0.23,0.5,0,3.5,2.5,21
2019-01-05,19:00,,1019,100.0,2,7,60,1,0.20,0.5,0,3.4,2.2,23
2019-01-05,20:00,,1019,99.0,1,6,60,2,0.19,0.5,0,3.5,2.2,19
2019-01-05,21:00,,1019,98.2,1,5,61,3,0.17,0.5,0,3.2,2.2,19
2019-01-05,22:00,,1019,99.1,1,6,59,2,0.29,0.5,0,3.0,2.2,26
2019-01-05,23:00,,1019,98.6,1,4,63,3,0.24,0.5,0,2.9,2.5,23
2019-01-06,00:00,,1019,97.5,1,3,62,2,0.15,0.5,0,2.6,2.3,22
2019-01-06,01:00,,1020,96.3,1,3,63,5,0.15,0.5,0,2.4,2.8,23
2019-01-06,02:00,,1020,98.8,1,5,53,4,0.05,0.5,0,1.3,2.4,27
2019-01-06,03:00,,1021,100.0,1,3,61,3,0.05,0.5,0,0.7,3.0,25
2019-01-06,04:00,,1021,96.7,1,3,65,4,0.05,0.5,0,0.1,2.8,23
2019-01-06,05:00,,1022,90.2,1,3,67,4,0.05,2.8,0,,1.9,22
