Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-12-01,01:00,,1018,94.4,2,16,26,,,8.8,0,,5.1,183
2018-12-01,02:00,,1017,95.0,2,19,20,,,7.7,0,,4.2,182
2018-12-01,03:00,,1017,95.0,2,20,18,,,6.1,0,,3.4,200
2018-12-01,04:00,,1017,95.6,2,18,19,,,4.6,0,,2.9,228
2018-12-01,05:00,,1016,99.0,2,9,34,,,1.9,0,,3.6,266
2018-12-01,06:00,,1016,99.1,2,8,33,,,1.4,0,,3.5,278
2018-12-01,07:00,,1016,99.2,2,9,33,,,1.3,0,,3.5,275
2018-12-01,08:00,,1017,99.6,2,8,33,,,1.3,0,0.0,3.1,277
2018-12-01,09:00,,1017,99.0,2,7,36,,,1.2,21,0.0,3.5,282
2018-12-01,10:00,,1017,99.0,2,7,39,,,1.0,74,0.1,3.4,276
2018-12-01,11:00,,1017,99.1,2,6,44,,,1.1,88,0.4,2.7,271
2018-12-01,12:00,,1017,99.2,2,6,49,,,1.1,67,0.6,2.1,262
2018-12-01,13:00,,1017,98.8,2,5,54,,,1.1,104,0.8,2.8,252
2018-12-01,14:00,,1017,98.0,2,4,60,,,1.0,76,1.1,4.1,241
2018-12-01,15:00,,1017,96.9,2,4,63,,,1.0,83,1.3,5.1,236
2018-12-01,16:00,,1017,96.2,2,4,63,,,0.5,44,1.3,4.7,226
2018-12-01,17:00,,1017,95.9,2,3,65,,,0.5,0,0.5,5.3,230
2018-12-01,18:00,,1017,96.3,2,9,53,,,3.0,0,,4.2,231
2018-12-01,19:00,,1017,95.6,2,5,61,,,1.6,0,,4.5,238
2018-12-01,20:00,,1017,94.4,2,13,40,,,2.6,0,,4.5,202
2018-12-01,21:00,,1017,97.3,2,18,33,,,6.4,0,,6.4,189
2018-12-01,22:00,,1016,97.5,2,24,22,,,11.1,0,,5.8,188
2018-12-01,23:00,,1016,98.2,3,30,15,,,33.0,0,,7.7,195
2018-12-02,00:00,,1015,98.2,3,32,13,,,47.6,0,,7.1,196
2018-12-02,01:00,,1015,98.0,3,22,20,,,36.4,0,,8.2,198
2018-12-02,02:00,,1014,98.1,2,16,26,,,5.8,0,,7.9,197
2018-12-02,03:00,,1013,98.0,2,22,18,,,12.0,0,,7.7,184
2018-12-02,04:00,,1013,97.3,2,28,11,,,13.4,0,,7.4,181
2018-12-02,05:00,,1013,97.0,2,24,13,,,6.6,0,,7.4,178
2018-12-02,06:00,,1012,96.6,2,23,10,,,4.9,0,,6.7,174
2018-12-02,07:00,,1011,96.1,2,22,11,,,4.7,0,,7.7,178
2018-12-02,08:00,,1010,96.0,2,19,14,,,4.2,0,,8.6,171
2018-12-02,09:00,,1010,95.9,3,16,16,,,3.4,5,,9.6,173
2018-12-02,10:00,,1009,96.0,4,15,18,,,8.3,15,,9.6,174
2018-12-02,11:00,,1009,96.0,4,14,20,,,8.0,25,,8.0,182
2018-12-02,12:00,,1008,96.5,4,13,24,,,8.5,44,,8.0,181
2018-12-02,13:00,,1007,97.0,5,14,23,,,6.5,37,,8.4,185
2018-12-02,14:00,,1006,97.0,4,12,27,,,4.7,34,,8.9,190
2018-12-02,15:00,,1005,97.8,3,11,32,,,3.1,47,,9.6,194
2018-12-02,16:00,,1005,98.0,2,12,33,,,2.7,5,,8.6,197
2018-12-02,17:00,,1005,98.1,2,14,30,,,4.3,0,,8.8,193
2018-12-02,18:00,,1005,98.2,2,17,23,,,6.4,0,,6.9,185
2018-12-02,19:00,,1005,99.0,2,13,30,,,3.8,0,,6.1,201
2018-12-02,20:00,,1004,100.0,2,5,45,,,1.1,0,1.5,7.1,233
2018-12-02,21:00,,1004,100.0,2,3,49,,,1.2,0,4.0,6.3,250
2018-12-02,22:00,,1004,100.0,2,2,52,,,1.3,0,5.3,6.7,256
2018-12-02,23:00,,1004,99.8,2,2,56,,,1.4,0,6.0,6.3,256
2018-12-03,00:00,,1004,99.3,2,1,59,,,1.3,0,6.5,6.8,254
2018-12-03,01:00,,1003,99.0,2,1,61,,,1.3,0,6.7,6.2,243
2018-12-03,02:00,,1003,98.9,2,1,57,,,1.2,0,6.7,6.4,226
2018-12-03,03:00,,1003,98.6,2,1,53,,,1.2,0,6.7,6.1,221
2018-12-03,04:00,,1003,98.4,2,2,49,,,1.1,0,6.5,6.9,219
2018-12-03,05:00,,1003,98.1,2,2,52,,,1.1,0,6.1,6.7,216
2018-12-03,06:00,,1003,98.9,2,4,45,,,1.6,0,6.4,6.4,213
2018-12-03,07:00,,1003,99.0,2,12,31,,,7.3,0,6.0,7.0,209
2018-12-03,08:00,,1003,98.6,2,8,37,,,2.8,0,5.6,6.7,219
2018-12-03,09:00,,1003,98.7,2,4,52,,,1.3,4,5.9,6.2,238
2018-12-03,10:00,,1003,98.3,2,1,64,,,1.2,51,6.5,7.6,250
2018-12-03,11:00,,1003,97.9,2,1,64,,,1.3,74,7.1,8.7,252
