Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-12-01,01:00,,1015,92.1,1,24,7,24,,,1,3.9,0.8,180
2018-12-01,02:00,,1015,92.2,1,24,6,21,,,1,3.6,0.9,179
2018-12-01,03:00,,1015,92.2,1,23,6,23,,,1,3.2,0.8,183
2018-12-01,04:00,,1015,91.9,1,25,5,22,,,1,3.5,0.7,180
2018-12-01,05:00,,1015,91.1,1,23,6,21,,,1,4.2,0.5,180
2018-12-01,06:00,,1015,91.8,1,22,8,20,,,1,4.9,0.5,199
2018-12-01,07:00,,1015,91.3,1,23,10,21,,,1,5.0,0.9,231
2018-12-01,08:00,,1016,90.3,2,24,9,19,,,1,5.0,0.5,220
2018-12-01,09:00,,1016,91.1,10,28,6,18,,,15,4.7,0.6,185
2018-12-01,10:00,,1016,91.1,13,25,8,19,,,57,5.2,1.0,187
2018-12-01,11:00,,1016,86.1,10,20,15,18,,,90,6.5,1.0,185
2018-12-01,12:00,,1016,82.7,6,19,21,16,,,99,7.7,1.0,184
2018-12-01,13:00,,1016,78.8,5,18,29,13,,,101,8.5,0.9,215
2018-12-01,14:00,,1016,73.1,5,15,38,11,,,109,9.4,1.5,237
2018-12-01,15:00,,1015,73.2,3,15,39,9,,,60,9.5,1.0,214
2018-12-01,16:00,,1015,73.1,2,16,40,9,,,12,9.1,0.8,203
2018-12-01,17:00,,1016,76.4,1,16,38,8,,,1,8.0,1.2,177
2018-12-01,18:00,,1016,77.7,1,15,42,12,,,1,7.2,1.6,187
2018-12-01,19:00,,1015,82.3,2,18,32,14,,,1,6.1,1.4,184
2018-12-01,20:00,,1014,84.1,1,17,32,13,,,1,5.6,1.3,187
2018-12-01,21:00,,1014,85.2,1,16,30,15,,,1,5.5,1.6,189
2018-12-01,22:00,,1013,84.6,1,18,26,15,,,1,5.6,2.2,189
2018-12-01,23:00,,1013,84.6,1,19,22,14,,,1,5.5,2.2,188
2018-12-02,00:00,,1012,84.1,1,18,22,14,,,1,5.5,2.4,187
2018-12-02,01:00,,1011,83.8,1,17,23,14,,,1,5.7,1.5,182
2018-12-02,02:00,,1010,82.5,1,15,25,14,,,1,5.9,1.4,178
2018-12-02,03:00,,1010,80.7,1,15,26,13,,,1,6.2,1.5,164
2018-12-02,04:00,,1009,79.6,1,14,28,11,,,1,6.4,1.5,173
2018-12-02,05:00,,1008,77.9,1,13,31,11,,,1,6.6,1.4,169
2018-12-02,06:00,,1007,76.7,1,12,34,10,,,1,6.6,2.5,186
2018-12-02,07:00,,1006,76.3,1,12,33,11,,,1,6.7,3.4,188
2018-12-02,08:00,,1006,77.1,1,11,34,11,,,1,6.8,1.9,173
2018-12-02,09:00,,1005,78.3,1,12,36,9,,,12,6.9,1.9,166
2018-12-02,10:00,,1004,79.1,1,11,36,8,,,19,7.1,2.1,180
2018-12-02,11:00,,1004,80.5,2,11,34,7,,,35,7.3,2.1,179
2018-12-02,12:00,,1003,87.6,2,11,32,6,,,72,7.3,1.8,179
2018-12-02,13:00,,1002,90.4,1,12,33,4,,,40,7.5,2.2,187
2018-12-02,14:00,,1001,88.3,2,14,32,3,,,29,8.1,1.6,180
2018-12-02,15:00,,1001,87.7,1,14,35,4,,,12,8.5,2.6,185
2018-12-02,16:00,,1001,89.1,1,13,34,5,,,4,8.7,2.0,183
2018-12-02,17:00,,1001,92.2,1,13,33,3,,,1,8.6,1.4,180
