Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-12-01,,,,,,,,16.24,,,,,,,,
2018-12-01,01:00,,1015,87.5,3,25,,,13,,,,3,3.8,0.6,200
2018-12-01,02:00,,1014,88.3,5,26,,,11,,,,3,3.9,0.3,165
2018-12-01,03:00,,1015,88.7,6,25,,,11,,,,3,4.1,0.3,175
2018-12-01,04:00,,1015,89.2,4,24,,,11,,,,3,4.3,0.6,185
2018-12-01,05:00,,1015,88.0,5,25,,,12,,,,3,4.7,0.5,184
2018-12-01,06:00,,1015,87.3,3,22,,,12,,,,3,4.8,0.6,204
2018-12-01,07:00,,1015,88.4,16,30,,,12,,,,3,4.3,0.5,187
2018-12-01,08:00,,1016,89.4,43,33,,,13,,,,3,3.8,0.5,192
2018-12-01,09:00,,1016,89.0,20,32,,,13,,,,23,4.1,0.5,188
2018-12-01,10:00,,1016,86.4,31,35,,,13,,,,47,5.2,0.7,193
2018-12-01,11:00,,1017,84.0,10,25,,,12,,,,77,6.0,1.4,202
2018-12-01,12:00,,1016,81.7,10,23,,,10,,,,109,6.8,1.4,204
2018-12-01,13:00,,1016,78.3,8,18,,,12,,,,173,7.7,1.6,213
2018-12-01,14:00,,1016,77.5,6,16,,,11,,,,153,7.8,1.8,210
2018-12-01,15:00,,1016,77.0,6,18,,,11,,,,76,7.8,1.4,212
2018-12-01,16:00,,1016,79.0,7,22,,,13,,,,21,7.1,1.2,203
2018-12-01,17:00,,1016,82.3,18,40,,,15,,,,3,6.3,0.5,181
2018-12-01,18:00,,1016,84.9,53,52,,,19,,,,3,5.4,0.2,171
2018-12-01,19:00,,1015,88.3,72,53,,,33,,,,3,4.2,0.2,142
2018-12-01,20:00,,1015,86.5,81,57,,,56,,,,3,4.4,0.3,75
2018-12-01,21:00,,1014,83.9,22,33,,,28,,,,3,5.3,0.7,197
2018-12-01,22:00,,1014,81.2,3,21,,,15,,,,3,5.8,1.1,208
2018-12-01,23:00,,1013,82.3,3,16,,,12,,,,3,5.6,1.4,203
2018-12-02,,,,,,,,3.80,,,,,,,,
2018-12-02,00:00,,1013,83.4,3,18,,,10,,,,3,5.3,1.0,203
2018-12-02,01:00,,1012,83.2,2,15,,,11,,,,3,5.2,1.0,199
2018-12-02,02:00,,1011,81.5,3,15,,,10,,,,3,5.3,0.8,203
2018-12-02,03:00,,1010,77.8,1,11,,,8,,,,3,6.1,0.8,201
2018-12-02,04:00,,1009,73.8,1,11,,,7,,,,3,6.6,1.1,139
2018-12-02,05:00,,1008,71.7,2,11,,,8,,,,3,6.9,1.2,197
2018-12-02,06:00,,1008,72.4,1,8,,,9,,,,3,7.1,1.8,202
2018-12-02,07:00,,1007,75.5,1,8,,,8,,,,3,7.1,1.9,202
2018-12-02,08:00,,1006,77.3,1,7,,,5,,,,5,7.3,2.1,203
2018-12-02,09:00,,1005,77.3,1,8,,,5,,,,10,7.5,2.2,201
2018-12-02,10:00,,1005,77.3,2,10,,,4,,,,27,7.6,2.0,203
2018-12-02,11:00,,1004,83.1,3,11,,,4,,,,27,7.4,1.4,202
2018-12-02,12:00,,1003,88.0,3,13,,,5,,,,41,7.2,1.7,201
