Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-12-01,01:00,,1014,98.4,1,18,16,15,,,1,2.0,2.9,204
2018-12-01,02:00,,1013,98.3,1,18,16,13,,,1,2.2,3.0,212
2018-12-01,03:00,,1014,98.1,1,19,14,14,,,0,2.3,2.9,217
2018-12-01,04:00,,1014,97.9,1,20,14,14,,,0,2.4,2.6,223
2018-12-01,05:00,,1014,97.2,1,20,13,13,,,0,2.7,2.5,220
2018-12-01,06:00,,1014,97.3,1,20,13,15,,,1,2.9,2.4,226
2018-12-01,07:00,,1014,97.6,1,20,13,14,,,0,3.1,2.5,218
2018-12-01,08:00,,1015,97.9,1,19,14,15,,,0,3.1,2.5,219
2018-12-01,09:00,,1015,97.9,1,16,18,14,,,24,3.2,2.7,214
2018-12-01,10:00,,1015,96.3,2,15,19,12,,,77,3.7,2.8,206
2018-12-01,11:00,,1015,94.8,3,16,18,11,,,89,4.0,2.9,204
2018-12-01,12:00,,1015,91.0,4,15,24,10,,,121,5.4,2.8,207
2018-12-01,13:00,,1015,88.9,2,16,25,10,,,104,5.8,2.7,208
2018-12-01,14:00,,1015,87.0,2,15,29,9,,,93,6.4,2.6,205
2018-12-01,15:00,,1015,85.3,1,15,31,9,,,62,6.8,2.4,205
2018-12-01,16:00,,1015,86.8,1,14,34,9,,,18,6.2,2.4,197
2018-12-01,17:00,,1015,89.6,1,12,40,9,,,0,5.2,2.8,195
2018-12-01,18:00,,1015,88.3,1,10,46,9,,,0,4.8,3.0,207
2018-12-01,19:00,,1014,89.0,1,10,46,9,,,0,4.5,3.0,195
2018-12-01,20:00,,1014,90.1,1,10,45,9,,,0,4.2,3.2,185
2018-12-01,21:00,,1013,89.9,1,12,41,11,,,0,4.1,3.4,181
2018-12-01,22:00,,1013,88.7,1,13,40,12,,,0,4.0,3.6,181
2018-12-01,23:00,,1012,88.0,1,12,40,9,,,0,4.1,3.8,180
2018-12-02,00:00,,1012,88.3,1,11,36,8,,,0,4.1,3.8,179
2018-12-02,01:00,,1011,88.0,1,10,36,6,,,0,4.2,4.0,180
2018-12-02,02:00,,1010,87.6,1,10,36,7,,,0,4.3,4.2,178
