Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-08-01,,,,,,16,,
2017-08-01,01:00,,4,15,,,,
2017-08-01,02:00,,3,14,,,,
2017-08-01,03:00,,3,19,,,,
2017-08-01,04:00,,5,15,,,,
2017-08-01,05:00,,16,21,,,,
2017-08-01,06:00,,14,20,,,,
2017-08-01,07:00,,25,38,,,,
2017-08-01,08:00,,18,27,,,,
2017-08-01,09:00,,8,18,,,,
2017-08-01,10:00,,11,25,,,,
2017-08-01,11:00,,7,20,,,,
2017-08-01,12:00,,13,26,,,,
2017-08-01,13:00,,14,28,,,,
2017-08-01,14:00,,13,28,,,,
2017-08-01,15:00,,16,34,,,,
2017-08-01,16:00,,20,41,,,,
2017-08-01,17:00,,13,32,,,,
2017-08-01,18:00,,9,33,,,,
2017-08-01,19:00,,4,17,,,,
2017-08-01,20:00,,5,18,,,,
2017-08-01,21:00,,6,20,,,,
2017-08-01,22:00,,4,17,,,,
2017-08-01,23:00,,2,10,,,,
2017-08-02,,,,,,16,,
2017-08-02,00:00,,2,9,,,,
2017-08-02,01:00,,1,8,,,,
2017-08-02,02:00,,2,10,,,,
2017-08-02,03:00,,3,12,,,,
2017-08-02,04:00,,8,19,,,,
2017-08-02,05:00,,13,27,,,,
2017-08-02,06:00,,14,26,,,,
2017-08-02,07:00,,29,34,,,,
2017-08-02,08:00,,18,27,,,,
2017-08-02,09:00,,17,24,,,,
2017-08-02,10:00,,23,34,,,,
2017-08-02,11:00,,14,25,,,,
2017-08-02,12:00,,9,18,,,,
2017-08-02,13:00,,11,22,,,,
2017-08-02,14:00,,10,21,,,,
2017-08-02,15:00,,11,24,,,,
2017-08-02,16:00,,11,25,,,,
2017-08-02,17:00,,8,19,,,,
2017-08-02,18:00,,7,19,,,,
2017-08-02,19:00,,6,17,,,,
2017-08-02,20:00,,4,23,,,,
2017-08-02,21:00,,7,37,,,,
2017-08-02,22:00,,7,36,,,,
2017-08-02,23:00,,2,16,,,,
2017-08-03,,,,,,18,,
2017-08-03,00:00,,3,12,,,,
2017-08-03,01:00,,4,12,,,,
2017-08-03,02:00,,2,11,,,,
2017-08-03,03:00,,3,13,,,,
2017-08-03,04:00,,4,17,,,,
2017-08-03,05:00,,12,30,,,,
2017-08-03,06:00,,38,47,,,,
2017-08-03,07:00,,40,46,,,,
2017-08-03,08:00,,34,47,,,,
2017-08-03,09:00,,25,42,,,,
2017-08-03,10:00,,21,34,,,,
2017-08-03,11:00,,19,39,,,,
2017-08-03,12:00,,21,42,,,,
2017-08-03,13:00,,15,30,,,,
2017-08-03,14:00,,12,23,,,,
2017-08-03,15:00,,14,26,,,,
2017-08-03,16:00,,8,18,,,,
2017-08-03,17:00,,6,14,,,,
2017-08-03,18:00,,4,11,,,,
2017-08-03,19:00,,4,12,,,,
2017-08-03,20:00,,3,12,,,,
2017-08-03,21:00,,5,26,,,,
2017-08-03,22:00,,6,30,,,,
2017-08-03,23:00,,4,34,,,,
2017-08-04,00:00,,4,20,,,,
2017-08-04,01:00,,4,13,,,,
2017-08-04,02:00,,4,15,,,,
2017-08-04,03:00,,3,15,,,,
2017-08-04,04:00,,2,7,,,,
2017-08-04,05:00,,8,19,,,,
