Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-08-01,01:00,,1,4,,,
2017-08-01,02:00,,1,3,,,
2017-08-01,03:00,,1,5,,,
2017-08-01,04:00,,1,2,,,
2017-08-01,05:00,,1,4,,,
2017-08-01,06:00,,1,2,,,
2017-08-01,07:00,,1,2,,,
2017-08-01,08:00,,1,1,,,
2017-08-01,09:00,,1,3,,,
2017-08-01,10:00,,1,4,,,
2017-08-01,11:00,,1,4,,,
2017-08-01,12:00,,1,2,,,
2017-08-01,13:00,,1,1,,,
2017-08-01,14:00,,1,1,,,
2017-08-01,15:00,,1,1,,,
2017-08-01,16:00,,1,1,,,
2017-08-01,17:00,,1,1,,,
2017-08-01,18:00,,1,1,,,
2017-08-01,19:00,,1,1,,,
2017-08-01,20:00,,1,1,,,
2017-08-01,21:00,,1,2,,,
2017-08-01,22:00,,1,1,,,
2017-08-01,23:00,,1,2,,,
2017-08-02,00:00,,1,2,,,
2017-08-02,01:00,,1,3,,,
2017-08-02,02:00,,1,3,,,
2017-08-02,03:00,,1,2,,,
2017-08-02,04:00,,1,3,,,
2017-08-02,05:00,,1,3,,,
2017-08-02,06:00,,1,4,,,
2017-08-02,07:00,,1,5,,,
2017-08-02,08:00,,1,4,,,
2017-08-02,09:00,,1,5,,,
2017-08-02,10:00,,1,5,,,
2017-08-02,11:00,,1,2,,,
2017-08-02,12:00,,1,2,,,
2017-08-02,13:00,,1,1,,,
2017-08-02,14:00,,1,1,,,
2017-08-02,15:00,,1,1,,,
2017-08-02,16:00,,1,1,,,
2017-08-02,17:00,,1,1,,,
2017-08-02,18:00,,1,1,,,
2017-08-02,19:00,,1,2,,,
2017-08-02,20:00,,1,5,,,
2017-08-02,21:00,,1,10,,,
2017-08-02,22:00,,1,5,,,
2017-08-02,23:00,,1,7,,,
2017-08-03,00:00,,1,9,,,
2017-08-03,01:00,,1,5,,,
2017-08-03,02:00,,1,4,,,
2017-08-03,03:00,,1,2,,,
