Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-11-01,01:00,1.6,1015,71.7,9,47,,25,,2.7,0,7.4,1.0,89
2018-11-01,02:00,1.2,1015,74.2,9,44,,22,,2.1,0,7.0,0.6,92
2018-11-01,03:00,1.3,1015,76.6,20,43,,24,,1.9,0,6.6,0.4,46
2018-11-01,04:00,1.4,1014,79.2,49,49,,28,,1.9,0,6.3,0.4,278
2018-11-01,05:00,1.4,1014,79.8,59,47,,35,,2.1,0,6.3,0.2,46
2018-11-01,06:00,1.5,1014,82.3,77,47,,37,,2.4,0,5.8,0.6,73
2018-11-01,07:00,1.6,1013,83.7,79,50,,30,,3.0,0,5.6,0.6,93
2018-11-01,08:00,2.0,1013,84.4,134,57,,31,,3.4,15,5.6,0.7,90
2018-11-01,09:00,2.0,1012,79.5,120,54,,39,,3.3,68,6.6,0.5,121
2018-11-01,10:00,2.2,1012,72.3,139,58,,38,,4.0,78,8.6,0.6,88
2018-11-01,11:00,1.8,1012,67.8,125,59,,34,,4.4,142,10.3,0.5,47
2018-11-01,12:00,2.0,1011,66.5,84,51,,39,,4.4,142,11.3,0.7,78
2018-11-01,13:00,1.7,1011,69.2,85,49,,,,4.4,104,11.4,0.7,94
2018-11-01,14:00,2.1,1010,68.9,95,52,,17,,4.2,68,12.0,0.6,88
2018-11-01,15:00,2.1,1009,73.2,96,51,,37,,4.2,51,11.9,1.0,63
2018-11-01,16:00,1.9,1010,76.5,106,50,,37,,3.5,40,12.1,0.6,92
2018-11-01,17:00,2.9,1009,76.4,165,67,,36,,4.2,10,12.0,0.8,253
2018-11-01,18:00,4.3,1010,78.5,132,54,,42,,3.6,0,11.3,0.6,89
2018-11-01,19:00,2.9,1010,73.7,106,58,,39,,3.5,0,11.5,0.7,189
2018-11-01,20:00,3.4,1011,73.2,100,62,,31,,3.3,0,11.0,1.5,270
2018-11-01,21:00,2.6,1012,75.0,63,50,,26,,2.6,0,10.3,1.6,275
2018-11-01,22:00,1.9,1013,78.3,67,49,,24,,2.3,0,9.5,1.4,270
2018-11-01,23:00,2.2,1013,81.4,61,48,,25,,2.1,0,8.8,1.7,272
2018-11-02,00:00,1.9,1014,80.0,31,42,,22,,1.6,0,8.5,1.8,273
2018-11-02,01:00,1.9,1015,81.5,23,36,,20,,1.5,0,8.1,0.7,275
2018-11-02,02:00,1.4,1015,80.4,26,35,,22,,1.7,0,8.4,0.3,14
2018-11-02,03:00,1.1,1015,78.6,13,24,,21,,1.6,0,8.7,0.5,49
2018-11-02,04:00,0.9,1016,79.1,16,26,,14,,1.4,0,8.6,0.5,235
2018-11-02,05:00,0.8,1016,78.8,21,28,,15,,1.6,0,8.6,0.6,240
2018-11-02,06:00,0.9,1017,79.5,47,37,,17,,1.8,0,8.6,0.8,249
2018-11-02,07:00,1.2,1018,80.8,89,57,,16,,2.2,0,8.4,0.5,242
2018-11-02,08:00,2.0,1019,80.6,136,72,,23,,2.7,10,8.6,0.6,211
2018-11-02,09:00,1.8,1020,78.4,126,66,,24,,3.3,55,9.3,1.0,227
2018-11-02,10:00,1.7,1020,73.3,112,60,,23,,3.7,94,10.8,1.1,247
2018-11-02,11:00,1.7,1021,70.5,116,59,,18,,4.1,110,11.8,1.6,264
