Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-02-01,01:00,,998,80.4,3,13,52,27,,,1,,1.3,173
2019-02-01,02:00,,998,80.3,2,13,54,23,,,1,,1.3,178
2019-02-01,03:00,,998,80.4,1,12,55,24,,,1,,1.1,175
2019-02-01,04:00,,998,79.6,2,12,55,23,,,1,,1.3,180
2019-02-01,05:00,,997,78.7,4,14,54,21,,,1,,1.2,175
2019-02-01,06:00,,997,77.9,11,18,50,22,,,1,0.2,1.2,173
2019-02-01,07:00,,996,78.2,20,27,45,22,,,1,0.2,1.4,178
2019-02-01,08:00,,996,78.0,30,32,39,20,,,2,0.4,1.7,179
2019-02-01,09:00,,996,76.9,24,26,40,23,,,17,0.7,1.8,175
2019-02-01,10:00,,996,75.2,28,28,39,21,,,64,1.1,2.0,172
2019-02-01,11:00,,996,73.4,35,31,37,26,,,65,1.7,1.8,171
2019-02-01,12:00,,996,71.4,29,29,39,30,,,78,2.2,1.8,174
2019-02-01,13:00,,996,71.1,50,37,34,33,,,66,2.4,1.5,172
2019-02-01,14:00,,996,71.9,54,40,31,34,,,46,2.5,1.4,174
2019-02-01,15:00,,996,71.9,43,42,29,30,,,48,2.7,1.3,176
2019-02-01,16:00,,996,71.7,63,52,27,32,,,28,3.0,1.0,175
2019-02-01,17:00,,995,78.4,67,53,21,35,,,6,2.7,1.1,176
