Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-01-01,01:00,,8,17,,,59,,
2018-01-01,02:00,,2,9,,,118,,
2018-01-01,03:00,,1,6,,,16,,
2018-01-01,04:00,,1,5,,,6,,
2018-01-01,05:00,,1,4,,,5,,
2018-01-01,06:00,,1,3,,,11,,
2018-01-01,07:00,,1,3,,,7,,
2018-01-01,08:00,,1,2,,,5,,
2018-01-01,09:00,,1,3,,,7,,
2018-01-01,10:00,,1,3,,,1,,
2018-01-01,11:00,,1,4,,,1,,
2018-01-01,12:00,,1,3,,,1,,
2018-01-01,13:00,,1,3,,,4,,
2018-01-01,14:00,,1,3,,,2,,
2018-01-01,15:00,,1,4,,,0,,
2018-01-01,16:00,,2,7,,,6,,
2018-01-01,17:00,,1,7,,,7,,
2018-01-01,18:00,,2,16,,,8,,
2018-01-01,19:00,,3,21,,,10,,
2018-01-01,20:00,,2,10,,,12,,
2018-01-01,21:00,,1,9,,,7,,
2018-01-01,22:00,,1,8,,,4,,
2018-01-01,23:00,,1,7,,,4,,
2018-01-02,00:00,,1,4,,,2,,
2018-01-02,01:00,,1,4,,,0,,
2018-01-02,02:00,,1,5,,,0,,
2018-01-02,03:00,,1,5,,,0,,
2018-01-02,04:00,,1,5,,,1,,
2018-01-02,05:00,,1,5,,,0,,
2018-01-02,06:00,,2,7,,,2,,
2018-01-02,07:00,,6,11,,,0,,
2018-01-02,08:00,,4,11,,,0,,
2018-01-02,09:00,,5,12,,,0,,
2018-01-02,10:00,,8,15,,,1,,
2018-01-02,11:00,,6,14,,,3,,
2018-01-02,12:00,,7,15,,,3,,
2018-01-02,13:00,,8,17,,,6,,
2018-01-02,14:00,,8,17,,,4,,
2018-01-02,15:00,,9,18,,,4,,
2018-01-02,16:00,,15,25,,,5,,
2018-01-02,17:00,,11,21,,,8,,
2018-01-02,18:00,,8,17,,,9,,
2018-01-02,19:00,,10,21,,,5,,
2018-01-02,20:00,,3,14,,,2,,
2018-01-02,21:00,,2,11,,,5,,
2018-01-02,22:00,,2,14,,,10,,
2018-01-02,23:00,,1,12,,,9,,
2018-01-03,00:00,,1,8,,,4,,
2018-01-03,01:00,,1,7,,,7,,
2018-01-03,02:00,,1,5,,,9,,
2018-01-03,03:00,,1,5,,,6,,
2018-01-03,04:00,,1,4,,,7,,
2018-01-03,05:00,,1,5,,,7,,
2018-01-03,06:00,,3,8,,,2,,
2018-01-03,07:00,,3,9,,,1,,
2018-01-03,08:00,,8,14,,,1,,
2018-01-03,09:00,,5,10,,,0,,
2018-01-03,10:00,,4,9,,,0,,
2018-01-03,11:00,,4,11,,,3,,
2018-01-03,12:00,,5,9,,,2,,
2018-01-03,13:00,,4,9,,,1,,
2018-01-03,14:00,,4,8,,,,,
2018-01-03,15:00,,6,12,,,4,,
2018-01-03,16:00,,10,15,,,6,,
2018-01-03,17:00,,5,12,,,5,,
2018-01-03,18:00,,4,10,,,2,,
2018-01-03,19:00,,2,7,,,2,,
2018-01-03,20:00,,1,7,,,2,,
2018-01-03,21:00,,1,4,,,3,,
2018-01-03,22:00,,1,4,,,5,,
2018-01-03,23:00,,1,4,,,2,,
2018-01-04,00:00,,1,5,,,3,,
2018-01-04,01:00,,1,3,,,0,,
2018-01-04,02:00,,1,3,,,1,,
2018-01-04,03:00,,1,3,,,4,,
2018-01-04,04:00,,1,3,,,5,,
2018-01-04,05:00,,1,4,,,3,,
2018-01-04,06:00,,3,7,,,7,,
2018-01-04,07:00,,5,11,,,10,,
2018-01-04,08:00,,10,16,,,8,,
2018-01-04,09:00,,6,14,,,6,,
2018-01-04,10:00,,9,16,,,10,,
