Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-01-01,01:00,,1,11,,,
2018-01-01,02:00,,1,7,,,
2018-01-01,03:00,,1,9,,,
2018-01-01,04:00,,1,8,,,
2018-01-01,05:00,,1,6,,,
2018-01-01,06:00,,1,9,,,
2018-01-01,07:00,,1,4,,,
2018-01-01,08:00,,1,4,,,
2018-01-01,09:00,,1,5,,,
2018-01-01,10:00,,1,3,,,
2018-01-01,11:00,,1,4,,,
2018-01-01,12:00,,1,4,,,
2018-01-01,13:00,,2,6,,,
2018-01-01,14:00,,1,5,,,
2018-01-01,15:00,,2,7,,,
2018-01-01,16:00,,4,11,,,
2018-01-01,17:00,,6,15,,,
2018-01-01,18:00,,5,15,,,
2018-01-01,19:00,,3,11,,,
2018-01-01,20:00,,2,11,,,
2018-01-01,21:00,,2,11,,,
2018-01-01,22:00,,2,10,,,
2018-01-01,23:00,,1,7,,,
2018-01-02,00:00,,1,6,,,
2018-01-02,01:00,,1,4,,,
2018-01-02,02:00,,1,5,,,
2018-01-02,03:00,,1,6,,,
2018-01-02,04:00,,1,7,,,
2018-01-02,05:00,,2,10,,,
2018-01-02,06:00,,1,6,,,
2018-01-02,07:00,,1,6,,,
2018-01-02,08:00,,1,6,,,
2018-01-02,09:00,,2,8,,,
2018-01-02,10:00,,2,9,,,
2018-01-02,11:00,,4,11,,,
2018-01-02,12:00,,5,11,,,
2018-01-02,13:00,,3,11,,,
2018-01-02,14:00,,3,9,,,
2018-01-02,15:00,,3,10,,,
2018-01-02,16:00,,7,16,,,
2018-01-02,17:00,,16,25,,,
2018-01-02,18:00,,23,32,,,
2018-01-02,19:00,,3,14,,,
2018-01-02,20:00,,3,12,,,
2018-01-02,21:00,,5,18,,,
2018-01-02,22:00,,3,14,,,
2018-01-02,23:00,,1,11,,,
2018-01-03,00:00,,1,8,,,
2018-01-03,01:00,,1,7,,,
2018-01-03,02:00,,1,8,,,
2018-01-03,03:00,,1,6,,,
2018-01-03,04:00,,1,5,,,
2018-01-03,05:00,,1,5,,,
2018-01-03,06:00,,5,8,,,
2018-01-03,07:00,,8,11,,,
2018-01-03,08:00,,14,15,,,
2018-01-03,09:00,,12,13,,,
2018-01-03,10:00,,11,13,,,
2018-01-03,11:00,,20,21,,,
2018-01-03,12:00,,17,19,,,
2018-01-03,13:00,,9,13,,,
2018-01-03,14:00,,6,13,,,
2018-01-03,15:00,,6,12,,,
2018-01-03,16:00,,11,17,,,
2018-01-03,17:00,,13,18,,,
2018-01-03,18:00,,4,9,,,
2018-01-03,19:00,,3,8,,,
2018-01-03,20:00,,1,6,,,
2018-01-03,21:00,,1,5,,,
2018-01-03,22:00,,1,6,,,
2018-01-03,23:00,,1,4,,,
2018-01-04,00:00,,1,4,,,
2018-01-04,01:00,,1,4,,,
2018-01-04,02:00,,1,4,,,
2018-01-04,03:00,,1,5,,,
2018-01-04,04:00,,1,4,,,
2018-01-04,05:00,,1,4,,,
2018-01-04,06:00,,3,6,,,
2018-01-04,07:00,,6,10,,,
2018-01-04,08:00,,19,22,,,
2018-01-04,09:00,,19,23,,,
2018-01-04,10:00,,26,26,,,
2018-01-04,11:00,,21,25,,,
2018-01-04,12:00,,23,25,,,
2018-01-04,13:00,,20,24,,,
2018-01-04,14:00,,17,22,,,
2018-01-04,15:00,,20,25,,,
2018-01-04,16:00,,26,29,,,
2018-01-04,17:00,,35,35,,,
2018-01-04,18:00,,15,22,,,
2018-01-04,19:00,,10,18,,,
2018-01-04,20:00,,6,14,,,
2018-01-04,21:00,,5,12,,,
2018-01-04,22:00,,4,12,,,
2018-01-04,23:00,,2,11,,,
2018-01-05,00:00,,1,15,,,
2018-01-05,01:00,,1,8,,,
2018-01-05,02:00,,1,6,,,
2018-01-05,03:00,,1,5,,,
2018-01-05,04:00,,1,4,,,
2018-01-05,05:00,,2,8,,,
2018-01-05,06:00,,9,14,,,
2018-01-05,07:00,,9,17,,,
2018-01-05,08:00,,20,27,,,
2018-01-05,09:00,,28,29,,,
2018-01-05,10:00,,16,21,,,
2018-01-05,11:00,,23,24,,,
2018-01-05,12:00,,16,22,,,
2018-01-05,13:00,,15,20,,,
2018-01-05,14:00,,19,23,,,
2018-01-05,15:00,,22,31,,,
2018-01-05,16:00,,34,36,,,
2018-01-05,17:00,,29,38,,,
2018-01-05,18:00,,22,37,,,
2018-01-05,19:00,,11,23,,,
2018-01-05,20:00,,8,15,,,
2018-01-05,21:00,,2,10,,,
2018-01-05,22:00,,2,10,,,
2018-01-05,23:00,,2,10,,,
2018-01-06,00:00,,1,12,,,
2018-01-06,01:00,,1,21,,,
2018-01-06,02:00,,1,9,,,
2018-01-06,03:00,,1,12,,,
2018-01-06,04:00,,1,8,,,
2018-01-06,05:00,,2,12,,,
