Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-01-01,,,,,,12.00,,,
2018-01-01,01:00,,1,16,45,,,,
2018-01-01,02:00,,1,6,57,,,,
2018-01-01,03:00,,1,4,61,,,,
2018-01-01,04:00,,1,4,61,,,,
2018-01-01,05:00,,1,4,63,,,,
2018-01-01,06:00,,1,4,67,,,,
2018-01-01,07:00,,1,4,72,,,,
2018-01-01,08:00,,1,3,76,,,,
2018-01-01,09:00,,1,3,77,,,,
2018-01-01,10:00,,1,3,75,,,,
2018-01-01,11:00,,1,3,73,,,,
2018-01-01,12:00,,1,3,76,,,,
2018-01-01,13:00,,1,3,78,,,,
2018-01-01,14:00,,1,4,77,,,,
2018-01-01,15:00,,1,5,76,,,,
2018-01-01,16:00,,1,7,70,,,,
2018-01-01,17:00,,1,8,69,,,,
2018-01-01,18:00,,1,7,68,,,,
2018-01-01,19:00,,1,6,65,,,,
2018-01-01,20:00,,1,7,63,,,,
2018-01-01,21:00,,1,5,66,,,,
2018-01-01,22:00,,1,6,60,,,,
2018-01-01,23:00,,1,4,61,,,,
2018-01-02,,,,,,2.00,,,
2018-01-02,00:00,,1,4,67,,,,
2018-01-02,01:00,,1,3,68,,,,
2018-01-02,02:00,,1,3,64,,,,
2018-01-02,03:00,,1,4,60,,,,
2018-01-02,04:00,,1,4,59,,,,
2018-01-02,05:00,,1,5,58,,,,
2018-01-02,06:00,,1,7,55,,,,
2018-01-02,07:00,,1,9,51,,,,
2018-01-02,08:00,,1,10,46,,,,
2018-01-02,09:00,,2,12,42,,,,
2018-01-02,10:00,,2,16,35,,,,
2018-01-02,11:00,,3,19,37,,,,
2018-01-02,12:00,,3,18,45,,,,
2018-01-02,13:00,,2,17,47,,,,
2018-01-02,14:00,,3,22,44,,,,
2018-01-02,15:00,,3,25,41,,,,
2018-01-02,16:00,,4,28,39,,,,
2018-01-02,17:00,,4,31,34,,,,
2018-01-02,18:00,,1,32,31,,,,
2018-01-02,19:00,,1,22,41,,,,
2018-01-02,20:00,,1,21,38,,,,
2018-01-02,21:00,,1,16,43,,,,
2018-01-02,22:00,,1,13,47,,,,
2018-01-02,23:00,,1,10,51,,,,
2018-01-03,,,,,,3.09,,,
2018-01-03,00:00,,1,7,52,,,,
2018-01-03,01:00,,1,6,51,,,,
2018-01-03,02:00,,1,3,57,,,,
2018-01-03,03:00,,1,3,57,,,,
2018-01-03,04:00,,1,3,62,,,,
2018-01-03,05:00,,1,3,64,,,,
2018-01-03,06:00,,1,5,58,,,,
2018-01-03,07:00,,1,6,57,,,,
2018-01-03,08:00,,1,8,54,,,,
2018-01-03,09:00,,1,7,54,,,,
2018-01-03,10:00,,1,9,54,,,,
2018-01-03,11:00,,1,8,65,,,,
2018-01-03,12:00,,1,11,70,,,,
2018-01-03,13:00,,1,9,70,,,,
2018-01-03,14:00,,1,10,74,,,,
2018-01-03,15:00,,1,14,71,,,,
2018-01-03,16:00,,1,15,69,,,,
2018-01-03,17:00,,1,13,67,,,,
2018-01-03,18:00,,1,9,68,,,,
2018-01-03,19:00,,1,8,68,,,,
2018-01-03,20:00,,1,6,69,,,,
2018-01-03,21:00,,1,5,69,,,,
2018-01-03,22:00,,1,5,68,,,,
2018-01-03,23:00,,1,4,69,,,,
2018-01-04,,,,,,6.61,,,
2018-01-04,00:00,,1,4,68,,,,
2018-01-04,01:00,,1,3,68,,,,
2018-01-04,02:00,,1,3,68,,,,
2018-01-04,03:00,,1,3,68,,,,
2018-01-04,04:00,,1,6,65,,,,
2018-01-04,05:00,,1,7,65,,,,
2018-01-04,06:00,,1,6,66,,,,
2018-01-04,07:00,,1,8,64,,,,
2018-01-04,08:00,,1,11,61,,,,
2018-01-04,09:00,,2,11,63,,,,
2018-01-04,10:00,,1,12,62,,,,
2018-01-04,11:00,,1,12,62,,,,
2018-01-04,12:00,,1,15,59,,,,
2018-01-04,13:00,,1,14,59,,,,
2018-01-04,14:00,,1,13,59,,,,
2018-01-04,15:00,,1,14,59,,,,
2018-01-04,16:00,,1,18,56,,,,
2018-01-04,17:00,,1,18,52,,,,
2018-01-04,18:00,,1,19,45,,,,
2018-01-04,19:00,,1,13,51,,,,
2018-01-04,20:00,,1,8,52,,,,
2018-01-04,21:00,,1,12,44,,,,
2018-01-04,22:00,,1,11,46,,,,
2018-01-04,23:00,,1,10,48,,,,
2018-01-05,,,,,,7.78,,,
2018-01-05,00:00,,1,9,50,,,,
2018-01-05,01:00,,1,6,55,,,,
2018-01-05,02:00,,1,7,50,,,,
2018-01-05,03:00,,1,4,64,,,,
2018-01-05,04:00,,1,7,68,,,,
