Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-11-01,01:00,,1,7,47,12,
2017-11-01,02:00,,1,7,46,11,
2017-11-01,03:00,,1,7,45,12,
2017-11-01,04:00,,1,6,48,11,
2017-11-01,05:00,,1,5,51,10,
2017-11-01,06:00,,1,6,51,10,
2017-11-01,07:00,,2,10,44,10,
2017-11-01,08:00,,4,15,39,11,
2017-11-01,09:00,,3,13,38,10,
2017-11-01,10:00,,4,14,35,11,
2017-11-01,11:00,,4,15,32,12,
2017-11-01,12:00,,5,16,30,13,
2017-11-01,13:00,,5,13,29,,
2017-11-01,14:00,,4,13,31,,
2017-11-01,15:00,,6,15,29,,
2017-11-01,16:00,,5,16,29,15,
2017-11-01,17:00,,4,16,30,14,
2017-11-01,18:00,,2,17,32,13,
2017-11-01,19:00,,2,14,34,12,
2017-11-01,20:00,,2,17,26,14,
2017-11-01,21:00,,1,16,23,14,
2017-11-01,22:00,,1,17,17,14,
2017-11-01,23:00,,1,13,19,12,
2017-11-02,00:00,,1,10,23,13,
2017-11-02,01:00,,1,10,22,13,
2017-11-02,02:00,,1,11,21,14,
2017-11-02,03:00,,1,13,19,17,
2017-11-02,04:00,,1,12,18,14,
2017-11-02,05:00,,2,13,20,14,
2017-11-02,06:00,,2,15,22,13,
2017-11-02,07:00,,2,20,19,13,
2017-11-02,08:00,,4,27,14,13,
2017-11-02,09:00,,3,21,23,14,
2017-11-02,10:00,,8,22,28,13,
2017-11-02,11:00,,6,20,34,13,
