Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-06-01,,,,,,10,
2017-06-01,01:00,0.2,1,4,,,0.5
2017-06-01,02:00,0.2,1,4,,,0.5
2017-06-01,03:00,0.2,1,5,,,0.5
2017-06-01,04:00,0.2,1,8,,,0.5
2017-06-01,05:00,0.3,6,13,,,0.5
2017-06-01,06:00,0.3,11,13,,,0.5
2017-06-01,07:00,0.6,6,11,,,0.5
2017-06-01,08:00,0.8,1,8,,,1.5
2017-06-01,09:00,0.3,1,7,,,1.3
2017-06-01,10:00,0.3,1,7,,,1.3
2017-06-01,11:00,0.3,1,6,,,1.3
2017-06-01,12:00,0.2,1,6,,,1.2
2017-06-01,13:00,0.2,1,6,,,1.1
2017-06-01,14:00,0.5,1,6,,,1.1
2017-06-01,15:00,0.5,1,8,,,1.0
2017-06-01,16:00,0.2,1,6,,,1.1
2017-06-01,17:00,0.3,1,5,,,1.2
2017-06-01,18:00,0.2,1,5,,,1.3
2017-06-01,19:00,0.2,1,5,,,1.3
2017-06-01,20:00,0.2,1,7,,,1.4
2017-06-01,21:00,0.2,1,9,,,1.1
2017-06-01,22:00,0.3,1,11,,,0.5
2017-06-01,23:00,0.3,1,7,,,0.5
2017-06-02,,,,,,10,
2017-06-02,00:00,0.2,1,3,,,0.5
2017-06-02,01:00,0.2,1,5,,,0.5
2017-06-02,02:00,0.2,1,3,,,0.5
2017-06-02,03:00,0.2,1,5,,,0.5
2017-06-02,04:00,0.2,1,8,,,0.5
2017-06-02,05:00,0.2,2,12,,,0.5
2017-06-02,06:00,0.3,4,14,,,0.5
2017-06-02,07:00,0.5,2,7,,,0.5
2017-06-02,08:00,0.2,3,11,,,10.5
2017-06-02,09:00,0.3,3,17,,,35.6
2017-06-02,10:00,0.2,1,6,,,4.1
2017-06-02,11:00,0.2,1,4,,,1.1
2017-06-02,12:00,0.2,1,8,,,1.1
2017-06-02,13:00,0.2,1,5,,,1.0
2017-06-02,14:00,0.2,1,8,,,0.5
2017-06-02,15:00,0.3,1,9,,,0.5
2017-06-02,16:00,0.4,1,9,,,1.0
2017-06-02,17:00,0.2,1,6,,,0.5
2017-06-02,18:00,0.2,1,5,,,0.5
2017-06-02,19:00,0.2,1,7,,,1.1
2017-06-02,20:00,0.2,1,10,,,1.3
2017-06-02,21:00,0.3,1,7,,,1.4
2017-06-02,22:00,0.6,1,12,,,1.3
2017-06-02,23:00,0.6,1,9,,,1.2
2017-06-03,,,,,,12,
2017-06-03,00:00,0.3,1,7,,,1.1
2017-06-03,01:00,0.3,1,5,,,1.1
2017-06-03,02:00,0.3,1,4,,,0.5
2017-06-03,03:00,0.3,1,3,,,0.5
2017-06-03,04:00,0.3,1,8,,,0.5
2017-06-03,05:00,0.3,1,7,,,0.5
2017-06-03,06:00,0.4,1,6,,,0.5
2017-06-03,07:00,,1,8,,,1.3
2017-06-03,08:00,,1,7,,,2.8
2017-06-03,09:00,,1,8,,,7.5
2017-06-03,10:00,,1,10,,,8.9
2017-06-03,11:00,,1,6,,,6.1
2017-06-03,12:00,0.2,1,4,,,3.1
2017-06-03,13:00,0.2,1,4,,,2.6
2017-06-03,14:00,0.1,1,3,,,2.5
2017-06-03,15:00,0.2,1,6,,,2.6
2017-06-03,16:00,0.2,1,6,,,2.6
2017-06-03,17:00,0.3,1,13,,,2.7
2017-06-03,18:00,0.3,1,8,,,2.6
2017-06-03,19:00,0.3,1,7,,,2.1
2017-06-03,20:00,0.3,1,6,,,1.7
2017-06-03,21:00,0.3,1,4,,,1.3
2017-06-03,22:00,0.3,1,5,,,1.1
2017-06-03,23:00,0.3,1,4,,,1.0
2017-06-04,00:00,0.3,1,3,,,1.1
2017-06-04,01:00,0.2,1,3,,,0.5
2017-06-04,02:00,0.2,1,3,,,0.5
2017-06-04,03:00,0.2,1,3,,,1.1
2017-06-04,04:00,0.2,1,4,,,1.3
2017-06-04,05:00,0.2,1,3,,,1.0
2017-06-04,06:00,0.2,1,4,,,1.1
2017-06-04,07:00,0.2,1,3,,,1.2
2017-06-04,08:00,0.2,1,7,,,1.6
2017-06-04,09:00,0.3,1,7,,,1.8
2017-06-04,10:00,0.3,1,6,,,1.8
2017-06-04,11:00,0.2,1,5,,,1.4
2017-06-04,12:00,0.2,1,4,,,1.3
2017-06-04,13:00,0.2,1,7,,,1.3
2017-06-04,14:00,0.2,1,4,,,1.2
2017-06-04,15:00,0.1,1,5,,,1.0
2017-06-04,16:00,0.2,1,4,,,1.0
