Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-03-01,01:00,1.3,1,8,,25,5.8
2018-03-01,02:00,1.2,1,8,,25,5.6
2018-03-01,03:00,1.3,1,8,,27,5.9
2018-03-01,04:00,1.3,1,10,,26,7.1
2018-03-01,05:00,1.3,1,10,,26,7.6
2018-03-01,06:00,1.2,1,10,,24,7.8
2018-03-01,07:00,1.2,1,12,,22,9.8
2018-03-01,08:00,1.3,1,12,,23,12.1
2018-03-01,09:00,1.3,2,9,,26,10.0
2018-03-01,10:00,1.3,2,10,,28,9.8
2018-03-01,11:00,1.5,3,10,,35,7.9
2018-03-01,12:00,1.5,3,10,,35,6.8
2018-03-01,13:00,1.3,3,10,,28,6.7
2018-03-01,14:00,1.4,3,11,,30,7.0
2018-03-01,15:00,1.5,3,13,,31,7.4
2018-03-01,16:00,1.6,3,15,,37,7.6
2018-03-01,17:00,1.7,3,17,,42,7.2
2018-03-01,18:00,1.7,1,17,,44,7.4
2018-03-01,19:00,1.9,1,17,,44,7.3
2018-03-01,20:00,1.9,1,18,,46,7.1
2018-03-01,21:00,1.9,1,13,,47,7.7
2018-03-01,22:00,2.1,1,11,,44,5.9
2018-03-01,23:00,1.8,1,9,,42,6.1
2018-03-02,00:00,1.8,1,9,,42,5.9
2018-03-02,01:00,1.8,1,9,,43,5.0
2018-03-02,02:00,1.8,1,11,,44,5.0
2018-03-02,03:00,1.9,1,11,,44,5.7
2018-03-02,04:00,1.9,1,10,,45,6.3
2018-03-02,05:00,1.9,1,11,,47,6.6
2018-03-02,06:00,2.0,1,12,,47,6.3
2018-03-02,07:00,2.0,1,13,,48,5.7
2018-03-02,08:00,2.0,1,11,,46,5.5
2018-03-02,09:00,2.0,2,12,,48,5.7
2018-03-02,10:00,2.0,2,12,,47,5.9
2018-03-02,11:00,2.0,2,12,,47,6.5
2018-03-02,12:00,2.1,2,13,,48,7.4
2018-03-02,13:00,2.3,3,13,,49,7.2
2018-03-02,14:00,2.0,2,11,,50,5.7
2018-03-02,15:00,2.0,2,12,,48,5.9
2018-03-02,16:00,2.0,2,14,,48,7.3
2018-03-02,17:00,2.0,2,18,,46,7.8
2018-03-02,18:00,1.9,2,22,,42,8.5
2018-03-02,19:00,1.8,1,19,,41,8.4
2018-03-02,20:00,1.9,1,17,,41,6.5
2018-03-02,21:00,2.0,1,14,,43,7.0
2018-03-02,22:00,2.2,1,16,,47,6.9
2018-03-02,23:00,2.2,4,22,,49,6.7
2018-03-03,00:00,2.2,2,16,,48,7.6
2018-03-03,01:00,2.0,1,13,,45,7.5
2018-03-03,02:00,2.1,1,14,,44,8.5
2018-03-03,03:00,2.1,1,12,,44,7.9
2018-03-03,04:00,2.1,1,12,,43,7.2
2018-03-03,05:00,2.1,1,12,,42,7.8
2018-03-03,06:00,2.2,1,13,,48,7.6
2018-03-03,07:00,2.4,1,14,,53,7.0
2018-03-03,08:00,2.6,1,13,,56,7.4
2018-03-03,09:00,2.6,1,13,,55,7.7
2018-03-03,10:00,2.4,2,13,,53,9.1
2018-03-03,11:00,2.5,2,12,,54,9.3
2018-03-03,12:00,2.5,2,13,,55,8.5
2018-03-03,13:00,2.5,2,14,,54,8.4
2018-03-03,14:00,2.4,2,13,,53,7.8
2018-03-03,15:00,2.5,1,13,,52,7.6
2018-03-03,16:00,,2,16,,52,8.8
2018-03-03,17:00,,1,17,,57,10.0
2018-03-03,18:00,,1,19,,61,10.5
2018-03-03,19:00,,1,21,,59,10.8
2018-03-03,20:00,,1,16,,55,9.4
2018-03-03,21:00,2.1,1,15,,49,9.5
2018-03-03,22:00,2.0,1,12,,44,8.9
2018-03-03,23:00,1.9,1,14,,44,9.6
2018-03-04,00:00,2.0,1,11,,47,10.8
2018-03-04,01:00,2.1,1,13,,49,10.5
2018-03-04,02:00,2.2,1,12,,52,10.5
2018-03-04,03:00,2.7,2,16,,52,8.1
2018-03-04,04:00,3.1,1,23,,52,6.5
2018-03-04,05:00,2.4,1,21,,52,5.9
