Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-03-01,01:00,,,,72,,25,,
2018-03-01,02:00,,,,72,,22,,
2018-03-01,03:00,,,,69,,23,,
2018-03-01,04:00,,,,65,,23,,
2018-03-01,05:00,,,,64,,22,,
2018-03-01,06:00,,,,65,,22,,
2018-03-01,07:00,,,,67,,23,,
2018-03-01,08:00,,,,71,,20,,
2018-03-01,09:00,,,,74,,20,,
2018-03-01,10:00,,,,75,,21,,
2018-03-01,11:00,,,,84,,25,,
2018-03-01,12:00,,,,92,,26,,
2018-03-01,13:00,,,,87,,20,,
2018-03-01,14:00,,,,86,,22,,
2018-03-01,15:00,,,,86,,25,,
2018-03-01,16:00,,,,83,,34,,
2018-03-01,17:00,,,,83,,39,,
2018-03-01,18:00,,,,84,,43,,
2018-03-01,19:00,,,,87,,43,,
2018-03-01,20:00,,,,89,,43,,
2018-03-01,21:00,,,,87,,43,,
2018-03-01,22:00,,,,90,,43,,
2018-03-01,23:00,,,,93,,40,,
2018-03-02,00:00,,,,92,,41,,
2018-03-02,01:00,,,,91,,42,,
2018-03-02,02:00,,,,88,,43,,
2018-03-02,03:00,,,,89,,44,,
2018-03-02,04:00,,,,89,,43,,
2018-03-02,05:00,,,,89,,42,,
2018-03-02,06:00,,,,88,,43,,
2018-03-02,07:00,,,,89,,44,,
2018-03-02,08:00,,,,89,,42,,
2018-03-02,09:00,,,,87,,43,,
2018-03-02,10:00,,,,89,,42,,
2018-03-02,11:00,,,,88,,38,,
2018-03-02,12:00,,,,87,,39,,
2018-03-02,13:00,,,,91,,40,,
2018-03-02,14:00,,,,95,,38,,
2018-03-02,15:00,,,,93,,39,,
2018-03-02,16:00,,,,89,,38,,
2018-03-02,17:00,,,,84,,39,,
2018-03-02,18:00,,,,81,,38,,
2018-03-02,19:00,,,,85,,36,,
2018-03-02,20:00,,,,82,,36,,
2018-03-02,21:00,,,,84,,40,,
2018-03-02,22:00,,,,81,,43,,
2018-03-02,23:00,,,,80,,44,,
2018-03-03,00:00,,,,79,,42,,
2018-03-03,01:00,,,,80,,41,,
2018-03-03,02:00,,,,79,,41,,
2018-03-03,03:00,,,,78,,40,,
2018-03-03,04:00,,,,77,,39,,
2018-03-03,05:00,,,,72,,41,,
2018-03-03,06:00,,,,71,,47,,
2018-03-03,07:00,,,,76,,47,,
2018-03-03,08:00,,,,77,,45,,
2018-03-03,09:00,,,,79,,45,,
2018-03-03,10:00,,,,81,,44,,
2018-03-03,11:00,,,,83,,43,,
2018-03-03,12:00,,,,83,,42,,
2018-03-03,13:00,,,,84,,44,,
2018-03-03,14:00,,,,83,,46,,
2018-03-03,15:00,,,,89,,46,,
2018-03-03,16:00,,,,93,,43,,
2018-03-03,17:00,,,,88,,46,,
2018-03-03,18:00,,,,86,,54,,
2018-03-03,19:00,,,,88,,54,,
2018-03-03,20:00,,,,88,,51,,
2018-03-03,21:00,,,,85,,47,,
2018-03-03,22:00,,,,87,,44,,
2018-03-03,23:00,,,,88,,42,,
2018-03-04,00:00,,,,86,,43,,
2018-03-04,01:00,,,,86,,49,,
2018-03-04,02:00,,,,93,,51,,
2018-03-04,03:00,,,,94,,50,,
2018-03-04,04:00,,,,94,,50,,
2018-03-04,05:00,,,,93,,51,,
2018-03-04,06:00,,,,89,,50,,
2018-03-04,07:00,,,,91,,53,,
2018-03-04,08:00,,,,95,,54,,
2018-03-04,09:00,,,,96,,53,,
2018-03-04,10:00,,,,93,,52,,
2018-03-04,11:00,,,,94,,50,,
2018-03-04,12:00,,,,92,,48,,
2018-03-04,13:00,,,,89,,42,,
2018-03-04,14:00,,,,89,,34,,
2018-03-04,15:00,,,,93,,27,,
2018-03-04,16:00,,,,95,,28,,
2018-03-04,17:00,,,,92,,32,,
2018-03-04,18:00,,,,84,,39,,
2018-03-04,19:00,,,,82,,44,,
2018-03-04,20:00,,,,82,,44,,
2018-03-04,21:00,,,,85,,36,,
2018-03-04,22:00,,,,89,,32,,
2018-03-04,23:00,,,,93,,38,,
2018-03-05,00:00,,,,100,,36,,
2018-03-05,01:00,,,,100,,30,,
2018-03-05,02:00,,,,100,,28,,
2018-03-05,03:00,,,,98,,30,,
2018-03-05,04:00,,,,97,,30,,
2018-03-05,05:00,,,,96,,30,,
2018-03-05,06:00,,,,94,,32,,
2018-03-05,07:00,,,,87,,37,,
2018-03-05,08:00,,,,87,,47,,
2018-03-05,09:00,,,,91,,50,,
2018-03-05,10:00,,,,90,,52,,
2018-03-05,11:00,,,,91,,53,,
2018-03-05,12:00,,,,93,,56,,
2018-03-05,13:00,,,,94,,51,,
2018-03-05,14:00,,,,97,,41,,
2018-03-05,15:00,,,,94,,32,,
2018-03-05,16:00,,,,95,,39,,
2018-03-05,17:00,,,,93,,57,,
2018-03-05,18:00,,,,94,,58,,
2018-03-05,19:00,,,,91,,50,,
2018-03-05,20:00,,,,79,,54,,
2018-03-05,21:00,,,,72,,47,,
2018-03-05,22:00,,,,69,,39,,
2018-03-05,23:00,,,,77,,35,,
2018-03-06,00:00,,,,76,,32,,
2018-03-06,01:00,,,,72,,28,,
2018-03-06,02:00,,,,67,,24,,
2018-03-06,03:00,,,,62,,30,,
2018-03-06,04:00,,,,65,,31,,
2018-03-06,05:00,,,,68,,27,,
2018-03-06,06:00,,,,70,,26,,
2018-03-06,07:00,,,,76,,26,,
2018-03-06,08:00,,,,79,,24,,
2018-03-06,09:00,,,,78,,24,,
2018-03-06,10:00,,,,80,,25,,
2018-03-06,11:00,,,,81,,25,,
2018-03-06,12:00,,,,87,,24,,
2018-03-06,13:00,,,,93,,24,,
2018-03-06,14:00,,,,93,,23,,
2018-03-06,15:00,,,,91,,23,,
2018-03-06,16:00,,,,87,,24,,
2018-03-06,17:00,,,,84,,26,,
2018-03-06,18:00,,,,80,,28,,
2018-03-06,19:00,,,,71,,27,,
2018-03-06,20:00,,,,65,,28,,
2018-03-06,21:00,,,,57,,31,,
2018-03-06,22:00,,,,56,,33,,
2018-03-06,23:00,,,,49,,32,,
2018-03-07,00:00,,,,39,,25,,
2018-03-07,01:00,,,,31,,22,,
