Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-03-01,01:00,,7,23,,34,
2018-03-01,02:00,,3,17,,33,
2018-03-01,03:00,,4,16,,31,
2018-03-01,04:00,,6,19,,32,
2018-03-01,05:00,,21,26,,30,
2018-03-01,06:00,,51,37,,32,
2018-03-01,07:00,,115,48,,35,
2018-03-01,08:00,,167,57,,46,
2018-03-01,09:00,,181,61,,59,
2018-03-01,10:00,,74,45,,61,
2018-03-01,11:00,,59,38,,50,
2018-03-01,12:00,,43,32,,41,
2018-03-01,13:00,,39,32,,46,
2018-03-01,14:00,,38,35,,49,
2018-03-01,15:00,,32,31,,44,
2018-03-01,16:00,,33,33,,48,
2018-03-01,17:00,,31,36,,47,
2018-03-01,18:00,,26,41,,54,
2018-03-01,19:00,,35,49,,52,
2018-03-01,20:00,,41,59,,67,
2018-03-01,21:00,,40,59,,64,
2018-03-01,22:00,,23,49,,60,
2018-03-01,23:00,,31,43,,57,
