Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-03-01,01:00,,1,18,47,36,
2018-03-01,02:00,,1,19,44,39,
2018-03-01,03:00,,1,24,36,37,
2018-03-01,04:00,,1,22,36,42,
2018-03-01,05:00,,1,26,31,43,
2018-03-01,06:00,,2,33,24,44,
2018-03-01,07:00,,5,44,16,43,
2018-03-01,08:00,,6,38,21,47,
2018-03-01,09:00,,6,23,34,49,
2018-03-01,10:00,,5,17,46,48,
2018-03-01,11:00,,4,15,54,42,
2018-03-01,12:00,,5,17,55,41,
2018-03-01,13:00,,4,14,63,43,
2018-03-01,14:00,,3,14,66,40,
2018-03-01,15:00,,2,14,69,40,
2018-03-01,16:00,,3,17,68,41,
2018-03-01,17:00,,3,26,61,46,
2018-03-01,18:00,,1,30,54,45,
2018-03-01,19:00,,2,41,42,44,
2018-03-01,20:00,,1,30,48,47,
2018-03-01,21:00,,1,25,48,49,
2018-03-01,22:00,,1,23,46,49,
2018-03-01,23:00,,1,25,42,50,
2018-03-02,00:00,,2,37,30,53,
2018-03-02,01:00,,2,34,32,50,
2018-03-02,02:00,,1,30,35,54,
2018-03-02,03:00,,2,37,27,56,
2018-03-02,04:00,,3,39,25,59,
2018-03-02,05:00,,3,38,24,63,
2018-03-02,06:00,,2,35,24,67,
2018-03-02,07:00,,4,45,9,66,
2018-03-02,08:00,,9,39,14,67,
2018-03-02,09:00,,12,36,23,68,
2018-03-02,10:00,,11,27,35,72,
2018-03-02,11:00,,7,21,48,71,
2018-03-02,12:00,,6,22,59,68,
2018-03-02,13:00,,5,22,62,71,
2018-03-02,14:00,,3,20,72,73,
2018-03-02,15:00,,2,19,84,69,
2018-03-02,16:00,,2,29,79,67,
2018-03-02,17:00,,2,33,73,70,
2018-03-02,18:00,,1,43,64,68,
2018-03-02,19:00,,1,41,62,67,
2018-03-02,20:00,,1,28,70,60,
2018-03-02,21:00,,1,22,65,59,
2018-03-02,22:00,,1,24,55,55,
2018-03-02,23:00,,1,21,56,54,
2018-03-03,00:00,,1,19,55,52,
2018-03-03,01:00,,1,26,42,53,
2018-03-03,02:00,,1,29,38,55,
2018-03-03,03:00,,1,21,40,56,
2018-03-03,04:00,,1,27,35,56,
2018-03-03,05:00,,1,24,39,61,
2018-03-03,06:00,,1,31,24,65,
2018-03-03,07:00,,1,28,29,66,
2018-03-03,08:00,,4,31,26,67,
2018-03-03,09:00,,6,27,32,68,
2018-03-03,10:00,,5,24,48,67,
2018-03-03,11:00,,4,19,58,59,
2018-03-03,12:00,,3,19,60,58,
2018-03-03,13:00,,4,19,62,60,
2018-03-03,14:00,,3,19,69,62,
2018-03-03,15:00,,2,19,73,65,
2018-03-03,16:00,,2,20,75,57,
2018-03-03,17:00,,2,27,68,50,
2018-03-03,18:00,,1,23,69,50,
2018-03-03,19:00,,1,21,70,50,
2018-03-03,20:00,,1,29,61,51,
2018-03-03,21:00,,1,17,70,54,
2018-03-03,22:00,,1,19,69,56,
2018-03-03,23:00,,1,20,64,56,
2018-03-04,00:00,,1,20,64,59,
2018-03-04,01:00,,1,22,58,59,
