Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-07-01,01:00,0.5,3,20,44,,
2017-07-01,02:00,0.3,3,17,40,,
2017-07-01,03:00,0.4,2,16,40,,
2017-07-01,04:00,0.4,2,17,37,,
2017-07-01,05:00,0.3,5,17,44,,
2017-07-01,06:00,0.3,22,27,33,,
2017-07-01,07:00,0.3,10,18,50,,
2017-07-01,08:00,0.3,12,20,56,,
2017-07-01,09:00,0.3,13,16,57,,
2017-07-01,10:00,0.4,14,17,57,,
2017-07-01,11:00,0.4,15,16,58,,
2017-07-01,12:00,0.4,12,14,61,,
2017-07-01,13:00,0.4,15,17,59,,
2017-07-01,14:00,0.4,15,17,61,,
2017-07-01,15:00,0.4,15,16,67,,
2017-07-01,16:00,0.4,17,20,69,,
2017-07-01,17:00,0.5,18,28,60,,
2017-07-01,18:00,0.5,12,24,54,,
2017-07-01,19:00,0.5,14,22,51,,
2017-07-01,20:00,0.5,8,15,58,,
2017-07-01,21:00,0.3,10,17,53,,
2017-07-01,22:00,0.4,9,17,49,,
2017-07-01,23:00,0.3,5,10,53,,
2017-07-02,00:00,0.3,7,12,47,,
2017-07-02,01:00,0.3,3,8,46,,
2017-07-02,02:00,0.2,2,7,48,,
2017-07-02,03:00,0.2,3,8,45,,
2017-07-02,04:00,0.1,3,8,41,,
2017-07-02,05:00,0.2,5,13,36,,
2017-07-02,06:00,0.2,4,9,40,,
2017-07-02,07:00,0.2,5,8,44,,
2017-07-02,08:00,0.2,6,8,52,,
2017-07-02,09:00,0.2,6,8,56,,
2017-07-02,10:00,0.3,10,10,58,,
2017-07-02,11:00,0.3,13,14,60,,
2017-07-02,12:00,0.4,10,12,69,,
2017-07-02,13:00,0.4,8,13,73,,
2017-07-02,14:00,0.4,11,16,71,,
2017-07-02,15:00,0.4,10,17,71,,
2017-07-02,16:00,0.3,11,16,73,,
2017-07-02,17:00,0.4,11,19,72,,
2017-07-02,18:00,0.4,10,18,69,,
2017-07-02,19:00,0.4,9,16,67,,
2017-07-02,20:00,0.3,8,15,65,,
2017-07-02,21:00,0.3,6,18,62,,
2017-07-02,22:00,0.4,8,21,51,,
2017-07-02,23:00,0.3,5,15,52,,
2017-07-03,00:00,0.3,5,16,46,,
2017-07-03,01:00,0.2,2,18,40,,
2017-07-03,02:00,0.2,2,9,45,,
2017-07-03,03:00,0.2,3,10,41,,
2017-07-03,04:00,0.2,5,13,37,,
2017-07-03,05:00,0.2,20,25,27,,
2017-07-03,06:00,0.8,30,34,22,,
2017-07-03,07:00,0.4,33,28,29,,
2017-07-03,08:00,0.4,27,24,37,,
2017-07-03,09:00,0.3,26,21,42,,
2017-07-03,10:00,0.3,24,20,49,,
