Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-01-01,01:00,,,,10,,
2017-01-01,02:00,,,,11,,
2017-01-01,03:00,,,,12,,
2017-01-01,04:00,,,,13,,
2017-01-01,05:00,,,,11,,
2017-01-01,06:00,,,,7,,
2017-01-01,07:00,,,,7,,
2017-01-01,08:00,,,,5,,
2017-01-01,09:00,,,,7,,
2017-01-01,10:00,,,,14,,
2017-01-01,11:00,,,,19,,
2017-01-01,12:00,,,,24,,
2017-01-01,13:00,,,,28,,
2017-01-01,14:00,,,,28,,
2017-01-01,15:00,,,,25,,
2017-01-01,16:00,,,,16,,
2017-01-01,17:00,,,,7,,
2017-01-01,18:00,,,,5,,
2017-01-01,19:00,,,,4,,
2017-01-01,20:00,,,,2,,
2017-01-01,21:00,,,,1,,
2017-01-01,22:00,,,,7,,
2017-01-01,23:00,,,,18,,
2017-01-02,00:00,,,,19,,
2017-01-02,01:00,,,,20,,
2017-01-02,02:00,,,,22,,
2017-01-02,03:00,,,,24,,
2017-01-02,04:00,,,,24,,
2017-01-02,05:00,,,,23,,
2017-01-02,06:00,,,,22,,
2017-01-02,07:00,,,,20,,
2017-01-02,08:00,,,,20,,
2017-01-02,09:00,,,,18,,
2017-01-02,10:00,,,,19,,
2017-01-02,11:00,,,,21,,
2017-01-02,12:00,,,,19,,
2017-01-02,13:00,,,,16,,
2017-01-02,14:00,,,,18,,
2017-01-02,15:00,,,,17,,
2017-01-02,16:00,,,,13,,
2017-01-02,17:00,,,,20,,
2017-01-02,18:00,,,,28,,
2017-01-02,19:00,,,,28,,
2017-01-02,20:00,,,,17,,
2017-01-02,21:00,,,,22,,
2017-01-02,22:00,,,,26,,
2017-01-02,23:00,,,,39,,
2017-01-03,00:00,,,,43,,
2017-01-03,01:00,,,,46,,
2017-01-03,02:00,,,,47,,
2017-01-03,03:00,,,,46,,
2017-01-03,04:00,,,,49,,
2017-01-03,05:00,,,,49,,
2017-01-03,06:00,,,,53,,
2017-01-03,07:00,,,,52,,
2017-01-03,08:00,,,,50,,
2017-01-03,09:00,,,,46,,
2017-01-03,10:00,,,,40,,
2017-01-03,11:00,,,,43,,
2017-01-03,12:00,,,,45,,
2017-01-03,13:00,,,,45,,
2017-01-03,14:00,,,,45,,
2017-01-03,15:00,,,,41,,
2017-01-03,16:00,,,,35,,
2017-01-03,17:00,,,,34,,
2017-01-03,18:00,,,,42,,
2017-01-03,19:00,,,,47,,
2017-01-03,20:00,,,,49,,
2017-01-03,21:00,,,,48,,
2017-01-03,22:00,,,,48,,
2017-01-03,23:00,,,,49,,
2017-01-04,00:00,,,,49,,
2017-01-04,01:00,,,,46,,
2017-01-04,02:00,,,,44,,
2017-01-04,03:00,,,,43,,
2017-01-04,04:00,,,,43,,
2017-01-04,05:00,,,,43,,
2017-01-04,06:00,,,,41,,
2017-01-04,07:00,,,,39,,
2017-01-04,08:00,,,,41,,
2017-01-04,09:00,,,,47,,
2017-01-04,10:00,,,,64,,
