Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-01-01,01:00,,,,2,,
2017-01-01,02:00,,,,2,,
2017-01-01,03:00,,,,6,,
2017-01-01,04:00,,,,2,,
2017-01-01,05:00,,,,2,,
2017-01-01,06:00,,,,2,,
2017-01-01,07:00,,,,3,,
2017-01-01,08:00,,,,3,,
2017-01-01,09:00,,,,7,,
2017-01-01,10:00,,,,14,,
2017-01-01,11:00,,,,20,,
2017-01-01,12:00,,,,22,,
2017-01-01,13:00,,,,28,,
2017-01-01,14:00,,,,34,,
2017-01-01,15:00,,,,33,,
2017-01-01,16:00,,,,27,,
2017-01-01,17:00,,,,23,,
2017-01-01,18:00,,,,23,,
2017-01-01,19:00,,,,24,,
2017-01-01,20:00,,,,29,,
2017-01-01,21:00,,,,28,,
2017-01-01,22:00,,,,20,,
2017-01-01,23:00,,,,24,,
2017-01-02,00:00,,,,26,,
2017-01-02,01:00,,,,22,,
2017-01-02,02:00,,,,18,,
2017-01-02,03:00,,,,14,,
2017-01-02,04:00,,,,16,,
2017-01-02,05:00,,,,19,,
2017-01-02,06:00,,,,18,,
2017-01-02,07:00,,,,14,,
2017-01-02,08:00,,,,12,,
2017-01-02,09:00,,,,10,,
2017-01-02,10:00,,,,14,,
2017-01-02,11:00,,,,16,,
2017-01-02,12:00,,,,22,,
2017-01-02,13:00,,,,25,,
2017-01-02,14:00,,,,30,,
2017-01-02,15:00,,,,34,,
2017-01-02,16:00,,,,25,,
2017-01-02,17:00,,,,30,,
