Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-01-01,01:00,,153,39,,,
2017-01-01,02:00,,20,36,,,
2017-01-01,03:00,,18,37,,,
2017-01-01,04:00,,21,40,,,
2017-01-01,05:00,,16,37,,,
2017-01-01,06:00,,39,42,,,
2017-01-01,07:00,,20,39,,,
2017-01-01,08:00,,16,39,,,
2017-01-01,09:00,,20,35,,,
2017-01-01,10:00,,25,34,,,
2017-01-01,11:00,,20,31,,,
2017-01-01,12:00,,16,29,,,
2017-01-01,13:00,,16,30,,,
2017-01-01,14:00,,38,42,,,
2017-01-01,15:00,,32,43,,,
2017-01-01,16:00,,45,53,,,
2017-01-01,17:00,,55,57,,,
2017-01-01,18:00,,61,55,,,
2017-01-01,19:00,,57,54,,,
2017-01-01,20:00,,36,50,,,
2017-01-01,21:00,,28,45,,,
2017-01-01,22:00,,21,42,,,
2017-01-01,23:00,,13,36,,,
2017-01-02,00:00,,8,29,,,
2017-01-02,01:00,,4,25,,,
2017-01-02,02:00,,4,23,,,
2017-01-02,03:00,,3,23,,,
2017-01-02,04:00,,4,25,,,
2017-01-02,05:00,,7,29,,,
2017-01-02,06:00,,8,25,,,
2017-01-02,07:00,,10,26,,,
2017-01-02,08:00,,20,29,,,
2017-01-02,09:00,,24,30,,,
2017-01-02,10:00,,16,26,,,
2017-01-02,11:00,,24,28,,,
2017-01-02,12:00,,26,30,,,
2017-01-02,13:00,,27,29,,,
2017-01-02,14:00,,31,32,,,
2017-01-02,15:00,,39,38,,,
2017-01-02,16:00,,45,45,,,
2017-01-02,17:00,,60,55,,,
2017-01-02,18:00,,40,51,,,
2017-01-02,19:00,,29,46,,,
2017-01-02,20:00,,28,48,,,
2017-01-02,21:00,,30,48,,,
2017-01-02,22:00,,6,33,,,
2017-01-02,23:00,,7,29,,,
