Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-01-01,01:00,,230,56,,,
2017-01-01,02:00,,153,65,,,
2017-01-01,03:00,,146,70,,,
2017-01-01,04:00,,97,62,,,
2017-01-01,05:00,,64,53,,,
2017-01-01,06:00,,54,47,,,
2017-01-01,07:00,,45,44,,,
2017-01-01,08:00,,30,41,,,
2017-01-01,09:00,,28,47,,,
2017-01-01,10:00,,25,40,,,
2017-01-01,11:00,,19,32,,,
2017-01-01,12:00,,18,25,,,
2017-01-01,13:00,,17,24,,,
2017-01-01,14:00,,26,30,,,
2017-01-01,15:00,,41,46,,,
2017-01-01,16:00,,40,48,,,
2017-01-01,17:00,,41,53,,,
2017-01-01,18:00,,43,51,,,
2017-01-01,19:00,,28,43,,,
2017-01-01,20:00,,21,32,,,
2017-01-01,21:00,,11,23,,,
2017-01-01,22:00,,8,19,,,
2017-01-01,23:00,,6,19,,,
2017-01-02,00:00,,3,17,,,
2017-01-02,01:00,,2,18,,,
2017-01-02,02:00,,2,18,,,
2017-01-02,03:00,,6,17,,,
2017-01-02,04:00,,3,17,,,
2017-01-02,05:00,,10,19,,,
2017-01-02,06:00,,16,26,,,
2017-01-02,07:00,,57,44,,,
2017-01-02,08:00,,56,41,,,
2017-01-02,09:00,,47,39,,,
2017-01-02,10:00,,35,34,,,
2017-01-02,11:00,,43,34,,,
2017-01-02,12:00,,83,43,,,
2017-01-02,13:00,,75,41,,,
2017-01-02,14:00,,76,47,,,
2017-01-02,15:00,,56,42,,,
2017-01-02,16:00,,69,47,,,
2017-01-02,17:00,,56,47,,,
2017-01-02,18:00,,45,41,,,
2017-01-02,19:00,,40,40,,,
2017-01-02,20:00,,19,30,,,
2017-01-02,21:00,,18,29,,,
2017-01-02,22:00,,12,24,,,
2017-01-02,23:00,,9,19,,,
2017-01-03,00:00,,6,18,,,
2017-01-03,01:00,,5,15,,,
2017-01-03,02:00,,3,9,,,
2017-01-03,03:00,,3,7,,,
2017-01-03,04:00,,3,8,,,
2017-01-03,05:00,,6,11,,,
2017-01-03,06:00,,14,18,,,
2017-01-03,07:00,,32,27,,,
2017-01-03,08:00,,57,40,,,
2017-01-03,09:00,,41,33,,,
2017-01-03,10:00,,42,32,,,
2017-01-03,11:00,,36,28,,,
2017-01-03,12:00,,45,34,,,
2017-01-03,13:00,,42,33,,,
2017-01-03,14:00,,32,30,,,
2017-01-03,15:00,,39,32,,,
2017-01-03,16:00,,59,44,,,
2017-01-03,17:00,,87,59,,,
2017-01-03,18:00,,51,44,,,
2017-01-03,19:00,,37,37,,,
2017-01-03,20:00,,21,27,,,
2017-01-03,21:00,,15,20,,,
