Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-01-01,,,,,,49,,
2017-01-01,01:00,2.3,12,34,,,,15.1
2017-01-01,02:00,2.5,14,33,,,,7.4
2017-01-01,03:00,2.3,13,31,,,,6.4
2017-01-01,04:00,2.2,7,29,,,,6.9
2017-01-01,05:00,2.1,5,31,,,,7.4
2017-01-01,06:00,2.1,6,34,,,,7.4
2017-01-01,07:00,2.0,5,32,,,,6.9
2017-01-01,08:00,1.9,7,31,,,,6.5
2017-01-01,09:00,2.0,8,26,,,,7.7
2017-01-01,10:00,2.1,12,23,,,,7.5
2017-01-01,11:00,2.0,18,19,,,,6.6
2017-01-01,12:00,2.5,18,18,,,,6.7
2017-01-01,13:00,2.1,19,18,,,,6.6
2017-01-01,14:00,2.3,20,19,,,,7.1
2017-01-01,15:00,2.3,24,22,,,,6.6
2017-01-01,16:00,2.6,22,25,,,,5.6
2017-01-01,17:00,2.5,18,27,,,,5.7
2017-01-01,18:00,2.5,20,29,,,,6.1
2017-01-01,19:00,2.4,11,26,,,,6.7
2017-01-01,20:00,2.3,12,26,,,,6.5
2017-01-01,21:00,2.4,8,28,,,,7.6
2017-01-01,22:00,2.3,7,27,,,,7.9
2017-01-01,23:00,2.4,4,26,,,,7.4
2017-01-02,,,,,,25,,
2017-01-02,00:00,2.4,5,25,,,,7.2
2017-01-02,01:00,2.3,4,25,,,,7.6
2017-01-02,02:00,2.1,2,27,,,,8.0
2017-01-02,03:00,2.2,5,30,,,,8.0
2017-01-02,04:00,2.2,8,33,,,,8.8
2017-01-02,05:00,2.1,5,32,,,,8.3
2017-01-02,06:00,2.1,23,31,,,,6.6
2017-01-02,07:00,2.2,43,38,,,,5.2
2017-01-02,08:00,2.9,35,36,,,,4.6
2017-01-02,09:00,1.7,30,28,,,,4.3
2017-01-02,10:00,1.6,44,26,,,,3.8
2017-01-02,11:00,2.0,59,30,,,,3.5
2017-01-02,12:00,1.6,41,25,,,,3.4
2017-01-02,13:00,1.4,32,23,,,,3.0
2017-01-02,14:00,1.4,41,27,,,,3.0
2017-01-02,15:00,1.5,42,28,,,,2.6
2017-01-02,16:00,1.7,41,28,,,,2.6
2017-01-02,17:00,1.7,30,26,,,,2.5
2017-01-02,18:00,1.4,26,24,,,,2.5
2017-01-02,19:00,1.1,22,21,,,,2.4
2017-01-02,20:00,0.9,14,20,,,,2.5
2017-01-02,21:00,0.8,9,15,,,,2.9
2017-01-02,22:00,0.7,10,14,,,,2.2
2017-01-02,23:00,1.0,18,17,,,,1.8
2017-01-03,,,,,,8,,
2017-01-03,00:00,0.9,4,9,,,,1.8
2017-01-03,01:00,0.6,3,8,,,,1.7
2017-01-03,02:00,0.6,4,14,,,,1.8
2017-01-03,03:00,0.6,3,12,,,,2.3
2017-01-03,04:00,0.6,4,15,,,,2.3
2017-01-03,05:00,0.6,8,11,,,,1.9
2017-01-03,06:00,0.6,11,13,,,,1.9
2017-01-03,07:00,0.7,14,14,,,,1.8
2017-01-03,08:00,0.7,,,,,,2.1
2017-01-03,09:00,0.7,,,,,,2.0
2017-01-03,10:00,0.7,31,21,,,,1.7
2017-01-03,11:00,0.7,34,22,,,,1.8
2017-01-03,12:00,0.7,27,19,,,,1.9
2017-01-03,13:00,0.7,26,20,,,,2.1
2017-01-03,14:00,1.0,27,21,,,,2.1
2017-01-03,15:00,1.1,38,28,,,,2.2
2017-01-03,16:00,1.8,35,26,,,,2.2
2017-01-03,17:00,1.7,32,25,,,,2.2
2017-01-03,18:00,1.6,24,21,,,,2.3
2017-01-03,19:00,1.2,18,19,,,,1.7
2017-01-03,20:00,1.0,11,15,,,,1.6
2017-01-03,21:00,1.0,8,14,,,,1.4
2017-01-03,22:00,0.9,18,20,,,,1.4
2017-01-03,23:00,1.0,21,20,,,,1.4
2017-01-04,,,,,,6,,
2017-01-04,00:00,1.0,5,10,,,,1.4
2017-01-04,01:00,0.7,1,8,,,,1.4
2017-01-04,02:00,0.6,1,8,,,,1.3
2017-01-04,03:00,0.6,2,9,,,,1.3
2017-01-04,04:00,0.6,2,9,,,,1.5
2017-01-04,05:00,0.5,2,8,,,,1.3
2017-01-04,06:00,0.5,6,10,,,,1.3
2017-01-04,07:00,0.7,14,12,,,,1.4
2017-01-04,08:00,,16,15,,,,1.6
2017-01-04,09:00,,22,16,,,,1.6
2017-01-04,10:00,,17,16,,,,1.7
2017-01-04,11:00,,22,16,,,,1.8
2017-01-04,12:00,,22,13,,,,1.8
2017-01-04,13:00,0.5,18,14,,,,1.9
2017-01-04,14:00,0.6,26,16,,,,1.9
2017-01-04,15:00,0.7,26,16,,,,1.8
2017-01-04,16:00,1.0,26,16,,,,2.0
2017-01-04,17:00,1.0,28,18,,,,2.4
2017-01-04,18:00,0.9,18,18,,,,4.1
2017-01-04,19:00,0.7,17,16,,,,3.1
2017-01-04,20:00,0.6,13,15,,,,3.2
2017-01-04,21:00,0.6,8,13,,,,3.9
2017-01-04,22:00,0.7,9,16,,,,3.6
2017-01-04,23:00,0.6,11,14,,,,2.7
2017-01-05,,,,,,6,,
2017-01-05,00:00,0.6,3,9,,,,3.6
2017-01-05,01:00,0.5,1,6,,,,2.7
2017-01-05,02:00,0.4,1,7,,,,2.6
2017-01-05,03:00,0.4,1,4,,,,2.5
2017-01-05,04:00,0.4,3,7,,,,2.1
2017-01-05,05:00,0.4,6,10,,,,2.2
2017-01-05,06:00,0.5,19,17,,,,2.0
2017-01-05,07:00,0.7,22,23,,,,2.0
2017-01-05,08:00,0.8,23,27,,,,2.0
2017-01-05,09:00,0.8,35,33,,,,2.2
2017-01-05,10:00,0.8,41,30,,,,2.2
2017-01-05,11:00,0.8,18,18,,,,1.9
2017-01-05,12:00,0.7,18,18,,,,1.9
2017-01-05,13:00,0.7,25,20,,,,1.8
2017-01-05,14:00,0.8,18,18,,,,1.8
2017-01-05,15:00,0.8,22,23,,,,2.1
2017-01-05,16:00,1.4,31,28,,,,2.0
2017-01-05,17:00,1.5,22,25,,,,1.9
2017-01-05,18:00,1.2,40,34,,,,2.1
2017-01-05,19:00,1.5,36,33,,,,1.8
2017-01-05,20:00,1.3,23,23,,,,1.8
2017-01-05,21:00,1.2,12,19,,,,1.7
2017-01-05,22:00,0.9,19,19,,,,1.8
2017-01-05,23:00,1.1,19,20,,,,1.7
2017-01-06,,,,,,13,,
2017-01-06,00:00,1.0,6,11,,,,2.0
2017-01-06,01:00,,3,9,,,,2.6
2017-01-06,02:00,,3,8,,,,2.6
2017-01-06,03:00,0.5,2,7,,,,2.5
2017-01-06,04:00,0.5,4,7,,,,2.4
2017-01-06,05:00,0.5,5,9,,,,2.2
2017-01-06,06:00,0.6,18,19,,,,2.3
2017-01-06,07:00,1.1,27,27,,,,2.6
2017-01-06,08:00,1.2,47,33,,,,3.0
2017-01-06,09:00,1.1,31,29,,,,3.3
2017-01-06,10:00,1.0,47,29,,,,3.2
2017-01-06,11:00,1.1,51,31,,,,2.8
2017-01-06,12:00,1.0,51,31,,,,3.2
2017-01-06,13:00,1.3,42,27,,,,3.0
2017-01-06,14:00,1.4,69,38,,,,3.1
2017-01-06,15:00,1.6,63,39,,,,3.1
2017-01-06,16:00,2.4,69,41,,,,3.0
2017-01-06,17:00,2.4,64,41,,,,3.4
2017-01-06,18:00,1.9,65,46,,,,3.4
2017-01-06,19:00,1.7,27,35,,,,2.9
2017-01-06,20:00,1.4,42,41,,,,2.4
2017-01-06,21:00,2.2,32,50,,,,1.9
2017-01-06,22:00,2.3,49,52,,,,2.1
2017-01-06,23:00,3.2,75,53,,,,2.6
2017-01-07,,,,,,21,,
2017-01-07,00:00,3.4,34,45,,,,1.9
2017-01-07,01:00,2.2,26,42,,,,1.5
2017-01-07,02:00,2.0,17,33,,,,1.8
2017-01-07,03:00,1.2,4,23,,,,2.1
2017-01-07,04:00,0.9,5,13,,,,2.6
2017-01-07,05:00,0.7,8,20,,,,2.3
2017-01-07,06:00,1.0,27,30,,,,2.3
2017-01-07,07:00,1.2,19,25,,,,2.2
2017-01-07,08:00,1.2,15,21,,,,2.4
2017-01-07,09:00,1.1,21,27,,,,2.8
2017-01-07,10:00,1.5,34,29,,,,3.8
2017-01-07,11:00,1.5,32,24,,,,4.0
2017-01-07,12:00,1.4,32,26,,,,5.6
2017-01-07,13:00,1.6,28,23,,,,8.6
2017-01-07,14:00,1.3,24,26,,,,13.5
2017-01-07,15:00,1.3,22,26,,,,11.4
2017-01-07,16:00,1.6,22,25,,,,11.0
2017-01-07,17:00,1.7,22,30,,,,11.5
2017-01-07,18:00,1.9,23,32,,,,9.5
2017-01-07,19:00,2.0,14,33,,,,9.7
2017-01-07,20:00,1.9,10,26,,,,9.9
2017-01-07,21:00,1.7,9,22,,,,9.2
2017-01-07,22:00,1.7,4,21,,,,9.2
2017-01-07,23:00,1.8,7,22,,,,9.5
2017-01-08,,,,,,37,,
2017-01-08,00:00,1.7,3,18,,,,9.0
2017-01-08,01:00,1.5,3,17,,,,8.6
2017-01-08,02:00,1.5,4,18,,,,8.4
2017-01-08,03:00,1.5,1,17,,,,8.1
2017-01-08,04:00,,5,18,,,,7.9
2017-01-08,05:00,,9,23,,,,7.4
2017-01-08,06:00,,10,23,,,,7.1
2017-01-08,07:00,,6,27,,,,7.2
2017-01-08,08:00,,8,28,,,,5.9
2017-01-08,09:00,1.5,8,25,,,,5.3
2017-01-08,10:00,1.6,10,29,,,,5.7
2017-01-08,11:00,1.9,9,26,,,,6.4
2017-01-08,12:00,2.2,26,30,,,,6.3
2017-01-08,13:00,2.3,15,23,,,,5.8
2017-01-08,14:00,1.9,19,28,,,,5.9
2017-01-08,15:00,2.3,11,30,,,,5.2
2017-01-08,16:00,2.2,16,38,,,,6.5
2017-01-08,17:00,2.7,21,49,,,,7.3
2017-01-08,18:00,3.1,50,48,,,,9.3
2017-01-08,19:00,3.4,51,47,,,,4.8
2017-01-08,20:00,3.4,38,45,,,,4.5
2017-01-08,21:00,4.0,26,40,,,,4.5
2017-01-08,22:00,3.6,15,39,,,,4.2
2017-01-08,23:00,3.5,33,38,,,,3.9
2017-01-09,,,,,,36,,
2017-01-09,00:00,3.3,11,35,,,,3.0
2017-01-09,01:00,2.7,8,36,,,,3.3
2017-01-09,02:00,2.2,5,33,,,,3.0
2017-01-09,03:00,2.3,10,36,,,,4.0
2017-01-09,04:00,3.0,20,38,,,,3.9
2017-01-09,05:00,3.0,15,29,,,,3.2
2017-01-09,06:00,1.6,34,28,,,,2.7
2017-01-09,07:00,2.2,52,33,,,,3.8
2017-01-09,08:00,2.0,74,44,,,,4.6
2017-01-09,09:00,1.8,90,45,,,,5.6
2017-01-09,10:00,2.1,114,49,,,,4.8
2017-01-09,11:00,2.3,62,40,,,,3.6
2017-01-09,12:00,1.9,103,48,,,,4.3
2017-01-09,13:00,2.1,64,41,,,,4.6
2017-01-09,14:00,2.2,91,45,,,,4.2
2017-01-09,15:00,3.0,87,42,,,,4.4
2017-01-09,16:00,3.7,133,55,,,,3.9
2017-01-09,17:00,4.1,95,53,,,,3.5
2017-01-09,18:00,3.0,88,50,,,,3.9
2017-01-09,19:00,2.6,60,44,,,,3.7
2017-01-09,20:00,2.7,27,39,,,,3.8
2017-01-09,21:00,2.1,15,26,,,,3.9
2017-01-09,22:00,1.7,10,28,,,,3.6
2017-01-09,23:00,2.3,26,28,,,,4.5
2017-01-10,,,,,,23,,
2017-01-10,00:00,2.5,8,29,,,,6.1
2017-01-10,01:00,2.0,4,21,,,,5.9
2017-01-10,02:00,1.7,3,25,,,,13.3
2017-01-10,03:00,1.6,5,29,,,,12.9
2017-01-10,04:00,1.5,11,29,,,,11.3
2017-01-10,05:00,1.6,21,37,,,,7.2
2017-01-10,06:00,2.0,39,44,,,,5.4
2017-01-10,07:00,2.2,64,50,,,,4.5
2017-01-10,08:00,2.4,49,50,,,,4.0
2017-01-10,09:00,1.7,33,30,,,,4.2
2017-01-10,10:00,1.1,22,22,,,,4.0
2017-01-10,11:00,1.2,21,21,,,,4.1
2017-01-10,12:00,1.2,27,20,,,,4.1
2017-01-10,13:00,1.2,28,20,,,,4.9
2017-01-10,14:00,1.3,27,22,,,,4.7
2017-01-10,15:00,1.6,33,25,,,,4.3
2017-01-10,16:00,2.2,48,33,,,,5.5
2017-01-10,17:00,2.7,41,36,,,,9.4
2017-01-10,18:00,2.5,32,32,,,,9.3
2017-01-10,19:00,2.4,24,25,,,,5.7
2017-01-10,20:00,2.2,18,21,,,,5.8
2017-01-10,21:00,2.1,9,22,,,,15.7
2017-01-10,22:00,2.1,11,22,,,,19.3
2017-01-10,23:00,2.4,15,26,,,,28.3
2017-01-11,,,,,,30,,
2017-01-11,00:00,2.5,6,17,,,,10.7
2017-01-11,01:00,2.0,1,17,,,,13.5
2017-01-11,02:00,1.9,1,16,,,,12.0
2017-01-11,03:00,1.9,1,18,,,,17.7
2017-01-11,04:00,1.9,2,12,,,,7.7
2017-01-11,05:00,1.8,4,16,,,,14.0
2017-01-11,06:00,1.9,9,18,,,,10.3
2017-01-11,07:00,2.2,15,20,,,,14.0
2017-01-11,08:00,2.2,18,29,,,,24.2
2017-01-11,09:00,2.2,14,23,,,,20.3
2017-01-11,10:00,2.3,21,27,,,,32.3
2017-01-11,11:00,2.2,28,23,,,,23.7
2017-01-11,12:00,2.3,33,23,,,,7.5
2017-01-11,13:00,2.1,28,21,,,,6.2
2017-01-11,14:00,1.8,24,18,,,,5.1
2017-01-11,15:00,2.2,30,21,,,,5.4
2017-01-11,16:00,2.6,26,28,,,,17.1
2017-01-11,17:00,2.4,22,28,,,,15.5
2017-01-11,18:00,2.1,16,25,,,,11.0
2017-01-11,19:00,1.9,11,22,,,,5.7
2017-01-11,20:00,1.9,5,21,,,,6.3
2017-01-11,21:00,2.0,5,24,,,,7.0
2017-01-11,22:00,2.0,11,26,,,,7.3
2017-01-11,23:00,2.1,14,29,,,,7.7
2017-01-12,,,,,,16,,
2017-01-12,00:00,,7,27,,,,9.3
2017-01-12,01:00,,1,17,,,,6.6
2017-01-12,02:00,,1,12,,,,4.2
2017-01-12,03:00,,2,9,,,,3.2
2017-01-12,04:00,,1,8,,,,2.8
2017-01-12,05:00,0.4,4,8,,,,2.7
2017-01-12,06:00,0.5,12,12,,,,2.6
2017-01-12,07:00,0.6,16,13,,,,2.6
2017-01-12,08:00,0.6,23,21,,,,2.5
2017-01-12,09:00,0.6,22,19,,,,2.5
2017-01-12,10:00,0.6,27,23,,,,2.5
2017-01-12,11:00,0.8,31,21,,,,2.5
2017-01-12,12:00,0.7,34,26,,,,2.6
2017-01-12,13:00,0.8,28,22,,,,2.3
2017-01-12,14:00,0.8,32,24,,,,2.3
2017-01-12,15:00,1.1,37,28,,,,2.4
2017-01-12,16:00,2.1,49,32,,,,2.5
2017-01-12,17:00,1.8,46,39,,,,2.4
2017-01-12,18:00,1.8,52,38,,,,2.5
